Representative	Represented
HP:0007495	HP:0007495
HP:0007495	HP:0002216
HP:0007495	HP:0100678
HP:0007495	HP:0007392
HP:0007495	HP:0005328
HP:0011354	HP:0011354
HP:0011354	HP:0001001
HP:0011354	HP:0100585
HP:0011354	HP:0003758
HP:0011354	HP:0001009
HP:0011354	HP:0007394
HP:0005599	HP:0005599
HP:0005599	HP:0002211
HP:0005599	HP:0011358
HP:0008065	HP:0008065
HP:0008065	HP:0000963
HP:0008065	HP:0004334
HP:0000492	HP:0000492
HP:0000492	HP:0000506
HP:0000492	HP:0000499
HP:0000492	HP:0000561
HP:0000492	HP:0000286
HP:0001582	HP:0001582
HP:0010766	HP:0010766
HP:0010766	HP:0002514
HP:0010766	HP:0000934
HP:0001595	HP:0001595
HP:0001595	HP:0000534
HP:0001595	HP:0011362
HP:0001595	HP:0008070
HP:0001595	HP:0010720
HP:0001595	HP:0002553
HP:0001595	HP:0001596
HP:0001595	HP:0003777
HP:0001595	HP:0010721
HP:0001595	HP:0002209
HP:0001595	HP:0010719
HP:0001595	HP:0001007
HP:0001595	HP:0002223
HP:0011121	HP:0011121
HP:0011121	HP:0000973
HP:0011121	HP:0001000
HP:0011121	HP:0000953
HP:0011121	HP:0000974
HP:0011121	HP:0001053
HP:0011121	HP:0100679
HP:0011121	HP:0001034
HP:0011121	HP:0007400
HP:0011121	HP:0012733
HP:0011121	HP:0006739
HP:0011121	HP:0000956
HP:0011121	HP:0005294
HP:0011121	HP:0200036
HP:0011121	HP:0000982
HP:0002634	HP:0002634
HP:0002634	HP:0002621
HP:0002634	HP:0001677
HP:0009771	HP:0009771
HP:0000951	HP:0000951
HP:0000951	HP:0000964
HP:0000951	HP:0002860
HP:0000951	HP:0008069
HP:0000632	HP:0000632
HP:0000015	HP:0000015
HP:0000855	HP:0000855
HP:0001634	HP:0001634
HP:0000023	HP:0000023
HP:0100578	HP:0100578
HP:0009125	HP:0009125
HP:0004361	HP:0004361
HP:0004414	HP:0004414
HP:0004414	HP:0004969
HP:0000233	HP:0000233
HP:0100790	HP:0100790
HP:0100790	HP:0001537
HP:0100790	HP:0002036
HP:0000430	HP:0000430
HP:0001382	HP:0001382
HP:0001382	HP:0005692
HP:0004322	HP:0004322
HP:0009924	HP:0009924
HP:0001654	HP:0001654
HP:0001654	HP:0001633
HP:0002644	HP:0002644
HP:0002644	HP:0002827
HP:0000444	HP:0000444
HP:0001510	HP:0001510
HP:0000331	HP:0000331
HP:0010668	HP:0010668
HP:0010668	HP:0000272
HP:0000869	HP:0000869
HP:0001642	HP:0001642
HP:0002617	HP:0002617
HP:0002617	HP:0004942
HP:0002797	HP:0002797
HP:0000008	HP:0000008
HP:0000008	HP:0100615
HP:0009804	HP:0009804
HP:0000818	HP:0000818
HP:0000818	HP:0000135
HP:0000818	HP:0100031
HP:0000818	HP:0005978
HP:0000818	HP:0000819
HP:0000818	HP:0000026
HP:0000818	HP:0030088
HP:0031653	HP:0031653
HP:0031653	HP:0001650
HP:0031653	HP:0001653
HP:0000481	HP:0000481
HP:0000481	HP:0000485
HP:0000290	HP:0000290
HP:0000290	HP:0000337
HP:0001635	HP:0001635
HP:0000938	HP:0000938
HP:0000325	HP:0000325
HP:0003077	HP:0003077
HP:0003077	HP:0002155
HP:0006481	HP:0006481
HP:0001763	HP:0001763
HP:0000598	HP:0000598
HP:0000598	HP:0000364
HP:0001373	HP:0001373
HP:0000822	HP:0000822
HP:0011849	HP:0011849
HP:0011849	HP:0004349
HP:0000277	HP:0000277
HP:0100013	HP:0100013
HP:0000239	HP:0000239
HP:0001999	HP:0001999
HP:0001999	HP:0000275
HP:0000929	HP:0000929
HP:0001388	HP:0001388
HP:0000766	HP:0000766
HP:0009726	HP:0009726
HP:0000271	HP:0000271
HP:0000271	HP:0000164
HP:0000271	HP:0000366
HP:0000271	HP:0000168
HP:0000271	HP:0000691
HP:0000271	HP:0000212
HP:0032263	HP:0032263
HP:0100545	HP:0100545
HP:0002664	HP:0002664
HP:0002664	HP:0002858
HP:0002664	HP:0100833
HP:0010674	HP:0010674
HP:0010674	HP:0002650
HP:0000518	HP:0000518
HP:0100699	HP:0100699
HP:0001622	HP:0001622
HP:0003097	HP:0003097
HP:0002035	HP:0002035
HP:0005374	HP:0005374
HP:0004325	HP:0004325
HP:0004325	HP:0001533
HP:0001367	HP:0001367
HP:0000889	HP:0000889
HP:0001805	HP:0001805
HP:0008404	HP:0008404
HP:0003010	HP:0003010
HP:0003119	HP:0003119
HP:0001760	HP:0001760
HP:0001760	HP:0001838
HP:0004947	HP:0004947
HP:0000141	HP:0000141
HP:0001631	HP:0001631
HP:0002242	HP:0002242
HP:0000078	HP:0000078
HP:0011994	HP:0011994
HP:0000077	HP:0000077
HP:0008968	HP:0008968
HP:0000528	HP:0000528
