multiplex	node	score
1	CDK4	0.002554586356060977
1	WWTR1	0.002498902711024842
1	CDK6	0.0024632017477485904
1	OGFRL1	0.0024262322449308885
1	SOX10	0.0023537896833146304
1	CDKN1A	0.0023350712711101805
1	YAP1	0.0023324690344760646
1	EP300	0.002323223773145453
1	CDK2	0.002317705824167901
1	HDAC1	0.002297073011504928
1	PRMT5	0.0022857086855589946
1	NAB2	0.002274310350884929
1	TFDP1	0.002271462520326879
1	CDKN1B	0.002258633195186413
1	TFDP2	0.0022542887024568576
1	E2F4	0.0022520506548306665
1	CCND1	0.002248370195541739
1	CCND2	0.002248227727876756
1	POU3F2	0.002245732219541546
1	EGR2	0.0022439357987783363
1	SMAD4	0.0022393257553273045
1	CDKN2A	0.0022381658971932007
1	EGR1	0.0022281269293273863
1	E2F1	0.0022243765640064736
1	VGLL4	0.0022209564063891698
1	E2F5	0.0022158122305256677
1	SMAD3	0.00221447724020376
1	RBL2	0.002212234164171262
1	SNAI1	0.002206622587785673
1	SMAD2	0.0022039735721952405
1	UBE2W	0.0022022091018614135
1	RBL1	0.0022012352755655107
1	POU3F1	0.0021992856110918295
1	AMOTL1	0.002191711216542471
1	CCND3	0.0021850806440151384
1	TEAD3	0.00217399375912328
1	SMARCA4	0.002163156439107852
1	TEAD2	0.002153265698769702
1	TEAD1	0.0021506721031342205
1	WDR77	0.00214974995035587
1	RB1	0.0021494058217741228
1	RUNX1	0.0021479390473643657
1	NAB1	0.002147781140732827
1	CBFB	0.002145537513042171
1	HDAC2	0.002142163764453858
1	CDKN2B	0.002141235747676124
1	CDKN2C	0.0021396681923855627
1	RCOR1	0.0021309813061253634
1	RBPJ	0.0021240779590052947
1	CDKN2D	0.0021215153629466346
1	SMARCC2	0.0021135975325899323
1	SMARCC1	0.002111656782223174
1	REST	0.002106581526806895
1	KAT2B	0.0021031644735408596
1	CREBBP	0.0021020197009468345
1	SMARCB1	0.002097163414875338
1	MAML1	0.0020959639896254035
1	CDK7	0.002093610323131838
1	CDK1	0.0020849299923455574
1	CKS1B	0.0020795486200249546
1	CCNH	0.002076760364333685
1	E2F2	0.0020764176094217163
1	CCNE1	0.0020750715657308935
1	CDK8	0.0020733089679848137
1	SKP1	0.0020722995455451946
1	COPRS	0.002071369590843215
1	SMARCA2	0.0020665489459018908
1	AMOTL2	0.002065475509568143
1	TP53	0.0020596504447921208
1	CCNE2	0.002059130493611713
1	NOTCH1	0.0020589115016516482
1	CCNA2	0.002055494124872017
1	SIN3A	0.0020538840782890694
1	KDM1A	0.0020521476783510553
1	SERTAD1	0.0020501123811508194
