Gene name	Number of PA communities memberships
TP53	32
SRC	25
CTNNB1	25
AKT1	25
EGFR	24
CDK2	23
PTK2	23
CBL	23
ITGB3	22
GRB2	22
ITGA2B	22
SPP1	22
FYN	22
ITGB6	22
ITGAV	22
TLN1	22
FN1	22
ITGB1	22
VTN	21
TGFB3	21
AR	21
SHC1	21
ERBB2	21
PLCG1	21
ITGA5	21
ITGB5	21
SOS1	21
LYN	20
VAV1	20
LCP2	20
SMAD3	20
CRKL	20
PDGFRA	20
LCK	20
MET	20
BCAR1	20
CRK	20
RAPGEF1	20
CREBBP	19
SH3KBP1	19
LAT	19
HGF	19
ITK	19
FCGR1A	19
PLCG2	19
PTK2B	19
PXN	19
SH3GL2	19
SYK	19
VCL	18
KDM1A	17
ZAP70	17
BRCA1	16
ESR1	16
EP300	16
KAT5	15
BARD1	15
RAD51	15
MRE11	15
RAD50	15
BLM	15
RPA1	15
HDAC1	15
BRCA2	15
MDC1	15
PCNA	15
PAXIP1	15
XRCC6	15
CUL1	15
NBN	15
TP53BP1	15
H2AX	15
VEGFA	15
PARP1	14
TNC	14
FEN1	14
APEX1	14
TOP3A	14
VEGFB	14
RAD9A	14
FANCD2	14
FANCI	14
NHEJ1	14
XRCC5	14
CDH1	14
XRCC4	14
PMS2	14
EXO1	14
RPA3	14
SMAD4	14
RAD1	14
LIG3	14
LIG1	14
SMAD2	14
LIG4	14
MSH3	14
RPA2	14
APLF	14
HUS1B	14
ITGA4	14
FOXO1	14
ITGA9	14
MSH6	14
RNF8	14
VCAM1	14
RBX1	14
SP1	14
HUS1	14
NEIL1	14
PNKP	14
RMI1	14
RMI2	14
MLH1	14
POLB	14
XRCC1	14
PRKDC	14
RAD9B	14
POLD1	14
POLA2	14
MSH2	14
PLXNA1	14
POLD3	13
RAD52	13
HLTF	13
WDR48	13
XPA	13
RPA4	13
RAD51AP1	13
USP1	13
BRIP1	13
NRP2	13
TDP1	13
PLXNB1	13
L1CAM	13
POLD2	13
NRP1	13
POLE	13
POLE2	13
SEMA4D	13
FLT1	13
PGF	13
POLD4	13
PRIM2	13
POLE3	13
APTX	13
USP12	13
PRIM1	13
POLA1	13
POLE4	13
SIN3A	13
HDAC2	13
WDR20	13
SKP1	13
SH3PXD2A	12
ADAM12	12
ADAM15	12
RCOR1	12
OGG1	12
SMARCA4	12
USP46	12
ITGB7	11
ADAM19	11
MADCAM1	11
ITGAE	11
KDR	11
UBE2I	11
FOXO3	11
CHRAC1	11
SMURF2	11
CDK7	11
CCND2	10
CCND1	10
TGFBR2	10
TGFB1	10
TGFBR1	10
CDK6	10
CDK4	10
CDKN1A	10
CCNH	10
MECP2	10
TGIF1	10
FOXH1	10
SUMO1	10
CDKN1B	9
JAM2	9
HSP90AB1	9
E2F4	9
RBL1	9
RBL2	9
TFDP2	9
KAT2B	9
ITGA3	9
NCK1	9
CCND3	9
MNAT1	9
E2F1	9
E2F2	9
E2F5	9
TFDP1	9
RXRA	9
RB1	9
CDC42	9
RAC1	9
FOXG1	9
PIK3R2	9
RARA	9
THBS1	9
JAM3	9
DOCK3	8
DOCK4	8
SHB	8
CCNE1	8
ELMO1	8
NCK2	8
CKS1B	8
ELMO2	8
HSP90AA1	8
SMAD7	8
PDE8A	8
SKP2	8
SKI	8
SMARCC2	8
NCOR2	8
RXRB	8
PIK3CD	8
NR1H3	8
NCOA2	8
NR1H2	8
COPRS	8
FGA	8
CBFB	8
SMARCB1	8
PIK3CA	8
WDR77	8
NCOA3	8
NRIP1	8
REST	8
PRMT5	8
GPS2	8
NCOR1	8
PIK3CB	8
HDAC3	8
FGB	8
FGG	8
PIK3R3	8
DOCK1	8
RUNX1	8
TBL1X	8
SKIL	8
NCOA1	8
C3	8
SMARCC1	8
CCNB1	7
VEGFC	7
FLT4	7
WWTR1	7
SMURF1	7
CDKN2B	7
HIPK2	7
CDK5	7
CDKN2D	7
CCNE2	7
TRAF6	7
CCNA2	7
E2F6	7
APP	7
DRAP1	7
CDK1	7
CDKN2A	7
CDKN2C	7
STAT3	7
APOA1	7
OGFRL1	7
WIPF3	6
