	node1	node2	provenance
0	P4HA2	COL1A1	ppi
1	P4HA2	P4HB	ppi
2	P4HA2	P4HA1	ppi
3	ITGB3	ITGA2B	ppi
4	ITGB3	ITGAV	ppi
5	ITGB3	TLN1	ppi
6	ITGB3	FN1	ppi
7	ITGB3	LYN	ppi
8	ITGB3	ADAM15	ppi
9	LYN	CBL	ppi
10	LYN	PTK2	ppi
11	LYN	EGFR	ppi
12	LYN	ADAM15	ppi
13	LYN	ITGB1	ppi
14	LYN	MET	ppi
15	LYN	ADAM12	ppi
16	LYN	ADAM19	ppi
17	LYN	PIK3R1	ppi
18	SH3PXD2A	ADAM15	ppi
19	SH3PXD2A	SOS1	ppi
20	SH3PXD2A	ADAM12	ppi
21	SH3PXD2A	ADAM19	ppi
22	PLXNA1	NRP1	ppi
23	PLXNA1	NRP2	ppi
24	PLXNA1	PLXNB1	ppi
25	PLXNA1	L1CAM	ppi
26	COL4A2	COL4A1	ppi
27	COL4A5	GPX8	ppi
28	FN1	THBS1	ppi
29	FN1	FYN	ppi
30	FN1	TNC	ppi
31	FN1	HGF	ppi
32	FN1	ITGA5	ppi
33	FN1	GRB2	ppi
34	FN1	ITGB1	ppi
35	FN1	TLN1	ppi
36	FN1	ITGA4	ppi
37	FN1	EGFR	ppi
38	FN1	ITGAV	ppi
39	FN1	COL1A1	ppi
40	PDGFB	COL2A1	ppi
41	PDGFB	COL1A1	ppi
42	PDGFB	COL4A1	ppi
43	PDGFB	PDGFRA	ppi
44	PDGFB	PDGFRB	ppi
45	PDGFB	COL3A1	ppi
46	PDGFB	COL1A2	ppi
47	PDGFB	COL5A1	ppi
48	PDGFB	VEGFA	ppi
49	ADAM15	SH3GL2	ppi
50	ADAM15	SRC	ppi
51	ADAM15	GRB2	ppi
52	ADAM15	LCK	ppi
53	ADAM15	ITGA5	ppi
54	ADAM15	PIK3R1	ppi
55	PGF	FLT1	ppi
56	PGF	VEGFA	ppi
57	P4HA1	COL1A1	ppi
58	PIK3R1	PDGFRB	ppi
59	PIK3R1	CBL	ppi
60	PIK3R1	LCP2	ppi
61	PIK3R1	GRB2	ppi
62	PIK3R1	SH3KBP1	ppi
63	PIK3R1	PTK2	ppi
64	PIK3R1	SOS1	ppi
65	PIK3R1	CRK	ppi
66	PIK3R1	FLT1	ppi
67	PIK3R1	PDGFRA	ppi
68	PIK3R1	SRC	ppi
69	PIK3R1	ERBB2	ppi
70	PIK3R1	EGFR	ppi
71	PIK3R1	CRKL	ppi
72	PIK3R1	SHC1	ppi
73	PIK3R1	RAPGEF1	ppi
74	PIK3R1	MET	ppi
75	PIK3R1	FYN	ppi
76	PIK3R1	ADAM19	ppi
77	PIK3R1	ADAM12	ppi
78	PIK3R1	SPP1	ppi
79	PIK3R1	ITGB1	ppi
80	PIK3R1	PTPN11	ppi
81	PTP4A3	ITGA1	ppi
82	PTK2	LCK	ppi
83	PTK2	SRC	ppi
84	PTK2	FYN	ppi
85	PTK2	EGFR	ppi
86	PTK2	ERBB2	ppi
87	PTK2	ITGAV	ppi
88	PTK2	GRB2	ppi
89	PTK2	CRK	ppi
90	PTK2	PLCG1	ppi
91	PTK2	CRKL	ppi
92	PTK2	FLT1	ppi
93	JAM2	JAM3	ppi
94	CRKL	CBL	ppi
95	CRKL	BCAR1	ppi
96	CRKL	PTPN11	ppi
97	CRKL	FLT1	ppi
98	CRKL	PDGFRA	ppi
99	CRKL	EGFR	ppi
100	CRKL	VCAM1	ppi
101	CRKL	ERBB2	ppi
102	CRKL	SOS1	ppi
103	CRKL	PDGFRB	ppi
104	SH3GL2	SH3KBP1	ppi
105	SH3GL2	EGFR	ppi
106	SH3GL2	LCP2	ppi
107	SH3GL2	ADAM19	ppi
108	CDH1	EGFR	ppi
109	ITGAV	ITGB6	ppi
110	ITGAV	TGFB3	ppi
111	COL1A1	COCH	ppi
112	COL1A1	COL1A2	ppi
113	COL1A1	RCN1	ppi
114	COL1A1	ERO1A	ppi
115	COL1A1	P4HB	ppi
116	COL1A1	CALU	ppi
117	COL1A1	COL2A1	ppi
118	PDGFRA	EGFR	ppi
119	PDGFRA	PDGFRB	ppi
120	PDGFRA	CRK	ppi
121	PDGFRA	PLCG1	ppi
122	PDGFRA	VEGFA	ppi
123	PDGFRA	ERBB2	ppi
124	PDGFRA	HGF	ppi
125	COL4A1	COCH	ppi
126	LCK	LCP2	ppi
127	LCK	MET	ppi
128	PLXNB1	SEMA4D	ppi
129	PLXNB1	NRP1	ppi
130	PLXNB1	NRP2	ppi
131	PLXNB1	L1CAM	ppi
132	COL10A1	P4HB	ppi
133	TLN1	VCAM1	ppi
134	TLN1	ERBB2	ppi
135	TLN1	EGFR	ppi
136	L1CAM	NRP1	ppi
137	L1CAM	NRP2	ppi
138	SOS1	GRB2	ppi
139	SOS1	FYN	ppi
140	SOS1	PLCG1	ppi
141	SOS1	CRK	ppi
142	SOS1	SRC	ppi
143	SEMA4D	CRK	ppi
144	ITGA4	ITGB1	ppi
145	ITGA4	ITGB7	ppi
146	ITGA4	VCAM1	ppi
147	ITGA4	MADCAM1	ppi
148	TGFB3	ITGB6	ppi
149	PTPN11	PDGFRB	ppi
150	PTPN11	GRB2	ppi
151	PTPN11	EGFR	ppi
152	PTPN11	ERBB2	ppi
153	PTPN11	MET	ppi
154	PTPN11	VCAM1	ppi
155	PTPN11	FLT1	ppi
156	RAPGEF1	GRB2	ppi
157	RAPGEF1	CRK	ppi
158	RAPGEF1	EGFR	ppi
159	RAPGEF1	SRC	ppi
160	RAPGEF1	FYN	ppi
161	RAPGEF1	BCAR1	ppi
162	SHC1	GRB2	ppi
163	SHC1	EGFR	ppi
164	SHC1	CRK	ppi
165	SHC1	ERBB2	ppi
166	SHC1	MET	ppi
167	SHC1	FLT1	ppi
168	CRK	EGFR	ppi
169	CRK	GRB2	ppi
170	CRK	CBL	ppi
171	CRK	SRC	ppi
172	CRK	MET	ppi
173	CRK	ERBB2	ppi
174	CRK	FLT1	ppi
175	NRP2	VEGFA	ppi
176	NRP2	NRP1	ppi
177	FLT1	PLCG1	ppi
178	FLT1	CBL	ppi
179	FLT1	VEGFA	ppi
180	ADAM12	SRC	ppi
181	ADAM12	GRB2	ppi
182	ADAM12	FYN	ppi
183	SRC	BCAR1	ppi
184	SRC	CBL	ppi
185	SRC	MET	ppi
186	SRC	EGFR	ppi
187	SRC	ADAM19	ppi
188	PDGFRB	PLCG1	ppi
189	PDGFRB	VEGFA	ppi
190	PDGFRB	ERBB2	ppi
191	COCH	COL2A1	ppi
192	VEGFA	NRP1	ppi
193	VEGFA	VEGFB	ppi
194	ITGA3	ITGB1	ppi
195	NES	COL5A2	ppi
196	SPP1	ERBB2	ppi
197	GRB2	LCP2	ppi
198	GRB2	EGFR	ppi
199	GRB2	VAV1	ppi
200	GRB2	CBL	ppi
201	GRB2	ERBB2	ppi
202	GRB2	VCAM1	ppi
203	GRB2	MET	ppi
204	GRB2	FYN	ppi
205	MET	HGF	ppi
206	MET	CBL	ppi
207	MET	PLCG1	ppi
208	MET	ITGB1	ppi
209	MET	ERBB2	ppi
210	MET	VAV1	ppi
211	LCP2	EGFR	ppi
212	LCP2	PLCG1	ppi
213	EGFR	PLCG1	ppi
214	EGFR	ERBB2	ppi
215	EGFR	CBL	ppi
216	EGFR	VAV1	ppi
217	EGFR	ITGB1	ppi
218	HGF	ERBB2	ppi
219	BCAR1	FYN	ppi
220	ITGA5	ITGB1	ppi
221	ITGA5	VCAM1	ppi
222	SH3KBP1	CBL	ppi
223	SH3KBP1	P4HB	ppi
224	GPX8	COL8A2	ppi
225	GPX8	ERO1A	ppi
226	PLCG1	VAV1	ppi
227	PLCG1	CBL	ppi
228	PLCG1	ERBB2	ppi
229	ERBB2	FYN	ppi
230	GPX7	ERO1A	ppi
231	ITGA2	ITGB1	ppi
232	VAV1	FYN	ppi
233	VAV1	CBL	ppi
234	CBL	FYN	ppi
235	CBL	VCAM1	ppi
236	ITGB1	VCAM1	ppi
237	P4HA2	P4HA3	pathways
238	P4HA2	P4HA1	pathways
239	P4HA2	P4HB	pathways
240	P4HA2	COL1A2	pathways
241	P4HA2	COL3A1	pathways
242	P4HA2	COL1A1	pathways
243	P4HA2	COL10A1	pathways
244	ITGB3	ITGA2B	pathways
245	ITGB3	BCAR1	pathways
246	ITGB3	CRK	pathways
247	ITGB3	FN1	pathways
248	ITGB3	GRB2	pathways
249	ITGB3	SOS1	pathways
250	ITGB3	SHC1	pathways
251	ITGB3	SRC	pathways
252	ITGB3	TLN1	pathways
253	ITGB3	THBS1	pathways
254	ITGB3	ITGAV	pathways
