node1	node2	provenance
ERCC1	XPA	ppi
ERCC1	ERCC4	ppi
ERCC1	EGFR	ppi
ERCC1	SLX4	ppi
ERCC1	RPA1	ppi
ERCC1	RPA2	ppi
ERCC1	RPA3	ppi
PRKDC	XRCC5	ppi
PRKDC	EGFR	ppi
PRKDC	VCAM1	ppi
PRKDC	XRCC6	ppi
PRKDC	RNF8	ppi
P4HA2	COL1A1	ppi
P4HA2	P4HB	ppi
P4HA2	P4HA1	ppi
ITGB3	ITGA2B	ppi
ITGB3	ITGAV	ppi
ITGB3	TLN1	ppi
ITGB3	FN1	ppi
ITGB3	LYN	ppi
ITGB3	ADAM15	ppi
ERO1B	BRCA1	ppi
APEX1	POLB	ppi
APEX1	XRCC1	ppi
LYN	CBL	ppi
LYN	PTK2	ppi
LYN	EGFR	ppi
LYN	ADAM15	ppi
LYN	ITGB1	ppi
LYN	AR	ppi
LYN	MET	ppi
LYN	ADAM12	ppi
LYN	ADAM19	ppi
LYN	PIK3R1	ppi
SH3PXD2A	ADAM15	ppi
SH3PXD2A	SOS1	ppi
SH3PXD2A	ADAM12	ppi
SH3PXD2A	ADAM19	ppi
CHRAC1	POLE3	ppi
PLXNA1	AKT1	ppi
PLXNA1	NRP1	ppi
PLXNA1	NRP2	ppi
PLXNA1	PLXNB1	ppi
PLXNA1	L1CAM	ppi
COL4A2	COL4A1	ppi
COL4A5	GPX8	ppi
FN1	THBS1	ppi
FN1	FYN	ppi
FN1	TNC	ppi
FN1	HGF	ppi
FN1	ITGA5	ppi
FN1	PCNA	ppi
FN1	XRCC6	ppi
FN1	XRCC5	ppi
FN1	GRB2	ppi
FN1	ITGB1	ppi
FN1	RPA1	ppi
FN1	RPA2	ppi
FN1	TLN1	ppi
FN1	ITGA4	ppi
FN1	EGFR	ppi
FN1	MCM2	ppi
FN1	MCM6	ppi
FN1	MCM3	ppi
FN1	ITGAV	ppi
FN1	FEN1	ppi
FN1	COL1A1	ppi
RMI2	RMI1	ppi
RPA3	RPA4	ppi
RPA3	RPA2	ppi
RPA3	RPA1	ppi
RPA3	RAD51	ppi
RPA3	MCM2	ppi
POLB	PNKP	ppi
POLB	XRCC1	ppi
POLB	NEIL1	ppi
POLB	WRN	ppi
PDGFB	COL2A1	ppi
PDGFB	COL1A1	ppi
PDGFB	COL4A1	ppi
PDGFB	PDGFRA	ppi
PDGFB	PDGFRB	ppi
PDGFB	COL3A1	ppi
PDGFB	COL1A2	ppi
PDGFB	COL5A1	ppi
PDGFB	VEGFA	ppi
RPA1	RPA2	ppi
RPA1	BLM	ppi
RPA1	XPA	ppi
RPA1	TP53	ppi
RPA1	WRN	ppi
RPA1	RPA4	ppi
RPA1	BRIP1	ppi
RPA1	RAD51	ppi
RPA1	MCM2	ppi
RPA1	VCAM1	ppi
RPA1	RAD52	ppi
RPA1	MCM7	ppi
RPA1	MCM4	ppi
RPA1	MCM6	ppi
RPA1	ATRIP	ppi
RPA1	RAD9A	ppi
RPA1	PAXIP1	ppi
RPA1	MRE11	ppi
RPA1	ERCC4	ppi
ADAM15	SH3GL2	ppi
ADAM15	SRC	ppi
ADAM15	GRB2	ppi
ADAM15	LCK	ppi
ADAM15	ITGA5	ppi
ADAM15	PIK3R1	ppi
POLD4	PCNA	ppi
POLD4	POLD1	ppi
POLD4	POLD2	ppi
RAD51AP1	RAD51	ppi
MRE11	XRCC6	ppi
MRE11	NBN	ppi
MRE11	LIG1	ppi
MRE11	CDK2	ppi
EXO1	MLH1	ppi
EXO1	MSH2	ppi
EXO1	PCNA	ppi
PGF	FLT1	ppi
PGF	VEGFA	ppi
P4HA1	COL1A1	ppi
PMS2	MLH1	ppi
PMS2	PCNA	ppi
PMS2	AKT1	ppi
PMS2	XPA	ppi
PIK3R1	PDGFRB	ppi
PIK3R1	CBL	ppi
PIK3R1	LCP2	ppi
PIK3R1	GRB2	ppi
PIK3R1	SH3KBP1	ppi
PIK3R1	PTK2	ppi
PIK3R1	BRCA1	ppi
PIK3R1	SOS1	ppi
PIK3R1	CRK	ppi
PIK3R1	FLT1	ppi
PIK3R1	PDGFRA	ppi
PIK3R1	SRC	ppi
PIK3R1	ERBB2	ppi
PIK3R1	EGFR	ppi
PIK3R1	CRKL	ppi
PIK3R1	SHC1	ppi
PIK3R1	LIG3	ppi
PIK3R1	RAPGEF1	ppi
PIK3R1	AR	ppi
PIK3R1	MET	ppi
PIK3R1	FYN	ppi
PIK3R1	ADAM19	ppi
PIK3R1	ADAM12	ppi
PIK3R1	SPP1	ppi
PIK3R1	ITGB1	ppi
PIK3R1	PTPN11	ppi
PIK3R1	AKT1	ppi
PNKP	XRCC4	ppi
PNKP	LIG3	ppi
PNKP	XRCC1	ppi
PNKP	KDM1A	ppi
PNKP	LMNA	ppi
PTP4A3	ITGA1	ppi
MCM3	MCM2	ppi
MCM3	MCM5	ppi
MCM3	MCM10	ppi
MCM3	MCM6	ppi
MCM3	VCAM1	ppi
MCM3	CDK2	ppi
MCM3	MCM7	ppi
MCM3	RPA2	ppi
XRCC6	XRCC5	ppi
XRCC6	VAV1	ppi
XRCC6	MSH6	ppi
XRCC6	APLF	ppi
XRCC6	PCNA	ppi
XRCC6	VCAM1	ppi
XRCC6	XRCC4	ppi
PALB2	BRCA2	ppi
USP12	WDR20	ppi
USP12	WDR48	ppi
FEN1	BLM	ppi
FEN1	WRN	ppi
FEN1	PCNA	ppi
FEN1	TDP1	ppi
MSH3	MLH1	ppi
MSH3	PCNA	ppi
MSH3	RAD9A	ppi
MSH3	HUS1	ppi
MSH3	RAD1	ppi
MSH3	MSH2	ppi
PAXIP1	H2AX	ppi
PAXIP1	WDR48	ppi
PAXIP1	SH3GL2	ppi
NUTF2	PCNA	ppi
HUS1	RAD9A	ppi
HUS1	MSH6	ppi
HUS1	PCNA	ppi
HUS1	RAD1	ppi
HUS1	MSH2	ppi
HUS1	NEIL1	ppi
PTK2	LCK	ppi
PTK2	SRC	ppi
PTK2	FYN	ppi
PTK2	EGFR	ppi
PTK2	ERBB2	ppi
PTK2	TP53	ppi
PTK2	ITGAV	ppi
PTK2	GRB2	ppi
PTK2	CRK	ppi
PTK2	PLCG1	ppi
PTK2	CRKL	ppi
PTK2	FLT1	ppi
JAM2	JAM3	ppi
USP46	WDR20	ppi
USP46	WDR48	ppi
CRKL	CBL	ppi
CRKL	BCAR1	ppi
CRKL	PTPN11	ppi
CRKL	FLT1	ppi
CRKL	PDGFRA	ppi
CRKL	EGFR	ppi
CRKL	VCAM1	ppi
CRKL	ERBB2	ppi
CRKL	SOS1	ppi
CRKL	PDGFRB	ppi
MCM6	MCM10	ppi
MCM6	MCM2	ppi
MCM6	VCAM1	ppi
MCM6	MCM4	ppi
MCM6	MCM7	ppi
SH3GL2	SH3KBP1	ppi
SH3GL2	EGFR	ppi
SH3GL2	EMD	ppi
SH3GL2	LCP2	ppi
SH3GL2	ADAM19	ppi
RAD50	BRCA1	ppi
MLH1	BLM	ppi
MLH1	BRIP1	ppi
MLH1	MSH2	ppi
MLH1	XPA	ppi
MLH1	PCNA	ppi
BLM	TP53	ppi
BLM	RAD51D	ppi
BLM	WRN	ppi
BLM	BRIP1	ppi
BLM	TOP3A	ppi
BLM	RAD51	ppi
CDH1	LMNA	ppi
CDH1	XRCC5	ppi
CDH1	EGFR	ppi
CDH1	AKT1	ppi
NEIL1	LIG3	ppi
NEIL1	H3C15	ppi
ITGAV	ITGB6	ppi
ITGAV	TGFB3	ppi
COL1A1	COCH	ppi
COL1A1	COL1A2	ppi
COL1A1	RCN1	ppi
COL1A1	ERO1A	ppi
COL1A1	P4HB	ppi
COL1A1	CALU	ppi
COL1A1	COL2A1	ppi
COL1A1	BARD1	ppi
COL1A1	BRCA1	ppi
LIG4	XRCC4	ppi
LIG4	DCLRE1C	ppi
LIG4	TP53BP1	ppi
LIG4	COL1A2	ppi
LIG4	MCM4	ppi
LIG4	WDR20	ppi
PDGFRA	EGFR	ppi
PDGFRA	PDGFRB	ppi
PDGFRA	CRK	ppi
PDGFRA	PLCG1	ppi
PDGFRA	VEGFA	ppi
PDGFRA	ERBB2	ppi
PDGFRA	AKT1	ppi
PDGFRA	HGF	ppi
PDGFRA	TP53	ppi
BRIP1	BRCA1	ppi
H3C15	KDM1A	ppi
H3C15	LMNA	ppi
BRCA2	RAD51	ppi
BRCA2	BRCA1	ppi
BRCA2	FANCD2	ppi
BRCA2	FYN	ppi
BRCA2	GRB2	ppi
BRCA2	TP53	ppi
BRCA2	FANCI	ppi
COL4A1	COCH	ppi
CDK2	TP53	ppi
LCK	LCP2	ppi
LCK	AR	ppi
LCK	MET	ppi
LCK	BRCA1	ppi
WRN	TP53	ppi
WRN	PCNA	ppi
WRN	RAD51	ppi
WRN	RAD52	ppi
PLXNB1	SEMA4D	ppi
PLXNB1	NRP1	ppi
PLXNB1	NRP2	ppi
PLXNB1	L1CAM	ppi
APLF	XRCC4	ppi
APLF	XRCC5	ppi
APLF	XRCC1	ppi
TP53BP1	TP53	ppi
COL10A1	P4HB	ppi
PRIM1	PRIM2	ppi
PRIM1	MDC1	ppi
TLN1	VCAM1	ppi
TLN1	ERBB2	ppi
TLN1	EGFR	ppi
L1CAM	NRP1	ppi
L1CAM	NRP2	ppi
HUS1B	RAD1	ppi
OGG1	XRCC1	ppi
AR	SRC	ppi
AR	KAT5	ppi
AR	BRCA1	ppi
AR	RAD9A	ppi
AR	TP53	ppi
AR	PLCG1	ppi
AR	SHC1	ppi
AR	VAV1	ppi
AR	CRK	ppi
AR	PTPN11	ppi
AR	GRB2	ppi
POLD1	PCNA	ppi
POLD1	POLD2	ppi
POLD1	SRC	ppi
POLD1	FYN	ppi
POLD1	GRB2	ppi
SOS1	GRB2	ppi
SOS1	FYN	ppi
SOS1	PLCG1	ppi
SOS1	CRK	ppi
SOS1	SRC	ppi
ITGA4	ITGB1	ppi
ITGA4	ITGB7	ppi
ITGA4	VCAM1	ppi
ITGA4	MADCAM1	ppi
SEMA4D	CRK	ppi
PARP1	POLA2	ppi
PARP1	POLA1	ppi
PARP1	XRCC1	ppi
PARP1	APTX	ppi
PARP1	TP53	ppi
PARP1	LIG3	ppi
PARP1	VCAM1	ppi
TGFB3	ITGB6	ppi
RAD51B	RAD51C	ppi
RPA4	XPA	ppi
RPA4	RPA2	ppi
TOP3A	RMI1	ppi
PTPN11	PDGFRB	ppi
PTPN11	GRB2	ppi
PTPN11	EGFR	ppi
PTPN11	ERBB2	ppi
PTPN11	MET	ppi
PTPN11	VCAM1	ppi
PTPN11	FLT1	ppi
RNF8	MDC1	ppi
LIG3	XRCC1	ppi
LIG3	CRK	ppi
LIG3	SRC	ppi
LIG3	PLCG1	ppi
LIG3	TDP1	ppi
