node1	node2	provenance
E2F4	TFDP2	ppi
E2F4	KAT5	ppi
E2F4	TFDP1	ppi
E2F4	RB1	ppi
E2F4	RBL1	ppi
E2F4	RBL2	ppi
E2F4	MGA	ppi
E2F4	RYBP	ppi
CDC25B	ESR1	ppi
CDC25B	CDK2	ppi
RYBP	RNF2	ppi
RYBP	RING1	ppi
RYBP	E2F2	ppi
RYBP	E2F6	ppi
RYBP	TDP1	ppi
CDKN1A	CCND1	ppi
CDKN1A	CCND3	ppi
CDKN1A	CCND2	ppi
CDKN1A	PCNA	ppi
CDKN1A	CDK1	ppi
CDKN1A	CCNE2	ppi
CDKN1A	CDK4	ppi
CDKN1A	CCNA2	ppi
CDKN1A	CDK2	ppi
CDKN1A	CDK5	ppi
CDKN1A	SKP2	ppi
CDKN1A	CREBBP	ppi
CDKN1A	CDC6	ppi
CDKN1A	TP53	ppi
CDKN1A	CCNB1	ppi
CDKN1A	CCNE1	ppi
CDKN1A	AKT1	ppi
CDKN1A	GMNN	ppi
CDKN1A	CCNB2	ppi
CDKN1A	CCNA1	ppi
CDKN1A	CDK6	ppi
CDKN1A	SKP1	ppi
CDKN1A	HDAC1	ppi
CDKN1A	CDK5R1	ppi
CDKN1A	SMAD4	ppi
CDKN1A	CDKN1B	ppi
CDKN1A	FOXO1	ppi
CDKN1A	MSH2	ppi
CDKN1A	POLD2	ppi
BRCA1	RBBP8	ppi
BRCA1	BRIP1	ppi
BRCA1	UBE2W	ppi
BRCA1	MSH6	ppi
BRCA1	RAD50	ppi
BRCA1	ATRIP	ppi
BRCA1	AR	ppi
BRCA1	MYC	ppi
BRCA1	BARD1	ppi
BRCA1	MSH2	ppi
BRCA1	BRCA2	ppi
BRCA1	MNAT1	ppi
BRCA1	FANCD2	ppi
BRCA1	RAD51	ppi
BRCA1	KAT5	ppi
BRCA1	CBX3	ppi
VCP	RNF8	ppi
VCP	UFD1	ppi
VCP	NPLOC4	ppi
CUL3	NEDD8	ppi
CUL3	CCNE1	ppi
CUL3	PRKDC	ppi
CUL3	MCM4	ppi
CDK1	CKS1B	ppi
TFDP1	E2F6	ppi
TFDP1	E2F5	ppi
TFDP1	E2F1	ppi
WDR20	USP46	ppi
WDR20	USP12	ppi
WDR20	LIG4	ppi
PRIM1	PRIM2	ppi
PRIM1	MDC1	ppi
CCNA2	CDK2	ppi
CCNA2	CDKN1B	ppi
CCNA2	CCNB1	ppi
TOP3A	RMI1	ppi
TOP3A	BLM	ppi
CUL1	CAND1	ppi
CUL1	NEDD8	ppi
CUL1	SKP2	ppi
CUL1	RBX1	ppi
CUL1	SKP1	ppi
CUL1	BTRC	ppi
RPA1	RPA2	ppi
RPA1	BLM	ppi
RPA1	XPA	ppi
RPA1	TP53	ppi
RPA1	WRN	ppi
RPA1	RPA4	ppi
RPA1	BRIP1	ppi
RPA1	RAD51	ppi
RPA1	RPA3	ppi
RPA1	MCM2	ppi
RPA1	SMAD3	ppi
RPA1	RAD52	ppi
RPA1	MCM7	ppi
RPA1	ORC2	ppi
RPA1	ORC6	ppi
RPA1	MCM4	ppi
RPA1	MCM6	ppi
RPA1	ATRIP	ppi
RPA1	RAD9A	ppi
RPA1	PAXIP1	ppi
RPA1	MRE11	ppi
RPA1	ERCC1	ppi
RPA1	ERCC4	ppi
RB1	RBBP8	ppi
RB1	E2F2	ppi
RB1	E2F1	ppi
RB1	AR	ppi
RB1	MCM7	ppi
RB1	CCND3	ppi
RB1	HDAC1	ppi
RB1	E2F5	ppi
RB1	XPA	ppi
RB1	MYC	ppi
RB1	ORC1	ppi
FEN1	BLM	ppi
FEN1	WRN	ppi
FEN1	PCNA	ppi
FEN1	TDP1	ppi
CDKN2D	CDK6	ppi
CDKN2D	CCND3	ppi
CDKN2D	CDK4	ppi
XRCC4	PNKP	ppi
XRCC4	LIG4	ppi
XRCC4	NHEJ1	ppi
XRCC4	APLF	ppi
XRCC4	APTX	ppi
XRCC4	XRCC6	ppi
XRCC4	NBN	ppi
DDB1	RBX1	ppi
DDB1	ERCC8	ppi
DDB1	CUL4A	ppi
DDB1	DDB2	ppi
DDB1	CDT1	ppi
DDB1	CUL4B	ppi
SMAD2	SMAD3	ppi
SMAD2	SMAD4	ppi
SMAD2	MYC	ppi
SMAD2	CREBBP	ppi
SMAD2	EP300	ppi
SMAD2	TP53	ppi
SMAD2	AKT1	ppi
SMAD2	COPS5	ppi
SMAD2	PAXIP1	ppi
SMAD2	XPA	ppi
SMAD2	SP1	ppi
WRN	TP53	ppi
WRN	PCNA	ppi
WRN	RAD51	ppi
WRN	RAD52	ppi
WRN	BLM	ppi
WRN	POLB	ppi
FANCD2	KAT5	ppi
FANCD2	FANCI	ppi
FANCD2	ATM	ppi
FANCD2	BRCA2	ppi
FANCD2	RBBP8	ppi
USP45	ERCC1	ppi
SP1	HDAC1	ppi
SP1	EP300	ppi
SP1	SMAD4	ppi
SP1	ESR1	ppi
SP1	SMAD3	ppi
USP46	WDR48	ppi
UFD1	NPLOC4	ppi
UFD1	TP53	ppi
TDP1	LIG3	ppi
HUS1	RAD9A	ppi
HUS1	COPS5	ppi
HUS1	MSH6	ppi
HUS1	HDAC1	ppi
HUS1	MSH3	ppi
HUS1	PCNA	ppi
HUS1	RAD1	ppi
HUS1	MSH2	ppi
HUS1	NEIL1	ppi
RAD1	COPS5	ppi
RAD1	MSH6	ppi
RAD1	HUS1B	ppi
RAD1	MSH3	ppi
RAD1	MSH2	ppi
RAD1	RAD9A	ppi
CREBBP	SERTAD1	ppi
CREBBP	E2F1	ppi
CREBBP	SMAD3	ppi
CREBBP	XRCC6	ppi
CREBBP	AR	ppi
CREBBP	TP53	ppi
CREBBP	ESR1	ppi
CREBBP	MYC	ppi
CREBBP	FOXO1	ppi
CREBBP	LIG4	ppi
USP12	WDR48	ppi
FANCI	BRCA2	ppi
MNAT1	CCNH	ppi
MNAT1	MCM7	ppi
E2F1	TFDP2	ppi
E2F1	RBL1	ppi
E2F1	CDK7	ppi
E2F1	CDC6	ppi
E2F1	E2F2	ppi
E2F1	MGA	ppi
MCM2	MCM6	ppi
MCM2	ORC5	ppi
MCM2	ORC2	ppi
MCM2	CDKN2A	ppi
MCM2	MCM7	ppi
MCM2	CDK4	ppi
MCM2	CDC6	ppi
MCM2	CCNB2	ppi
MCM2	ORC6	ppi
MCM2	CDK6	ppi
MCM2	MCM4	ppi
MCM2	ORC1	ppi
MCM2	ORC4	ppi
MCM2	RPA2	ppi
MCM2	RPA3	ppi
BRCA2	RAD51	ppi
BRCA2	TP53	ppi
CDT1	MCM6	ppi
CDT1	GMNN	ppi
CDT1	ORC1	ppi
CDT1	CDC6	ppi
CDT1	ORC2	ppi
CDT1	PCNA	ppi
ORC1	ORC5	ppi
ORC1	CDC6	ppi
ORC1	ORC3	ppi
ORC1	ORC2	ppi
ORC1	ORC4	ppi
ORC1	MCM7	ppi
ORC1	MCM4	ppi
ORC1	MCM6	ppi
ORC1	RPA2	ppi
EXO1	MLH1	ppi
EXO1	MSH2	ppi
EXO1	PCNA	ppi
POLE4	POLE3	ppi
NBN	MRE11	ppi
NBN	EP300	ppi
NBN	MDC1	ppi
NBN	ATR	ppi
NBN	RAD51	ppi
RMI2	RMI1	ppi
MCM7	CDKN1B	ppi
MCM7	CCND1	ppi
MCM7	MYC	ppi
MCM7	ORC3	ppi
MCM7	CDC6	ppi
MCM7	ORC6	ppi
MCM7	MCM4	ppi
MCM7	ORC4	ppi
MCM7	MCM6	ppi
MCM7	ORC2	ppi
MCM7	ORC5	ppi
MLH1	MSH3	ppi
MLH1	BLM	ppi
MLH1	PMS2	ppi
MLH1	BRIP1	ppi
MLH1	MYC	ppi
MLH1	MSH2	ppi
MLH1	ORC4	ppi
MLH1	XPA	ppi
MLH1	PCNA	ppi
POLD4	PCNA	ppi
POLD4	POLD1	ppi
POLD4	POLD2	ppi
CHRAC1	POLE3	ppi
RPA4	XPA	ppi
RPA4	RPA3	ppi
RPA4	RPA2	ppi
CBX3	EHMT2	ppi
CBX3	BARD1	ppi
CBX3	MGA	ppi
DDB2	USP24	ppi
CDC6	ORC5	ppi
CDC6	CDKN2A	ppi
CDC6	ORC2	ppi
CDC6	ORC6	ppi
CDC6	ORC3	ppi
CDC6	MCM6	ppi
CDC6	PCNA	ppi
RNF2	YAF2	ppi
RNF2	BMI1	ppi
RNF2	PCGF2	ppi
RNF2	PCGF6	ppi
RNF2	UBE2W	ppi
XRCC1	PNKP	ppi
XRCC1	OGG1	ppi
XRCC1	POLB	ppi
XRCC1	PARP1	ppi
XRCC1	PCNA	ppi
XRCC1	APLF	ppi
XRCC1	APEX1	ppi
XRCC1	APTX	ppi
XRCC1	LIG3	ppi
BARD1	KAT5	ppi
BARD1	RAD51	ppi
ERCC4	ERCC1	ppi
ERCC4	RPA2	ppi
GMNN	MCM6	ppi
GMNN	CDKN2A	ppi
APEX1	POLB	ppi
EP300	TP53	ppi
EP300	ESR1	ppi
EP300	SMAD3	ppi
EP300	XRCC6	ppi
EP300	POLD2	ppi
EP300	SERTAD1	ppi
RING1	YAF2	ppi
RING1	PCGF6	ppi
RING1	BMI1	ppi
RING1	PCGF2	ppi
PARP1	POLA2	ppi
PARP1	POLA1	ppi
PARP1	APTX	ppi
PARP1	TP53	ppi
PARP1	LIG3	ppi
UBD	NUB1	ppi
SMAD3	SMAD4	ppi
SMAD3	HDAC1	ppi
SMAD3	RBX1	ppi
SMAD3	MYC	ppi
SMAD3	AR	ppi
SMAD3	CDK4	ppi
SMAD3	CDK2	ppi
SMAD3	AKT1	ppi
SMAD3	MAX	ppi
SMAD3	XRCC6	ppi
SMAD3	SERTAD1	ppi
POLE	POLE2	ppi
CCNE2	CDK2	ppi
CCNE2	CDKN1B	ppi
CCNE2	ORC3	ppi
POLB	PNKP	ppi
POLB	NEIL1	ppi
XRCC5	XRCC6	ppi
XRCC5	PRKDC	ppi
XRCC5	APLF	ppi
MGA	MAX	ppi
CDK5	CCND3	ppi
CDK5	CCND2	ppi
CDK5	CDKN1B	ppi
CDK5	CDK5R1	ppi
APLF	XRCC6	ppi
CCNB2	CDK2	ppi
RBBP8	RBL1	ppi
RBBP8	RBL2	ppi
RBBP8	PCNA	ppi
UBE2W	RNF8	ppi
PAXIP1	H2AX	ppi
PAXIP1	WDR48	ppi
NEIL1	LIG3	ppi
CDKN1B	CCND1	ppi
CDKN1B	CCND3	ppi
CDKN1B	CCND2	ppi
CDKN1B	CCNA1	ppi
CDKN1B	SKP1	ppi
CDKN1B	CKS1B	ppi
CDKN1B	SKP2	ppi
CDKN1B	MYC	ppi
CDKN1B	CDK2	ppi
CDKN1B	CCNE1	ppi
CDKN1B	CDK4	ppi
CDKN1B	AKT1	ppi
CDKN1B	CDK6	ppi
CDKN1B	CDK5R1	ppi
MCM4	ORC6	ppi
MCM4	CCNA1	ppi
MCM4	MCM6	ppi
MCM4	ORC2	ppi
MCM4	ORC3	ppi
MCM4	ORC4	ppi
MCM4	ORC5	ppi
MCM4	RPA2	ppi
MCM4	LIG4	ppi
ERCC6	ERCC8	ppi
ERCC6	ERCC5	ppi
ORC4	ORC6	ppi
ORC4	CCND1	ppi
ORC4	CDKN2A	ppi
ORC4	ORC3	ppi
ORC4	ORC5	ppi
ORC4	ORC2	ppi
ORC4	MCM6	ppi
ORC4	RPA2	ppi
AR	KAT5	ppi
AR	FOXO1	ppi
AR	RAD9A	ppi
AR	TP53	ppi
AR	HDAC1	ppi
AR	CDK6	ppi
RBL2	E2F5	ppi
RBL2	CCND3	ppi
RBL2	CCND1	ppi
RBL2	TP53BP1	ppi
ORC3	ORC6	ppi
ORC3	ORC5	ppi
ORC3	ORC2	ppi
BTRC	SKP1	ppi
BTRC	SMAD4	ppi
XRCC6	MSH6	ppi
XRCC6	MRE11	ppi
XRCC6	PCNA	ppi
XRCC6	PRKDC	ppi
XRCC6	CCNA1	ppi
PMS2	PCNA	ppi
PMS2	AKT1	ppi
PMS2	XPA	ppi
PNKP	LIG3	ppi
CCNB1	PKMYT1	ppi
CCNB1	FOXO1	ppi
