node	provenance
ERCC1	740;100
PRKDC	740;100
P4HA2	287
ITGB3	287
ERO1B	287
APEX1	740;100
LYN	287
SH3PXD2A	287
CHRAC1	740;100
PLXNA1	287
COL4A2	287
P4HA3	287
COL4A5	287
FN1	287
CAMKMT	287
RMI2	740;100
RPA3	740;100
THBS1	287
POLB	740;100
PDGFB	287
RPA1	740;100
ADAM15	287
POLD4	740;100
RAD51AP1	740;100
MRE11	740;100
EXO1	740;100
COL4A3	287
PGF	287
P4HA1	287
PMS2	740;100
PIK3R1	287
PNKP	740;100
PTP4A3	287
MCM3	740
XRCC6	740;100
PALB2	100
USP12	740;100
FEN1	740;100
MSH3	740;100
PAXIP1	740;100
NUTF2	287
HUS1	740;100
PTK2	287
JAM2	287
USP46	740;100
CRKL	287
MCM6	740
SH3GL2	287
RAD50	740;100
MLH1	740;100
BLM	740;100
CDH1	287
NEIL1	740;100
ITGAV	287
LIG4	740;100
COL1A1	287
PDGFRA	287
BRIP1	740;100
H3C15	100
BRCA2	740;100
PTRH1	287
AGPAT1	287
COL4A1	287
CDK2	740;100
LCK	287
WRN	740;100
USP1	740;100
PLXNB1	287
APLF	740;100
TP53BP1	740;100
COL10A1	287
PRIM1	740;100
TLN1	287
L1CAM	287
DCLRE1C	740
HUS1B	740;100
OGG1	740;100
COL4A6	287
HLTF	740;100
AR	740;100
POLD1	740;100
SOS1	287
ITGA4	287
SEMA4D	287
WDR48	740;100
PARP1	740;100
TGFB3	287
RAD51B	100
RPA4	740;100
NDUFAF5	100
TOP3A	740;100
PTPN11	287
RNF8	740;100
LIG3	740;100
RAPGEF1	287
SHC1	287
H2AX	740;100
RAD51C	100
MADCAM1	287
CRK	287
AKT1	100
NRP2	287
FLT1	287
ITGB6	287
XRCC2	100
CDX1	740
COL1A2	287
COL4A4	287
ADAM12	287
APTX	740;100
XRCC5	740;100
SRC	287
PDGFRB	287
POLD2	740;100
RBBP8	740;100
XRCC3	100
RAD9B	740;100
NBN	740;100
COCH	287
LMNA	740
COL2A1	287
VEGFA	287
ITGA3	287
FANCI	740;100
ATM	740;100
MUS81	100
POLE	740;100
NES	287
SPP1	287
POLA1	740;100
XRCC4	740;100
PTPN2	287
MCM7	740
POLE2	740;100
RAD1	740;100
VEGFB	287
KAT5	740;100
GRB2	287
RAD52	740;100
MET	287
LCP2	287
PRIM2	740;100
FANCD2	740;100
SLX4	100
XPA	740;100
EGFR	287
HGF	287
BCAR1	287
POLE4	740;100
RCN1	287
PHLPP1	100
ITGA5	287
WDR20	740;100
SH3KBP1	287
MCM5	740
GPX8	287
PLCG1	287
COL8A2	287
ERBB2	287
BRCA1	740;100
BARD1	740;100
MSH6	740;100
TP53	740;100
GPX7	287
BANF1	740
MDC1	740;100
RMI1	740;100
ITGB5	287
COL3A1	287
SPATA48	740
PHLPP2	100
ITGA2	287
ITGA2B	287
NHEJ1	740;100
VRK1	740
EMD	740
P4HB	287
VAV1	287
DIPK2A	287
TDP1	740;100
POLE3	740;100
NRP1	287
RPA2	740;100
LIG1	740;100
VTN	287
PCNA	740;100
ERO1A	287
RAD51D	100
ATRIP	740;100
CBL	287
ITGB1	287
ITGAE	287
ITGA1	287
ITGA9	287
MCM2	740
XRCC1	740;100
MCM4	740
TNC	287
CALU	287
ITGB7	287
ITGA11	287
ATR	740;100
ZMPSTE24	740
MSR1	287
COL5A2	287
POLA2	740;100
POLD3	740;100
MSH2	740;100
JAM3	287
RAD9A	740;100
KDM1A	100
FYN	287
RAD51	740;100
ADAM19	287
VCAM1	287
COL5A1	287
ERCC4	740;100
MCM10	740
RCN2	287
