	Gene	Nb of communities in cluster	degree PPI ntw	degree Pathways ntw	degree Coexp ntw	degree Complexes ntw	max degree	sum degrees
0	BMI1	5	24	4		51	51	79
103	E2F4	5	19	17		21	21	57
94	OGFRL1	5				5	5	5
93	CDKN2D	5	61	2		2	61	65
92	CCNA1	5	17	4	851	3	851	875
90	UBE2W	5	77			2	77	79
88	E2F5	5	4	16		13	16	33
86	SMAD2	5	191	45		19	191	255
84	RB1	5	72	16		28	72	116
83	HDAC1	5	66	39		152	152	257
80	CUL1	5	22	54		69	69	145
74	L3MBTL2	5	48	14		12	48	74
73	CDKN1B	5	30	26		21	30	77
72	SKP2	5	22	17	68	32	68	139
71	PHC1	5	20	4		12	20	36
67	RBX1	5	27	93		75	93	195
66	ESR1	5	120	62		44	120	226
65	AKT1	5	175	53		19	175	247
61	E2F1	5	38	6		14	38	58
57	CDK2	5	37	53		41	53	131
53	CDK1	5	48	43		31	48	122
99	TFDP1	5	6	39		22	39	67
105	SERTAD1	5	54		3	2	54	59
49	MGA	5	9	11		12	12	32
107	CDK6	5	64	20		7	64	91
152	CKS1B	5	51	9		20	51	80
149	RNF2	5	45	11		88	88	144
147	CCNA2	5	11	4		33	33	48
146	CCND2	5	50	12		5	50	67
142	E2F2	5	11	4		4	11	19
141	RBL2	5	17	18		72	72	107
140	SP1	5	60	17		23	60	100
136	CCND3	5	51	14		12	51	77
129	CBX3	5	42	15		45	45	102
128	PHC3	5	5	4		14	14	23
127	E2F6	5	18	19		37	37	74
125	CDKN2A	5	31			7	31	38
122	CDK4	5	88	26		11	88	125
119	CDK5	5	30	24		8	30	62
118	MAX	5	55	12		15	55	82
116	PCGF2	5	21	4		12	21	37
111	TP53	5	254	80		40	254	374
110	MNAT1	5	41	12		13	41	66
109	RYBP	5	67	8		17	67	92
52	MYC	5	134	4		33	134	171
154	EHMT1	5	13	17		31	31	61
7	CCNH	5	45	12		20	45	77
5	SMAD4	5	107	44		32	107	183
11	CCNE1	5	28	9		20	28	57
31	CCNE2	5	12	9		16	16	37
32	EHMT2	5	47	18		33	47	98
27	CDK7	5	7	14		33	33	54
9	SKP1	5	74	55		82	82	211
24	EP300	5	106	85		61	106	252
36	CCNB1	5	12	32		31	32	75
37	RING1	5	30	15		63	63	108
8	CDKN1A	5	183	26		17	183	226
6	PCGF6	5	21	12		12	21	45
23	CCND1	5	36	25		13	36	74
14	SMAD3	5	152	51		47	152	250
10	CDKN2C	5	59	2		4	59	65
43	FOXO1	5	16	20		8	20	44
15	RBL1	5	22	16		53	53	91
42	CDKN2B	5	61	2		4	61	67
45	TFDP2	5	3	23		4	23	30
16	YAF2	5	29	11		24	29	64
2	CREBBP	5	121	40		61	121	222
21	CCNB2	4	4	14		8	14	26
87	CDK5R1	4	33	16		4	33	53
48	EPC1	4	9	7	41	23	41	80
131	PKMYT1	4	22	4		5	22	31
113	SIN3A	4	27	16		89	89	132
12	DNMT1	4	27	12		29	29	68
62	RBBP4	4	46	19		111	111	176
98	HDAC2	4	53	13		117	117	183
