Representative	Represented
GO:0006259	GO:0006259
GO:0006259	GO:0006281
GO:0006259	GO:0006302
GO:0006259	GO:0006310
GO:0006259	GO:0051052
GO:0006259	GO:0000723
GO:0006259	GO:0006260
GO:0006259	GO:0000725
GO:0006259	GO:0006261
GO:0006259	GO:0000724
GO:0006259	GO:0071897
GO:0006259	GO:0051054
GO:0006259	GO:0010833
GO:0006259	GO:0006289
GO:0006259	GO:0032204
GO:0006259	GO:0051053
GO:0006259	GO:0007004
GO:0006259	GO:0006278
GO:0006259	GO:0016233
GO:0006259	GO:0032205
GO:0006259	GO:1904356
GO:0006259	GO:0006303
GO:0006259	GO:0006282
GO:0006259	GO:0032206
GO:0006259	GO:0032210
GO:0006259	GO:0006270
GO:0006259	GO:2000278
GO:0006259	GO:0006312
GO:0006259	GO:0006284
GO:0006259	GO:0045005
GO:0006259	GO:0022616
GO:0006259	GO:0000018
GO:0006259	GO:0033260
GO:0006259	GO:0044786
GO:0006259	GO:1904357
GO:0006259	GO:0006275
GO:0006259	GO:0035825
GO:0006259	GO:0031297
GO:0006259	GO:0016444
GO:0006259	GO:0002562
GO:0006259	GO:1904353
GO:0006259	GO:0006298
GO:0006259	GO:0001325
GO:0006259	GO:0090656
GO:0006259	GO:0006271
GO:0006259	GO:0090737
GO:0006259	GO:0006266
GO:0006259	GO:0016447
GO:0006259	GO:0051972
GO:0006259	GO:0036297
GO:0006259	GO:0006287
GO:0006259	GO:0000722
GO:0006259	GO:2000779
GO:0006259	GO:0007131
GO:0006259	GO:0140527
GO:0006259	GO:1904358
GO:0006259	GO:0032212
GO:0006259	GO:0000012
GO:0006259	GO:2000573
GO:0006259	GO:1902969
GO:0006259	GO:0045739
GO:0006259	GO:0032211
GO:0006259	GO:0090329
GO:0006259	GO:0030174
GO:0006259	GO:0031848
GO:0006259	GO:2000279
GO:0006259	GO:0006268
GO:0006259	GO:0090657
GO:0006259	GO:0010569
GO:0006259	GO:0043247
GO:0006259	GO:0051973
GO:0006259	GO:0002204
GO:0006259	GO:0045190
GO:0006259	GO:0002208
GO:0006259	GO:0000727
GO:0006259	GO:0045911
GO:0006259	GO:0000731
GO:0006259	GO:0000729
GO:0006259	GO:0045910
GO:0006259	GO:0070200
GO:0006259	GO:0033151
GO:0006259	GO:0070914
GO:0006259	GO:0006301
GO:0006259	GO:0051974
GO:0006259	GO:1905168
GO:0006259	GO:0019985
GO:0006259	GO:2000781
GO:0006259	GO:0006305
GO:0006259	GO:0006306
GO:0006259	GO:0000712
GO:0006259	GO:0042276
GO:0006259	GO:2001032
GO:0006259	GO:0006304
GO:0006259	GO:0008156
GO:0006259	GO:0044030
GO:0051171	GO:0051171
GO:0051171	GO:0045892
GO:0051171	GO:1903507
