Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	cluster_1 term rank	cluster_2 term rank	cluster_3 term rank	cluster_4 term rank	cluster_5 term rank	cluster_6 term rank
GO:0000781	chromosome, telomeric region	168	1	4	1	26	None	None	None	None
GO:0005654	nucleoplasm	4200	1	29	3	1	2	18	None	None
GO:0005667	transcription regulator complex	516	1	4	76	12	1	None	None	None
GO:0005829	cytosol	5440	1	4	69	30	41	1	34	22
GO:0071944	cell periphery	6167	1	49	83	None	38	8	1	49
GO:0005768	endosome	1035	1	11	None	None	None	20	60	1
GO:0031981	nuclear lumen	5364	2	18	2	2	3	19	None	None
GO:0005737	cytoplasm	12254	2	110	30	71	57	2	8	2
GO:0070161	anchoring junction	983	2	10	None	None	48	None	2	None
GO:0031974	membrane-enclosed lumen	6496	3	4	5	3	4	35	None	None
GO:0032991	protein-containing complex	7826	3	61	9	8	9	3	4	21
GO:0012506	vesicle membrane	1202	3	1	None	None	None	34	112	3
GO:0005694	chromosome	1927	4	15	4	7	11	None	None	None
GO:0030054	cell junction	2122	5	15	None	None	95	None	5	26
GO:0005634	nucleus	9929	6	8	10	6	7	14	None	None
GO:0016020	membrane	9837	6	12	66	None	68	11	6	7
GO:0005622	intracellular anatomical structure	17594	10	21	14	15	15	10	66	35
GO:0012505	endomembrane system	4728	12	1	None	None	None	69	26	12
GO:0031982	vesicle	3973	14	3	None	None	None	32	20	14
GO:0043227	membrane-bounded organelle	15483	20	9	27	22	20	30	41	48
GO:0043226	organelle	16569	23	1	34	25	23	46	71	58
GO:0009986	cell surface	955	23	1	None	None	None	None	23	None
GO:0005576	extracellular region	4234	24	3	None	None	None	None	24	103
GO:0042995	cell projection	2389	28	16	None	None	107	72	28	50
GO:0099081	supramolecular polymer	1052	37	2	None	None	None	None	37	None
GO:0110165	cellular anatomical entity	21308	40	11	100	79	40	49	45	71
GO:0005575	cellular_component	21851	43	1	93	84	43	50	72	None
