Representative	Represented
GO:0005654	GO:0005654
GO:0005654	GO:0032806
GO:0005654	GO:0016604
GO:0005654	GO:0043601
GO:0005654	GO:0097550
GO:0005654	GO:0019908
GO:0005654	GO:0016591
GO:0005654	GO:0000439
GO:0005654	GO:0005675
GO:0005654	GO:0035102
GO:0005654	GO:0005669
GO:0005654	GO:0035097
GO:0005654	GO:0016605
GO:0005654	GO:0000109
GO:0005654	GO:0000118
GO:0005654	GO:0031261
GO:0005654	GO:0008023
GO:0005654	GO:0035098
GO:0005654	GO:0071162
GO:0005654	GO:0005662
GO:0005654	GO:0071339
GO:0005654	GO:0044665
GO:0005654	GO:0016607
GO:0005654	GO:0070822
GO:0005654	GO:0016580
GO:0005654	GO:0000812
GO:0005829	GO:0005829
GO:0005829	GO:0061702
GO:0071944	GO:0071944
GO:0071944	GO:0005886
GO:0071944	GO:0035631
GO:0071944	GO:0062023
GO:0071944	GO:0098802
GO:0071944	GO:0098797
GO:0071944	GO:0008305
GO:0071944	GO:0031012
GO:0071944	GO:0030312
GO:0071944	GO:0009898
GO:0071944	GO:0098644
GO:0071944	GO:0098590
GO:0071944	GO:0016342
GO:0071944	GO:0009897
GO:0071944	GO:0019897
GO:0071944	GO:0031234
GO:0071944	GO:0044853
GO:0071944	GO:0005604
GO:0071944	GO:0042734
GO:0071944	GO:0098643
GO:0071944	GO:0005583
GO:0071944	GO:0001527
GO:0071944	GO:1990909
GO:0071944	GO:0031253
GO:0071944	GO:0005901
GO:0071944	GO:0032587
GO:0071944	GO:0005938
GO:0071944	GO:0031256
GO:0071944	GO:0016324
GO:0071944	GO:0097060
GO:0071944	GO:0009925
GO:0071944	GO:0016328
GO:0071944	GO:0045211
GO:0071944	GO:0001772
GO:0071944	GO:0002116
GO:0071944	GO:0016323
GO:0031410	GO:0031410
GO:0031410	GO:0030659
GO:0031410	GO:0005768
GO:0031410	GO:0010008
GO:0031410	GO:0005769
GO:0031410	GO:0030139
GO:0031410	GO:0070382
GO:0031410	GO:0030133
GO:0031410	GO:0055037
GO:0031410	GO:0008021
GO:0031410	GO:0055038
GO:0031410	GO:0030670
GO:0031410	GO:0031901
GO:0031410	GO:0099503
GO:0031410	GO:0045335
GO:0031410	GO:0030666
GO:0031410	GO:0042470
GO:0031410	GO:0048770
GO:0031410	GO:0030667
GO:0031410	GO:0030141
GO:0031410	GO:0030136
GO:0031410	GO:0031091
GO:0031410	GO:0031093
GO:0031410	GO:0030135
GO:0031410	GO:0030672
GO:0031410	GO:0099501
GO:0031410	GO:0031983
GO:0031410	GO:0005798
GO:0031410	GO:0034774
GO:0031410	GO:0060205
GO:0031410	GO:0030140
GO:0031410	GO:0030658
GO:0031410	GO:0005770
GO:0031410	GO:0060198
GO:0031410	GO:0045334
GO:0000781	GO:0000781
GO:0000781	GO:0000783
GO:0000781	GO:0000782
GO:0000781	GO:0140445
GO:0031981	GO:0031981
GO:0031981	GO:0000228
GO:0031981	GO:0043596
GO:0031981	GO:0000794
GO:0031981	GO:0005677
GO:0031981	GO:0016586
GO:0031981	GO:0140092
GO:0031981	GO:0005730
GO:0031981	GO:0035060
GO:0031981	GO:0097346
GO:0031981	GO:0034399
GO:0031981	GO:0099086
GO:0031981	GO:0000795
GO:0031981	GO:0016363
GO:0031981	GO:0000800
GO:0005667	GO:0005667
GO:0005667	GO:0090575
GO:0005667	GO:0017053
GO:0005667	GO:0090571
GO:0005737	GO:0005737
GO:0005737	GO:0097708
GO:0005737	GO:0097136
GO:0005737	GO:0005788
GO:0005737	GO:0005741
GO:0005737	GO:0005739
GO:0005737	GO:0048471
GO:0005737	GO:0098791
GO:0005737	GO:0140275
GO:0005737	GO:0001401
GO:0005737	GO:0005794
GO:0005737	GO:0031984
GO:0005737	GO:0005802
GO:0005737	GO:0005742
GO:0005737	GO:0098799
GO:0005737	GO:0061617
GO:0005737	GO:0101031
GO:0005737	GO:0005783
GO:0005737	GO:0005776
GO:0005737	GO:0000932
GO:0005737	GO:0031903
GO:0005737	GO:0005778
GO:0005737	GO:0005773
GO:0005737	GO:1990062
GO:0005737	GO:0036464
GO:0005737	GO:0000835
GO:0005737	GO:0098800
GO:0005737	GO:0035770
GO:0005737	GO:0034709
GO:0005737	GO:0042579
GO:0005737	GO:0005777
GO:0005737	GO:0098798
GO:0005737	GO:0005871
GO:0005737	GO:0000323
GO:0005737	GO:0000153
GO:0005737	GO:0005764
GO:0005737	GO:0044232
GO:0005737	GO:0005789
GO:0005737	GO:0098827
GO:0005737	GO:0030877
GO:0005737	GO:0005743
GO:0005737	GO:0002102
GO:0070161	GO:0070161
GO:0070161	GO:0005925
GO:0070161	GO:0030055
GO:0070161	GO:0005911
GO:0070161	GO:0005912
GO:0070161	GO:0043296
GO:0070161	GO:0005923
GO:0070161	GO:0070160
GO:0070161	GO:0044291
GO:0031974	GO:0031974
GO:0031974	GO:0070013
GO:0031974	GO:0043233
GO:0031974	GO:0042575
GO:0140535	GO:0140535
GO:0140535	GO:0000151
GO:0140535	GO:0031461
GO:0140535	GO:1902555
GO:0140535	GO:1905348
GO:0140535	GO:0031464
GO:0140535	GO:0055029
GO:0140535	GO:0000428
GO:0140535	GO:0019005
GO:0140535	GO:0030880
GO:0140535	GO:0080008
GO:0140535	GO:0000152
GO:0140535	GO:0043189
GO:0140535	GO:0035267
GO:0140535	GO:0000123
GO:0140535	GO:0031248
GO:0140535	GO:1902493
GO:0140535	GO:1902562
GO:0005694	GO:0005694
GO:0005694	GO:0098687
GO:0005694	GO:0000785
GO:0005694	GO:0005657
GO:0005694	GO:0090734
GO:0005694	GO:0035861
GO:0005694	GO:0030894
GO:0005694	GO:0000792
GO:0005694	GO:0070603
GO:0005694	GO:0000793
GO:0005694	GO:0071564
GO:0005694	GO:0071565
GO:0005694	GO:0016514
GO:0005694	GO:0000803
GO:0005694	GO:0000776
GO:0005694	GO:0000775
GO:0005694	GO:0000779
GO:0005694	GO:0000791
GO:0005694	GO:0001741
GO:0030054	GO:0030054
GO:0030054	GO:0098793
GO:0030054	GO:0045202
GO:0030054	GO:0098794
GO:0030054	GO:0098978
GO:0030054	GO:0031594
GO:0030054	GO:0032279
GO:0030054	GO:0098984
GO:0030054	GO:0014069
GO:0030054	GO:0099572
GO:0030054	GO:0043197
GO:0012506	GO:0012506
GO:0016020	GO:0016020
GO:0016020	GO:0098588
GO:0016020	GO:0031090
GO:0016020	GO:0045121
GO:0016020	GO:0098857
GO:0016020	GO:0098552
GO:0016020	GO:0031968
GO:0016020	GO:0019867
GO:0016020	GO:0098796
GO:0016020	GO:0019898
GO:0016020	GO:0098562
GO:0016020	GO:0031965
GO:0016020	GO:0005942
GO:0016020	GO:0042175
GO:0016020	GO:0019866
GO:1990234	GO:1990234
GO:1990234	GO:0000307
GO:1990234	GO:1902554
GO:1990234	GO:1902911
GO:1990234	GO:0061695
GO:1990234	GO:0034708
GO:0043235	GO:0043235
GO:0032991	GO:0032991
GO:0032991	GO:1902494
GO:0032991	GO:0032993
GO:0032991	GO:0140513
GO:0032991	GO:0031519
GO:0032991	GO:1990391
GO:0032991	GO:0098636
GO:0032991	GO:0005581
GO:0032991	GO:0044815
GO:0032991	GO:1904949
GO:0032991	GO:0005697
GO:0032991	GO:0042555
GO:0032991	GO:0016592
GO:0032991	GO:0005732
GO:0032991	GO:0008180
GO:0032991	GO:0036038
GO:0031982	GO:0031982
GO:0031982	GO:1903561
GO:0031982	GO:0070062
GO:0005634	GO:0005634
GO:0005634	GO:0043073
GO:0005634	GO:0001673
GO:0005634	GO:0005635
GO:0012505	GO:0012505
GO:0043232	GO:0043232
GO:0043232	GO:0015630
GO:0043232	GO:0005856
GO:0043232	GO:0005813
GO:0043232	GO:0005815
GO:0043232	GO:0005819
GO:0043232	GO:0015629
GO:0043232	GO:0005884
GO:0043232	GO:0099513
GO:0043232	GO:0072686
GO:0043232	GO:0000922
GO:0043232	GO:0005874
GO:0043228	GO:0043228
GO:0005622	GO:0005622
GO:0005622	GO:0043231
GO:0005622	GO:0043229
