Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
REAC:R-HSA-73894	DNA Repair	1
			REAC:R-HSA-73894	DNA Repair	1	REAC:R-HSA-73894	DNA Repair	70	REAC:R-HSA-73894	DNA Repair	206									
			REAC:R-HSA-5693532	DNA Double-Strand Break Repair	2															
			REAC:R-HSA-5693538	Homology Directed Repair	4															
			REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	5															
			REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	6															
			REAC:R-HSA-9675135	Diseases of DNA repair	7															
			REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	9															
			REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	10															
			REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	11															
			REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	12															
			REAC:R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	13															
			REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	14															
			REAC:R-HSA-5693537	Resolution of D-Loop Structures	15															
			REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	16	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	79	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	157									
			REAC:R-HSA-9709603	Impaired BRCA2 binding to PALB2	17															
			REAC:R-HSA-5696398	Nucleotide Excision Repair	18	REAC:R-HSA-5696398	Nucleotide Excision Repair	64	REAC:R-HSA-5696398	Nucleotide Excision Repair	151									
			REAC:R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	19															
			REAC:R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	20															
			REAC:R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	21															
			REAC:R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	22															
			REAC:R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	23															
			REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	24															
			REAC:R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	27	REAC:R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	73	REAC:R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	166									
			REAC:R-HSA-5696400	Dual Incision in GG-NER	30	REAC:R-HSA-5696400	Dual Incision in GG-NER	141	REAC:R-HSA-5696400	Dual Incision in GG-NER	211									
			REAC:R-HSA-5693607	Processing of DNA double-strand break ends	31															
			REAC:R-HSA-6782135	Dual incision in TC-NER	32	REAC:R-HSA-6782135	Dual incision in TC-NER	78	REAC:R-HSA-6782135	Dual incision in TC-NER	148									
			REAC:R-HSA-174414	Processive synthesis on the C-strand of the telomere	33															
			REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	36	REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	75	REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	147									
			REAC:R-HSA-73933	Resolution of Abasic Sites (AP sites)	39															
			REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	42	REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	98	REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	104	REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	214						
			REAC:R-HSA-73884	Base Excision Repair	44															
			REAC:R-HSA-174437	Removal of the Flap Intermediate from the C-strand	45															
			REAC:R-HSA-5358508	Mismatch Repair	47															
			REAC:R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	51															
			REAC:R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	52															
			REAC:R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	54															
			REAC:R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	55															
			REAC:R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	56	REAC:R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	153												
			REAC:R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	63															
