Unnamed: 0	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	2.905625390649847e-61	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	279	135	57	15719	0.4222222222222222	0.2043010752688172	query_1	['GO:0035556']	['CARD11', 'AKT1', 'PYCARD', 'RNF31', 'CASP1', 'AZI2', 'FADD', 'BIRC3', 'BIRC2', 'TAB3', 'TRADD', 'TNFRSF1A', 'BTRC', 'MAP3K7', 'FASLG', 'TNIP2', 'RBCK1', 'TICAM2', 'IKBKG', 'MYD88', 'IKBKB', 'IRAK1', 'TBKBP1', 'MAP3K14', 'RIPK1', 'TNF', 'TRAF2', 'CARD8', 'MALT1', 'TBK1', 'TRAF6', 'TLR4', 'LTBR', 'OPTN', 'TNFAIP3', 'CFLAR', 'CASP10', 'TANK', 'NFKBIB', 'IRAK2', 'CASP8', 'IKBKE', 'TICAM1', 'PELI1', 'SHARPIN', 'BCL10', 'RELA', 'NFKBIA', 'REL', 'UBE2V1', 'TRAF3', 'IRAK4', 'CHUK', 'UBE2N', 'RELB', 'TNIP1', 'TAB2']	[['IMP', 'ISS', 'IBA', 'IEA'], ['IMP'], ['IDA'], ['IDA', 'IEA'], ['IMP', 'IEP'], ['IBA', 'IEA'], ['IEP'], ['TAS'], ['IEP', 'TAS'], ['IDA', 'IMP', 'IBA'], ['IEP', 'IEA'], ['IEP'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IEP', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['HMP'], ['IDA', 'IBA', 'TAS'], ['IEP', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS'], ['IBA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEP', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['HMP'], ['IEP', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEP'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IMP', 'IEP'], ['IEP', 'IEA'], ['IMP', 'HMP', 'ISS', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP', 'IBA', 'IEA'], ['IEP', 'IBA', 'IEA'], ['IDA'], ['IEP', 'IBA', 'IEA'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'TAS'], ['IMP'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP', 'IBA']]
1	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	1.959770364093183e-54	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	248	135	51	15719	0.3777777777777777	0.2056451612903226	query_1	['GO:0007249', 'GO:1902531']	['CARD11', 'PYCARD', 'RNF31', 'CASP1', 'FADD', 'BIRC3', 'BIRC2', 'TAB3', 'TRADD', 'TNFRSF1A', 'BTRC', 'MAP3K7', 'FASLG', 'TNIP2', 'RBCK1', 'TICAM2', 'IKBKG', 'MYD88', 'IKBKB', 'IRAK1', 'MAP3K14', 'RIPK1', 'TNF', 'TRAF2', 'CARD8', 'MALT1', 'TBK1', 'TRAF6', 'TLR4', 'LTBR', 'OPTN', 'TNFAIP3', 'CFLAR', 'CASP10', 'TANK', 'NFKBIB', 'CASP8', 'IKBKE', 'TICAM1', 'PELI1', 'SHARPIN', 'BCL10', 'RELA', 'REL', 'UBE2V1', 'TRAF3', 'IRAK4', 'CHUK', 'UBE2N', 'TNIP1', 'TAB2']	[['IMP', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IMP', 'IEP'], ['IEP'], ['TAS'], ['IEP'], ['IDA', 'IMP', 'IBA'], ['IEP', 'IEA'], ['IEP'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IEP', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['HMP'], ['IDA', 'IBA'], ['IEP', 'IEA'], ['IMP'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IDA', 'IMP', 'IEP', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['HMP'], ['IEP'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IEP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEP'], ['IMP'], ['IMP'], ['IEA'], ['IMP', 'IEP'], ['IEP'], ['IMP', 'HMP', 'ISS', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP'], ['IEP', 'IEA'], ['IEP'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IMP'], ['IMP'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP', 'IBA']]
0	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1.0922143926641487e-48	True	Toll Like Receptor 4 (TLR4) Cascade	140	127	44	10022	0.3464566929133858	0.3142857142857143	query_1	['REAC:R-HSA-168898']	['CD14', 'FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'BTRC', 'MAP3K7', 'TNIP2', 'IRF7', 'TICAM2', 'IRAK3', 'IKBKG', 'MYD88', 'IKBKB', 'FBXW11', 'IRAK1', 'RIPK1', 'TRAF2', 'TBK1', 'TAB1', 'TRAF6', 'TLR4', 'NFKB2', 'TANK', 'NFKBIB', 'IRAK2', 'SKP1', 'CASP8', 'IKBKE', 'CUL1', 'TICAM1', 'PELI1', 'RELA', 'NFKBIA', 'APP', 'UBE2V1', 'TRAF3', 'IRAK4', 'CHUK', 'UBE2N', 'MAP3K8', 'TAB2', 'TP53']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
2	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	1.6735745961745174e-48	True	MyD88-independent TLR4 cascade 	104	127	40	10022	0.3149606299212598	0.3846153846153846	query_1	['REAC:R-HSA-166016']	['CD14', 'FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'BTRC', 'MAP3K7', 'TNIP2', 'IRF7', 'TICAM2', 'IKBKG', 'IKBKB', 'FBXW11', 'IRAK1', 'RIPK1', 'TRAF2', 'TBK1', 'TAB1', 'TRAF6', 'TLR4', 'NFKB2', 'TANK', 'NFKBIB', 'IRAK2', 'SKP1', 'CASP8', 'IKBKE', 'CUL1', 'TICAM1', 'RELA', 'NFKBIA', 'APP', 'UBE2V1', 'TRAF3', 'CHUK', 'UBE2N', 'MAP3K8', 'TAB2', 'TP53']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
1	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	1.6735745961745174e-48	True	TRIF(TICAM1)-mediated TLR4 signaling 	104	127	40	10022	0.3149606299212598	0.3846153846153846	query_1	['REAC:R-HSA-166166']	['CD14', 'FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'BTRC', 'MAP3K7', 'TNIP2', 'IRF7', 'TICAM2', 'IKBKG', 'IKBKB', 'FBXW11', 'IRAK1', 'RIPK1', 'TRAF2', 'TBK1', 'TAB1', 'TRAF6', 'TLR4', 'NFKB2', 'TANK', 'NFKBIB', 'IRAK2', 'SKP1', 'CASP8', 'IKBKE', 'CUL1', 'TICAM1', 'RELA', 'NFKBIA', 'APP', 'UBE2V1', 'TRAF3', 'CHUK', 'UBE2N', 'MAP3K8', 'TAB2', 'TP53']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
3	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	4.403726462774422e-46	True	Toll-like Receptor Cascades	162	127	44	10022	0.3464566929133858	0.2716049382716049	query_1	['REAC:R-HSA-168249']	['CD14', 'FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'BTRC', 'MAP3K7', 'TNIP2', 'IRF7', 'TICAM2', 'IRAK3', 'IKBKG', 'MYD88', 'IKBKB', 'FBXW11', 'IRAK1', 'RIPK1', 'TRAF2', 'TBK1', 'TAB1', 'TRAF6', 'TLR4', 'NFKB2', 'TANK', 'NFKBIB', 'IRAK2', 'SKP1', 'CASP8', 'IKBKE', 'CUL1', 'TICAM1', 'PELI1', 'RELA', 'NFKBIA', 'APP', 'UBE2V1', 'TRAF3', 'IRAK4', 'CHUK', 'UBE2N', 'MAP3K8', 'TAB2', 'TP53']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
2	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	9.875471607847052e-46	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	187	135	42	15719	0.3111111111111111	0.2245989304812834	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['CARD11', 'RNF31', 'CASP1', 'FADD', 'BIRC3', 'BIRC2', 'TAB3', 'TRADD', 'TNFRSF1A', 'MAP3K7', 'FASLG', 'TNIP2', 'RBCK1', 'TICAM2', 'IKBKG', 'MYD88', 'IKBKB', 'IRAK1', 'MAP3K14', 'RIPK1', 'TNF', 'TRAF2', 'MALT1', 'TBK1', 'TRAF6', 'TLR4', 'LTBR', 'CFLAR', 'CASP10', 'CASP8', 'IKBKE', 'TICAM1', 'PELI1', 'SHARPIN', 'BCL10', 'RELA', 'REL', 'UBE2V1', 'IRAK4', 'CHUK', 'UBE2N', 'TAB2']	[['IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEP'], ['IEP'], ['TAS'], ['IEP'], ['IDA', 'IMP', 'IBA'], ['IEP', 'IEA'], ['IEP'], ['IMP', 'IBA', 'IEA'], ['IEP', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['HMP'], ['IDA', 'IBA'], ['IEP', 'IEA'], ['IMP'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IDA', 'IEP', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['HMP'], ['IEP'], ['IDA', 'IEA'], ['IEA'], ['IEP', 'IBA', 'IEA'], ['IEP'], ['IMP'], ['IMP', 'IEP'], ['IEP'], ['IMP', 'HMP', 'ISS', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP'], ['IEP', 'IEA'], ['IEP'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IMP'], ['IMP'], ['IDA', 'IEP', 'IBA']]
4	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	4.831351907766675e-44	True	Toll Like Receptor 3 (TLR3) Cascade	100	127	37	10022	0.2913385826771653	0.37	query_1	['REAC:R-HSA-168898']	['FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'BTRC', 'MAP3K7', 'TNIP2', 'IRF7', 'IKBKG', 'IKBKB', 'FBXW11', 'IRAK1', 'RIPK1', 'TRAF2', 'TBK1', 'TAB1', 'TRAF6', 'NFKB2', 'TANK', 'NFKBIB', 'IRAK2', 'SKP1', 'CASP8', 'IKBKE', 'CUL1', 'TICAM1', 'RELA', 'NFKBIA', 'APP', 'UBE2V1', 'TRAF3', 'CHUK', 'UBE2N', 'MAP3K8', 'TAB2', 'TP53']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
3	GO:BP	GO:0080134	regulation of response to stress	4.6805272063015366e-42	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	135	76	15719	0.562962962962963	0.0550724637681159	query_1	['GO:0006950', 'GO:0048583']	['LTA', 'BRCC3', 'AKT1', 'PYCARD', 'CD14', 'RNF31', 'CASP1', 'BCL2L11', 'FADD', 'BIRC3', 'NFKB1', 'BIRC2', 'TRADD', 'TNFRSF1A', 'NLRP3', 'BBC3', 'MAP3K7', 'CUL4A', 'TNIP2', 'IRF7', 'TICAM2', 'IRAK3', 'CDC37', 'MYD88', 'BCL2', 'IKBKB', 'PTPN22', 'BABAM2', 'IRAK1', 'LRSAM1', 'CREBBP', 'MEFV', 'RIPK1', 'TNF', 'FBXW7', 'BAK1', 'TRAF2', 'GSK3B', 'TBK1', 'TRAF6', 'TLR4', 'LTBR', 'FAS', 'BAD', 'BAX', 'OPTN', 'SARM1', 'TNFAIP3', 'NLRP1', 'TNFRSF1B', 'IRAK2', 'MCL1', 'CASP8', 'IKBKE', 'TICAM1', 'BID', 'NLRP4', 'PELI1', 'NLRP2', 'SHARPIN', 'PYDC2', 'BCL10', 'RELA', 'NLRC4', 'NFKBIA', 'APP', 'AIM2', 'UBE2V1', 'TRAF3', 'IRAK4', 'HSP90AA1', 'UBE2N', 'CASP5', 'BCL2L1', 'TNIP1', 'TP53']	[['IEA'], ['IMP', 'NAS', 'IEA'], ['NAS'], ['IDA', 'IMP', 'ISO', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'ISO', 'IBA', 'NAS'], ['TAS'], ['IMP'], ['TAS'], ['IEA'], ['TAS'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['TAS'], ['TAS'], ['IEA'], ['ISS', 'IBA'], ['ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IMP'], ['IDA', 'ISS', 'IEA'], ['TAS'], ['TAS'], ['IMP', 'IBA', 'IC', 'IEA'], ['IMP', 'NAS', 'IEA'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['TAS'], ['IMP', 'ISO', 'NAS'], ['IDA', 'IMP', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IMP', 'TAS'], ['IBA', 'IEA'], ['TAS'], ['IEA'], ['IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'IC', 'IEA'], ['IMP'], ['IMP', 'IBA'], ['IEA'], ['IMP', 'TAS'], ['IMP'], ['IEA'], ['IDA', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'NAS', 'IC', 'IEA'], ['ISS', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IGI', 'IEA'], ['ISS'], ['IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IBA'], ['IEA'], ['IBA'], ['ISS', 'IEA'], ['IMP', 'IBA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IGI'], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], ['TAS'], ['ISS', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA'], ['IDA', 'IMP', 'TAS'], ['IBA'], ['IDA'], ['ISS', 'IEA'], ['IEA']]
5	REAC	REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	7.672961579027258e-42	True	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	55	127	30	10022	0.2362204724409448	0.5454545454545454	query_1	['REAC:R-HSA-168249']	['PYCARD', 'CASP1', 'BIRC3', 'NFKB1', 'BIRC2', 'TAB3', 'MAP3K7', 'IKBKG', 'BCL2', 'IKBKB', 'IRAK1', 'MEFV', 'HSP90AB1', 'TAB1', 'TRAF6', 'PSTPIP1', 'NFKB2', 'TNFAIP3', 'NLRP1', 'IRAK2', 'CASP8', 'RELA', 'NLRC4', 'APP', 'AIM2', 'UBE2V1', 'CHUK', 'UBE2N', 'BCL2L1', 'TAB2']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
