	Unnamed: 0	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	seeds	diseases
0	0	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	1.6658861187353372e-74	True	Mitotic G1 phase and G1/S transition	147	155	55	17376	0.3548387096774194	0.3741496598639456	query_1	['REAC:R-HSA-69278']	['MYC', 'CDKN2C', 'CCND2', 'RBL2', 'ORC6', 'E2F6', 'ORC5', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'TFDP2', 'MCM2', 'CUL1', 'CDK7', 'E2F5', 'CDK6', 'E2F4', 'ORC4', 'CCNE2', 'RB1', 'CDKN2B', 'PSMC5', 'CDK1', 'E2F2', 'CDKN1B', 'CDKN2D', 'SKP1', 'MCM6', 'ORC1', 'CCNB1', 'RBL1', 'MAX', 'CDC6', 'CCNA1', 'CDKN2A', 'CCND3', 'ORC2', 'MNAT1', 'SKP2', 'CDK4', 'CDKN1A', 'CKS1B', 'GMNN', 'CCND1', 'CDT1', 'HDAC1', 'CCNE1', 'ORC3', 'MCM7', 'TFDP1', 'PCNA', 'AKT1']	0	0
1	1	REAC	REAC:R-HSA-69206	G1/S Transition	2.803193337378652e-62	True	G1/S Transition	130	155	47	17376	0.3032258064516129	0.3615384615384615	query_1	['REAC:R-HSA-453279']	['MYC', 'RBL2', 'ORC6', 'E2F6', 'ORC5', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'TFDP2', 'MCM2', 'CUL1', 'CDK7', 'E2F5', 'E2F4', 'ORC4', 'CCNE2', 'RB1', 'PSMC5', 'CDK1', 'CDKN1B', 'SKP1', 'MCM6', 'ORC1', 'CCNB1', 'RBL1', 'MAX', 'CDC6', 'CCNA1', 'ORC2', 'MNAT1', 'SKP2', 'CDK4', 'CDKN1A', 'CKS1B', 'GMNN', 'CCND1', 'CDT1', 'HDAC1', 'CCNE1', 'ORC3', 'MCM7', 'TFDP1', 'PCNA', 'AKT1']	0	0
2	2	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	9.369604002841374e-62	True	Generic Transcription Pathway	1151	155	89	17376	0.5741935483870968	0.0773240660295395	query_1	['REAC:R-HSA-73857']	['MYC', 'L3MBTL2', 'KCTD15', 'CDK5R1', 'RBX1', 'PCGF6', 'KDM5B', 'RYBP', 'TFAP2B', 'CITED2', 'EZH2', 'CCND2', 'RBL2', 'ESR1', 'E2F6', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'CCNA2', 'RING1', 'TFDP2', 'CUL1', 'EED', 'FOXG1', 'CDK7', 'SMAD4', 'FOXO3', 'EHMT2', 'E2F5', 'CDK6', 'E2F4', 'YEATS4', 'CCNE2', 'TFAP2A', 'TFAP2C', 'SMAD1', 'RB1', 'SMAD3', 'CDKN2B', 'PSMC5', 'SUZ12', 'PHC3', 'CDK5', 'EP300', 'CDK1', 'CDKN1B', 'SMARCA4', 'CITED4', 'FOXO1', 'MGA', 'SKP1', 'TP53', 'SMAD2', 'HDAC2', 'SIN3A', 'CCNB1', 'RBL1', 'YAF2', 'MAX', 'PHC1', 'CCNA1', 'CBX3', 'EPC1', 'CDKN2A', 'AR', 'DDB2', 'SP1', 'KAT5', 'CCND3', 'MNAT1', 'CTNNB1', 'YY1', 'SKP2', 'EHMT1', 'CDK4', 'CDKN1A', 'TGIF1', 'CREBBP', 'PCGF2', 'CCND1', 'HDAC1', 'CCNE1', 'BMI1', 'TFDP1', 'PCNA', 'KCTD1', 'RNF2', 'AKT1']	['TFAP2A']	['Branchio-oculo-facial syndrome']
3	3	GO:CC	GO:0005654	nucleoplasm	7.72716128307447e-60	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	155	133	17376	0.8580645161290322	0.0333667837431008	query_1	['GO:0031981', 'GO:0110165']	['MYC', 'L3MBTL2', 'CDK5R1', 'NPLOC4', 'DDB1', 'RBX1', 'PCGF6', 'CUL3', 'CUL4A', 'KDM5B', 'RYBP', 'TFAP2B', 'KLC2', 'CITED2', 'EZH2', 'CCND2', 'RBL2', 'ESR1', 'ORC6', 'NEDD8', 'BTRC', 'E2F6', 'ERCC6', 'ORC5', 'CDK2', 'STAT3', 'USP24', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'RING1', 'TFDP2', 'MCM2', 'UFD1', 'CUL1', 'TRRAP', 'EED', 'FOXG1', 'PKMYT1', 'USP37', 'CDK7', 'UBE2W', 'SMAD4', 'FOXO3', 'EHMT2', 'E2F5', 'CDK6', 'E2F4', 'YEATS4', 'ORC4', 'CCNE2', 'TFAP2A', 'COPS5', 'TFAP2C', 'SMAD1', 'RB1', 'SMAD3', 'PSMC5', 'CDC25B', 'VCP', 'ERCC8', 'SUZ12', 'PHC3', 'CDK5', 'EP300', 'CDK1', 'DNMT1', 'E2F2', 'CUL4B', 'CDKN1B', 'SMARCA4', 'CDKN2D', 'CITED4', 'CTCF', 'FOXO1', 'MGA', 'SKP1', 'TP53', 'SMAD2', 'HDAC2', 'SIN3A', 'MCM6', 'ORC1', 'CCNB1', 'RBL1', 'YAF2', 'RCOR1', 'MAX', 'PHC1', 'CDC6', 'KDM1A', 'CCNA1', 'CBX3', 'RUVBL1', 'EPC1', 'CDKN2A', 'OAZ3', 'AR', 'DDB2', 'SP1', 'KAT5', 'CCND3', 'ORC2', 'MNAT1', 'CTNNB1', 'YY1', 'SKP2', 'EHMT1', 'CDK4', 'CDKN1A', 'REST', 'CKS1B', 'TGIF1', 'GMNN', 'CREBBP', 'CAND1', 'PCGF2', 'CCND1', 'CDT1', 'HDAC1', 'CCNE1', 'BMI1', 'ORC3', 'MCM7', 'TFDP1', 'UBD', 'PCNA', 'KCTD1', 'RNF2', 'NUB1', 'AKT1']	['ERCC6', 'TFAP2A', 'ERCC8']	['Cockayne syndrome type 3', 'Branchio-oculo-facial syndrome', 'Cockayne syndrome type 3']
4	4	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	4.425337661710488e-58	True	RNA Polymerase II Transcription	1272	155	89	17376	0.5741935483870968	0.0699685534591195	query_1	['REAC:R-HSA-74160']	['MYC', 'L3MBTL2', 'KCTD15', 'CDK5R1', 'RBX1', 'PCGF6', 'KDM5B', 'RYBP', 'TFAP2B', 'CITED2', 'EZH2', 'CCND2', 'RBL2', 'ESR1', 'E2F6', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'CCNA2', 'RING1', 'TFDP2', 'CUL1', 'EED', 'FOXG1', 'CDK7', 'SMAD4', 'FOXO3', 'EHMT2', 'E2F5', 'CDK6', 'E2F4', 'YEATS4', 'CCNE2', 'TFAP2A', 'TFAP2C', 'SMAD1', 'RB1', 'SMAD3', 'CDKN2B', 'PSMC5', 'SUZ12', 'PHC3', 'CDK5', 'EP300', 'CDK1', 'CDKN1B', 'SMARCA4', 'CITED4', 'FOXO1', 'MGA', 'SKP1', 'TP53', 'SMAD2', 'HDAC2', 'SIN3A', 'CCNB1', 'RBL1', 'YAF2', 'MAX', 'PHC1', 'CCNA1', 'CBX3', 'EPC1', 'CDKN2A', 'AR', 'DDB2', 'SP1', 'KAT5', 'CCND3', 'MNAT1', 'CTNNB1', 'YY1', 'SKP2', 'EHMT1', 'CDK4', 'CDKN1A', 'TGIF1', 'CREBBP', 'PCGF2', 'CCND1', 'HDAC1', 'CCNE1', 'BMI1', 'TFDP1', 'PCNA', 'KCTD1', 'RNF2', 'AKT1']	['TFAP2A']	['Branchio-oculo-facial syndrome']
5	5	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	7.898434918566874e-57	True	Gene expression (Transcription)	1407	155	91	17376	0.5870967741935483	0.0646766169154228	query_1	['REAC:0000000']	['MYC', 'L3MBTL2', 'KCTD15', 'CDK5R1', 'RBX1', 'PCGF6', 'KDM5B', 'RYBP', 'TFAP2B', 'CITED2', 'EZH2', 'CCND2', 'RBL2', 'ESR1', 'E2F6', 'ERCC6', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'CCNA2', 'RING1', 'TFDP2', 'CUL1', 'EED', 'FOXG1', 'CDK7', 'SMAD4', 'FOXO3', 'EHMT2', 'E2F5', 'CDK6', 'E2F4', 'YEATS4', 'CCNE2', 'TFAP2A', 'TFAP2C', 'SMAD1', 'RB1', 'SMAD3', 'CDKN2B', 'PSMC5', 'SUZ12', 'PHC3', 'CDK5', 'EP300', 'CDK1', 'DNMT1', 'CDKN1B', 'SMARCA4', 'CITED4', 'FOXO1', 'MGA', 'SKP1', 'TP53', 'SMAD2', 'HDAC2', 'SIN3A', 'CCNB1', 'RBL1', 'YAF2', 'MAX', 'PHC1', 'CCNA1', 'CBX3', 'EPC1', 'CDKN2A', 'AR', 'DDB2', 'SP1', 'KAT5', 'CCND3', 'MNAT1', 'CTNNB1', 'YY1', 'SKP2', 'EHMT1', 'CDK4', 'CDKN1A', 'TGIF1', 'CREBBP', 'PCGF2', 'CCND1', 'HDAC1', 'CCNE1', 'BMI1', 'TFDP1', 'PCNA', 'KCTD1', 'RNF2', 'AKT1']	['ERCC6', 'TFAP2A']	['Cockayne syndrome type 3', 'Branchio-oculo-facial syndrome']
6	6	GO:CC	GO:0031981	nuclear lumen	1.8906175535284206e-55	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	155	133	17376	0.8580645161290322	0.0306734317343173	query_1	['GO:0005634', 'GO:0070013']	['MYC', 'L3MBTL2', 'CDK5R1', 'NPLOC4', 'DDB1', 'RBX1', 'PCGF6', 'CUL3', 'CUL4A', 'KDM5B', 'RYBP', 'TFAP2B', 'KLC2', 'CITED2', 'EZH2', 'CCND2', 'RBL2', 'ESR1', 'ORC6', 'NEDD8', 'BTRC', 'E2F6', 'ERCC6', 'ORC5', 'CDK2', 'STAT3', 'USP24', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'RING1', 'TFDP2', 'MCM2', 'UFD1', 'CUL1', 'TRRAP', 'EED', 'FOXG1', 'PKMYT1', 'USP37', 'CDK7', 'UBE2W', 'SMAD4', 'FOXO3', 'EHMT2', 'E2F5', 'CDK6', 'E2F4', 'YEATS4', 'ORC4', 'CCNE2', 'TFAP2A', 'COPS5', 'TFAP2C', 'SMAD1', 'RB1', 'SMAD3', 'PSMC5', 'CDC25B', 'VCP', 'ERCC8', 'SUZ12', 'PHC3', 'CDK5', 'EP300', 'CDK1', 'DNMT1', 'E2F2', 'CUL4B', 'CDKN1B', 'SMARCA4', 'CDKN2D', 'CITED4', 'CTCF', 'FOXO1', 'MGA', 'SKP1', 'TP53', 'SMAD2', 'HDAC2', 'SIN3A', 'MCM6', 'ORC1', 'CCNB1', 'RBL1', 'YAF2', 'RCOR1', 'MAX', 'PHC1', 'CDC6', 'KDM1A', 'CCNA1', 'CBX3', 'RUVBL1', 'EPC1', 'CDKN2A', 'OAZ3', 'AR', 'DDB2', 'SP1', 'KAT5', 'CCND3', 'ORC2', 'MNAT1', 'CTNNB1', 'YY1', 'SKP2', 'EHMT1', 'CDK4', 'CDKN1A', 'REST', 'CKS1B', 'TGIF1', 'GMNN', 'CREBBP', 'CAND1', 'PCGF2', 'CCND1', 'CDT1', 'HDAC1', 'CCNE1', 'BMI1', 'ORC3', 'MCM7', 'TFDP1', 'UBD', 'PCNA', 'KCTD1', 'RNF2', 'NUB1', 'AKT1']	['ERCC6', 'TFAP2A', 'ERCC8']	['Cockayne syndrome type 3', 'Branchio-oculo-facial syndrome', 'Cockayne syndrome type 3']
7	7	REAC	REAC:R-HSA-69242	S Phase	4.504853742613223e-52	True	S Phase	162	155	44	17376	0.2838709677419355	0.2716049382716049	query_1	['REAC:R-HSA-69278']	['MYC', 'RBX1', 'RBL2', 'ORC6', 'ORC5', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'TFDP2', 'MCM2', 'CUL1', 'CDK7', 'E2F5', 'E2F4', 'ORC4', 'CCNE2', 'RB1', 'PSMC5', 'CDC25B', 'CDKN1B', 'SKP1', 'MCM6', 'ORC1', 'MAX', 'CDC6', 'CCNA1', 'ORC2', 'MNAT1', 'SKP2', 'CDK4', 'CDKN1A', 'CKS1B', 'GMNN', 'CCND1', 'CDT1', 'CCNE1', 'ORC3', 'MCM7', 'TFDP1', 'PCNA', 'AKT1']	0	0
8	8	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	1.469448172698175e-50	True	Cell Cycle, Mitotic	543	155	62	17376	0.4	0.1141804788213628	query_1	['REAC:R-HSA-1640170']	['MYC', 'RBX1', 'CDKN2C', 'CCND2', 'RBL2', 'ORC6', 'BTRC', 'E2F6', 'ORC5', 'CDK2', 'CCNH', 'E2F1', 'RBBP4', 'MCM4', 'CCNA2', 'TFDP2', 'MCM2', 'CUL1', 'PKMYT1', 'CDK7', 'E2F5', 'CDK6', 'E2F4', 'ORC4', 'CCNE2', 'RB1', 'CDKN2B', 'PSMC5', 'CDC25B', 'EP300', 'CDK1', 'E2F2', 'CCNB2', 'CDKN1B', 'CDKN2D', 'SKP1', 'TP53', 'MCM6', 'ORC1', 'CCNB1', 'RBL1', 'MAX', 'CDC6', 'CCNA1', 'CDKN2A', 'CCND3', 'ORC2', 'MNAT1', 'SKP2', 'CDK4', 'CDKN1A', 'CKS1B', 'GMNN', 'CCND1', 'CDT1', 'HDAC1', 'CCNE1', 'ORC3', 'MCM7', 'TFDP1', 'PCNA', 'AKT1']	0	0
9	9	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	1.179248160327844e-49	True	Cyclin D associated events in G1	46	155	30	17376	0.1935483870967742	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2C', 'CCND2', 'RBL2', 'CDK2', 'CCNH', 'E2F1', 'TFDP2', 'CUL1', 'CDK7', 'E2F5', 'CDK6', 'E2F4', 'CCNE2', 'RB1', 'CDKN2B', 'E2F2', 'CDKN1B', 'CDKN2D', 'SKP1', 'RBL1', 'CDKN2A', 'CCND3', 'MNAT1', 'SKP2', 'CDK4', 'CDKN1A', 'CKS1B', 'CCND1', 'CCNE1', 'TFDP1']	0	0
