Unnamed: 0	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	seeds	diseases
0	REAC	REAC:R-HSA-9007101	Rab regulation of trafficking	4.163896473787061e-44	True	Rab regulation of trafficking	119	124	39	10022	0.314516129032258	0.3277310924369748	query_1	['REAC:R-HSA-199991']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'RAB39A', 'CHM', 'GDI1', 'RAB32', 'RAB38', 'RAB6A', 'RIN3', 'RAB5B', 'RAB14', 'RAB8B', 'RAB3A', 'RAB3GAP2', 'RAB13', 'RAB5A', 'RAB7A', 'RAB1A', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB1B', 'RAB3IL1', 'RABGEF1', 'HPS4', 'RAB3GAP1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
1	REAC	REAC:R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	9.194685693411516e-38	True	RAB GEFs exchange GTP for GDP on RABs	87	124	32	10022	0.2580645161290322	0.367816091954023	query_1	['REAC:R-HSA-9007101']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'RAB39A', 'CHM', 'GDI1', 'RAB32', 'RAB38', 'RAB6A', 'RIN3', 'RAB5B', 'RAB14', 'RAB8B', 'RAB3A', 'RAB3GAP2', 'RAB13', 'RAB5A', 'RAB7A', 'RAB1A', 'HPS1', 'RAB5C', 'RAB3IP', 'RAB18', 'RAB35', 'RAB31', 'RAB1B', 'RAB3IL1', 'RABGEF1', 'HPS4', 'RAB3GAP1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
2	REAC	REAC:R-HSA-8873719	RAB geranylgeranylation	9.044278770867772e-36	True	RAB geranylgeranylation	63	124	28	10022	0.2258064516129032	0.4444444444444444	query_1	['REAC:R-HSA-597592']	['RAB10', 'CHML', 'RAB8A', 'RAB39A', 'CHM', 'RAB32', 'RAB38', 'RAB6A', 'RAB5B', 'RAB14', 'RAB8B', 'RAB23', 'RAB3A', 'RAB13', 'RAB5A', 'RAB7A', 'RAB1A', 'RAB4A', 'RAB5C', 'PTP4A2', 'RAB18', 'RAB35', 'RAB31', 'RAB22A', 'RABGGTB', 'RAB1B', 'RAB34', 'RABGGTA']	0	0
0	GO:CC	GO:0005768	endosome	3.3507296896563973e-25	True	"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]"	989	141	52	16420	0.3687943262411347	0.0525783619817998	query_1	['GO:0012505', 'GO:0031410']	['RAB10', 'RAB8A', 'GGA3', 'GGA2', 'OSBPL1A', 'SORT1', 'EEA1', 'APH1A', 'RAB32', 'RAB38', 'RIN3', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'SUN2', 'RAB5A', 'PSENEN', 'NGF', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'PTP4A2', 'RABEP1', 'GGA1', 'RAB35', 'RAB31', 'SLC39A4', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RUFY1', 'EHD2', 'HTT', 'RABGEF1', 'APP', 'NGFR', 'RILP']	0	0
1	GO:CC	GO:0030659	cytoplasmic vesicle membrane	4.732820837715062e-25	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1158	141	55	16420	0.3900709219858156	0.0474956822107081	query_1	['GO:0012506', 'GO:0031410']	['RAB10', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'EEA1', 'RAB39A', 'SNAP25', 'APH1A', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'PSENEN', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'RAB4A', 'RAB5C', 'OPTN', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'SLC39A4', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'HTT', 'RABGEF1', 'RAB34', 'RILP']	0	0
2	GO:CC	GO:0010008	endosome membrane	4.98206347379974e-25	True	"""The lipid bilayer surrounding an endosome."" [GOC:mah]"	522	141	40	16420	0.2836879432624113	0.0766283524904214	query_1	['GO:0005768', 'GO:0030659', 'GO:0098588']	['RAB10', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'EEA1', 'APH1A', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB13', 'SUN2', 'RAB5A', 'PSENEN', 'RAB7A', 'APH1B', 'RBSN', 'RAB4A', 'RAB5C', 'OPTN', 'RABEP1', 'GGA1', 'RAB35', 'RAB31', 'SLC39A4', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RUFY1', 'EHD2', 'RABGEF1', 'RILP']	0	0
3	GO:CC	GO:0012506	vesicle membrane	5.105894531185677e-25	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1176	141	55	16420	0.3900709219858156	0.0467687074829932	query_1	['GO:0031090', 'GO:0031982']	['RAB10', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'EEA1', 'RAB39A', 'SNAP25', 'APH1A', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'PSENEN', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'RAB4A', 'RAB5C', 'OPTN', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'SLC39A4', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'HTT', 'RABGEF1', 'RAB34', 'RILP']	0	0
4	GO:CC	GO:0031410	cytoplasmic vesicle	2.217865800593585e-24	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2393	141	74	16420	0.524822695035461	0.0309235269536147	query_1	['GO:0005737', 'GO:0097708']	['GDI2', 'RAB10', 'ARHGDIB', 'PPFIA3', 'RAB8A', 'GGA3', 'GGA2', 'OSBPL1A', 'STXBP1', 'SORT1', 'EEA1', 'RAB39A', 'SNAP25', 'APH1A', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'RIN3', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'PSENEN', 'NGF', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'PTP4A2', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RHOH', 'SLC39A4', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'HTT', 'RABGEF1', 'APP', 'RAB34', 'HPS4', 'NGFR', 'RILP', 'YWHAE']	0	0
5	GO:CC	GO:0097708	intracellular vesicle	2.217865800593585e-24	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2395	141	74	16420	0.524822695035461	0.0308977035490605	query_1	['GO:0031982', 'GO:0043231']	['GDI2', 'RAB10', 'ARHGDIB', 'PPFIA3', 'RAB8A', 'GGA3', 'GGA2', 'OSBPL1A', 'STXBP1', 'SORT1', 'EEA1', 'RAB39A', 'SNAP25', 'APH1A', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'RIN3', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'PSENEN', 'NGF', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'PTP4A2', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RHOH', 'SLC39A4', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'HTT', 'RABGEF1', 'APP', 'RAB34', 'HPS4', 'NGFR', 'RILP', 'YWHAE']	0	0
0	GO:BP	GO:0016192	vesicle-mediated transport	5.927011459997161e-23	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1517	142	62	15719	0.4366197183098591	0.040870138431114	query_1	['GO:0006810']	['GDI2', 'RAB10', 'CHML', 'PPFIA3', 'RAB8A', 'GGA3', 'GGA2', 'OSBPL1A', 'STXBP1', 'SORT1', 'EEA1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'RIN3', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB3A', 'RAB13', 'STX1A', 'RAB5A', 'RAB7A', 'RAB1A', 'RBSN', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'GGA1', 'RAB35', 'RAB31', 'HMMR', 'RHOH', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'HTT', 'RABGEF1', 'APP', 'RAB34', 'HPS4', 'RAB3GAP1', 'ARHGDIA', 'RILP']	['RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome']
