Representing term id	Representing term name	Representing term rank	93932 term id	93932 term name	93932 term rank	920 term id	920 term name	920 term rank	909 term id	909 term name	909 term rank	904 term id	904 term name	904 term rank	90348 term id	90348 term name	90348 term rank	90324 term id	90324 term name	90324 term rank	90322 term id	90322 term name	90322 term rank	90321 term id	90321 term name	90321 term rank	902 term id	902 term name	902 term rank	90154 term id	90154 term name	90154 term rank	90153 term id	90153 term name	90153 term rank	897 term id	897 term name	897 term rank	895 term id	895 term name	895 term rank	894 term id	894 term name	894 term rank	808 term id	808 term name	808 term rank	79477 term id	79477 term name	79477 term rank	79476 term id	79476 term name	79476 term rank	79474 term id	79474 term name	79474 term rank	79333 term id	79333 term name	79333 term rank	79325 term id	79325 term name	79325 term rank	79087 term id	79087 term name	79087 term rank	769 term id	769 term name	769 term rank	758 term id	758 term name	758 term rank	75496 term id	75496 term name	75496 term rank	740 term id	740 term name	740 term rank	633 term id	633 term name	633 term rank	500 term id	500 term name	500 term rank	498359 term id	498359 term name	498359 term rank	487825 term id	487825 term name	487825 term rank	477 term id	477 term name	477 term rank	435628 term id	435628 term name	435628 term rank	412057 term id	412057 term name	412057 term rank	363618 term id	363618 term name	363618 term rank	357074 term id	357074 term name	357074 term rank	3455 term id	3455 term name	3455 term rank	3437 term id	3437 term name	3437 term rank	33445 term id	33445 term name	33445 term rank	33364 term id	33364 term name	33364 term rank	3322 term id	3322 term name	3322 term rank	3163 term id	3163 term name	3163 term rank	3051 term id	3051 term name	3051 term rank	2963 term id	2963 term name	2963 term rank	287 term id	287 term name	287 term rank	286 term id	286 term name	286 term rank	2834 term id	2834 term name	2834 term rank	280679 term id	280679 term name	280679 term rank	280365 term id	280365 term name	280365 term rank	2658 term id	2658 term name	2658 term rank	263534 term id	263534 term name	263534 term rank	263487 term id	263487 term name	263487 term rank	2500 term id	2500 term name	2500 term rank	220295 term id	220295 term name	220295 term rank	2078 term id	2078 term name	2078 term rank	2067 term id	2067 term name	2067 term rank	1942 term id	1942 term name	1942 term rank	1901 term id	1901 term name	1901 term rank	1860 term id	1860 term name	1860 term rank	1807 term id	1807 term name	1807 term rank	1775 term id	1775 term name	1775 term rank	163746 term id	163746 term name	163746 term rank	1387 term id	1387 term name	1387 term rank	137608 term id	137608 term name	137608 term rank	1340 term id	1340 term name	1340 term rank	1299 term id	1299 term name	1299 term rank	1297 term id	1297 term name	1297 term rank	101028 term id	101028 term name	101028 term rank	100 term id	100 term name	100 term rank
GO:0007166	cell surface receptor signaling pathway	1
			GO:0007166	cell surface receptor signaling pathway	1	GO:0007166	cell surface receptor signaling pathway	231	GO:0007166	cell surface receptor signaling pathway	99	GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	6																			GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	8	GO:0007166	cell surface receptor signaling pathway	174													GO:0007166	cell surface receptor signaling pathway	50	GO:0007166	cell surface receptor signaling pathway	110	GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	1										GO:0007166	cell surface receptor signaling pathway	42	GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	11	GO:0007166	cell surface receptor signaling pathway	163	GO:0007166	cell surface receptor signaling pathway	1				GO:0007166	cell surface receptor signaling pathway	138							GO:0007166	cell surface receptor signaling pathway	6	GO:0007166	cell surface receptor signaling pathway	58				GO:0007166	cell surface receptor signaling pathway	299				GO:0007166	cell surface receptor signaling pathway	6	GO:0007166	cell surface receptor signaling pathway	251	GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	6	GO:0007166	cell surface receptor signaling pathway	4				GO:0007166	cell surface receptor signaling pathway	67							GO:0007166	cell surface receptor signaling pathway	45	GO:0007166	cell surface receptor signaling pathway	50	GO:0007166	cell surface receptor signaling pathway	4				GO:0007166	cell surface receptor signaling pathway	4				GO:0007166	cell surface receptor signaling pathway	66	GO:0007166	cell surface receptor signaling pathway	3	GO:0007166	cell surface receptor signaling pathway	4	GO:0007166	cell surface receptor signaling pathway	231				GO:0007166	cell surface receptor signaling pathway	241							GO:0007166	cell surface receptor signaling pathway	5	GO:0007166	cell surface receptor signaling pathway	87	GO:0007166	cell surface receptor signaling pathway	480						
			GO:0007167	enzyme-linked receptor protein signaling pathway	7	GO:0007167	enzyme-linked receptor protein signaling pathway	202				GO:0007167	enzyme-linked receptor protein signaling pathway	3	GO:0007167	enzyme-linked receptor protein signaling pathway	2																			GO:0007167	enzyme-linked receptor protein signaling pathway	14	GO:0007167	enzyme-linked receptor protein signaling pathway	18	GO:0007167	enzyme-linked receptor protein signaling pathway	136				GO:0007167	enzyme-linked receptor protein signaling pathway	265	GO:0007167	enzyme-linked receptor protein signaling pathway	265										GO:0007167	enzyme-linked receptor protein signaling pathway	3	GO:0007167	enzyme-linked receptor protein signaling pathway	3										GO:0007167	enzyme-linked receptor protein signaling pathway	206	GO:0007167	enzyme-linked receptor protein signaling pathway	1	GO:0007167	enzyme-linked receptor protein signaling pathway	6	GO:0007167	enzyme-linked receptor protein signaling pathway	139	GO:0007167	enzyme-linked receptor protein signaling pathway	7				GO:0007167	enzyme-linked receptor protein signaling pathway	26							GO:0007167	enzyme-linked receptor protein signaling pathway	7				GO:0007167	enzyme-linked receptor protein signaling pathway	265	GO:0007167	enzyme-linked receptor protein signaling pathway	223				GO:0007167	enzyme-linked receptor protein signaling pathway	2	GO:0007167	enzyme-linked receptor protein signaling pathway	220	GO:0007167	enzyme-linked receptor protein signaling pathway	4	GO:0007167	enzyme-linked receptor protein signaling pathway	3	GO:0007167	enzyme-linked receptor protein signaling pathway	9													GO:0007167	enzyme-linked receptor protein signaling pathway	144				GO:0007167	enzyme-linked receptor protein signaling pathway	9				GO:0007167	enzyme-linked receptor protein signaling pathway	3				GO:0007167	enzyme-linked receptor protein signaling pathway	147	GO:0007167	enzyme-linked receptor protein signaling pathway	2	GO:0007167	enzyme-linked receptor protein signaling pathway	3	GO:0007167	enzyme-linked receptor protein signaling pathway	202				GO:0007167	enzyme-linked receptor protein signaling pathway	231							GO:0007167	enzyme-linked receptor protein signaling pathway	1	GO:0007167	enzyme-linked receptor protein signaling pathway	116	GO:0007167	enzyme-linked receptor protein signaling pathway	278						
			GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4							GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	9																			GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	16	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	21																						GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	9	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	5										GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	221	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1				GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4				GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	27							GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	9													GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4				GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	14	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	6													GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	758				GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	6				GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	5							GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1																GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	697									
			GO:0007229	integrin-mediated signaling pathway	49				GO:0007229	integrin-mediated signaling pathway	72	GO:0007229	integrin-mediated signaling pathway	7	GO:0007229	integrin-mediated signaling pathway	21																			GO:0007229	integrin-mediated signaling pathway	6	GO:0007229	integrin-mediated signaling pathway	7																			GO:0007229	integrin-mediated signaling pathway	63	GO:0007229	integrin-mediated signaling pathway	15	GO:0007229	integrin-mediated signaling pathway	28													GO:0007229	integrin-mediated signaling pathway	54	GO:0007229	integrin-mediated signaling pathway	44				GO:0007229	integrin-mediated signaling pathway	53													GO:0007229	integrin-mediated signaling pathway	4													GO:0007229	integrin-mediated signaling pathway	80				GO:0007229	integrin-mediated signaling pathway	8	GO:0007229	integrin-mediated signaling pathway	5	GO:0007229	integrin-mediated signaling pathway	7																			GO:0007229	integrin-mediated signaling pathway	7				GO:0007229	integrin-mediated signaling pathway	80				GO:0007229	integrin-mediated signaling pathway	12	GO:0007229	integrin-mediated signaling pathway	53	GO:0007229	integrin-mediated signaling pathway	140																GO:0007229	integrin-mediated signaling pathway	95												
			GO:0038127	ERBB signaling pathway	214							GO:0038127	ERBB signaling pathway	101	GO:0038127	ERBB signaling pathway	242																			GO:0038127	ERBB signaling pathway	224	GO:0038127	ERBB signaling pathway	197																						GO:0038127	ERBB signaling pathway	248	GO:0038127	ERBB signaling pathway	272													GO:0038127	ERBB signaling pathway	216	GO:0038127	ERBB signaling pathway	133				GO:0038127	ERBB signaling pathway	223				GO:0038127	ERBB signaling pathway	6							GO:0038127	ERBB signaling pathway	96													GO:0038127	ERBB signaling pathway	179				GO:0038127	ERBB signaling pathway	119	GO:0038127	ERBB signaling pathway	120	GO:0038127	ERBB signaling pathway	201													GO:0038127	ERBB signaling pathway	661				GO:0038127	ERBB signaling pathway	201				GO:0038127	ERBB signaling pathway	190							GO:0038127	ERBB signaling pathway	58	GO:0038127	ERBB signaling pathway	19																GO:0038127	ERBB signaling pathway	228												
			GO:0007173	epidermal growth factor receptor signaling pathway	194							GO:0007173	epidermal growth factor receptor signaling pathway	94	GO:0007173	epidermal growth factor receptor signaling pathway	221																			GO:0007173	epidermal growth factor receptor signaling pathway	203	GO:0007173	epidermal growth factor receptor signaling pathway	180																						GO:0007173	epidermal growth factor receptor signaling pathway	218	GO:0007173	epidermal growth factor receptor signaling pathway	250													GO:0007173	epidermal growth factor receptor signaling pathway	231	GO:0007173	epidermal growth factor receptor signaling pathway	119				GO:0007173	epidermal growth factor receptor signaling pathway	202				GO:0007173	epidermal growth factor receptor signaling pathway	8							GO:0007173	epidermal growth factor receptor signaling pathway	82													GO:0007173	epidermal growth factor receptor signaling pathway	156				GO:0007173	epidermal growth factor receptor signaling pathway	105	GO:0007173	epidermal growth factor receptor signaling pathway	105	GO:0007173	epidermal growth factor receptor signaling pathway	178													GO:0007173	epidermal growth factor receptor signaling pathway	786				GO:0007173	epidermal growth factor receptor signaling pathway	178				GO:0007173	epidermal growth factor receptor signaling pathway	172							GO:0007173	epidermal growth factor receptor signaling pathway	44	GO:0007173	epidermal growth factor receptor signaling pathway	15																GO:0007173	epidermal growth factor receptor signaling pathway	235												
			GO:0048013	ephrin receptor signaling pathway	476							GO:0048013	ephrin receptor signaling pathway	398	GO:0048013	ephrin receptor signaling pathway	483																			GO:0048013	ephrin receptor signaling pathway	477	GO:0048013	ephrin receptor signaling pathway	448																						GO:0048013	ephrin receptor signaling pathway	488	GO:0048013	ephrin receptor signaling pathway	562													GO:0048013	ephrin receptor signaling pathway	465	GO:0048013	ephrin receptor signaling pathway	10				GO:0048013	ephrin receptor signaling pathway	491													GO:0048013	ephrin receptor signaling pathway	367													GO:0048013	ephrin receptor signaling pathway	318				GO:0048013	ephrin receptor signaling pathway	226	GO:0048013	ephrin receptor signaling pathway	354	GO:0048013	ephrin receptor signaling pathway	305																			GO:0048013	ephrin receptor signaling pathway	305				GO:0048013	ephrin receptor signaling pathway	313							GO:0048013	ephrin receptor signaling pathway	234	GO:0048013	ephrin receptor signaling pathway	95																GO:0048013	ephrin receptor signaling pathway	564												
			GO:0038093	Fc receptor signaling pathway	151							GO:0038093	Fc receptor signaling pathway	86	GO:0038093	Fc receptor signaling pathway	144																			GO:0038093	Fc receptor signaling pathway	134	GO:0038093	Fc receptor signaling pathway	114																						GO:0038093	Fc receptor signaling pathway	142	GO:0038093	Fc receptor signaling pathway	205													GO:0038093	Fc receptor signaling pathway	219	GO:0038093	Fc receptor signaling pathway	47				GO:0038093	Fc receptor signaling pathway	163													GO:0038093	Fc receptor signaling pathway	49													GO:0038093	Fc receptor signaling pathway	128				GO:0038093	Fc receptor signaling pathway	43	GO:0038093	Fc receptor signaling pathway	168	GO:0038093	Fc receptor signaling pathway	132																			GO:0038093	Fc receptor signaling pathway	132				GO:0038093	Fc receptor signaling pathway	126							GO:0038093	Fc receptor signaling pathway	76	GO:0038093	Fc receptor signaling pathway	11																GO:0038093	Fc receptor signaling pathway	229												
																																																									GO:0033209	tumor necrosis factor-mediated signaling pathway	12																			GO:0033209	tumor necrosis factor-mediated signaling pathway	39																												GO:0033209	tumor necrosis factor-mediated signaling pathway	65																												GO:0033209	tumor necrosis factor-mediated signaling pathway	20										GO:0033209	tumor necrosis factor-mediated signaling pathway	12																																																			
