Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	93932 term rank	920 term rank	909 term rank	904 term rank	90348 term rank	90324 term rank	90322 term rank	90321 term rank	902 term rank	90154 term rank	90153 term rank	897 term rank	895 term rank	894 term rank	808 term rank	79477 term rank	79476 term rank	79474 term rank	79333 term rank	79325 term rank	79087 term rank	769 term rank	758 term rank	75496 term rank	740 term rank	633 term rank	500 term rank	498359 term rank	487825 term rank	477 term rank	435628 term rank	412057 term rank	363618 term rank	357074 term rank	3455 term rank	3437 term rank	33445 term rank	33364 term rank	3322 term rank	3163 term rank	3051 term rank	2963 term rank	287 term rank	286 term rank	2834 term rank	280679 term rank	280365 term rank	2658 term rank	263534 term rank	263487 term rank	2500 term rank	220295 term rank	2078 term rank	2067 term rank	1942 term rank	1901 term rank	1860 term rank	1807 term rank	1775 term rank	163746 term rank	1387 term rank	137608 term rank	1340 term rank	1299 term rank	1297 term rank	101028 term rank	100 term rank
GO:0007166	cell surface receptor signaling pathway	2869	1	201	1	161	69	1	1	236	None	None	None	41	None	5	5	98	None	140	140	None	9	66	3	1	249	108	None	33	1	1	102	1	63	5	None	212	4	40	140	95	313	1	136	2	2	4	204	14	None	None	40	9	4	None	3	None	11	1	1	161	497	165	110	414	1	92	141	335	None
GO:0045944	positive regulation of transcription by RNA polymerase II	1242	1	6	None	1	None	None	None	197	283	283	455	136	382	1475	None	26	377	118	118	422	399	None	None	1836	None	None	449	193	1400	None	32	None	None	None	422	None	None	390	118	26	582	829	38	958	None	None	None	568	422	None	1	399	None	476	814	None	None	None	None	1	572	36	None	502	1612	2	91	None	455
GO:0006956	complement activation	131	1	7	1118	None	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1	None	1340	None	None	None	None	None	None	None	1138	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	488	None	None	None	None	None	None	None	None	None	None	None	None
GO:0044772	mitotic cell cycle phase transition	450	1	27	None	452	None	None	None	1	92	92	110	159	96	None	None	81	86	1	1	113	1133	None	None	None	None	None	115	None	None	None	74	None	None	None	113	206	None	None	1	152	150	None	31	None	None	None	198	1157	113	None	544	1133	None	75	None	None	None	None	None	452	145	2	None	109	None	568	34	64	110
GO:0006281	DNA repair	591	1	34	None	362	None	None	None	157	1	1	1	101	1	None	None	448	1	307	307	2	1240	None	None	None	None	None	1	None	None	None	453	None	None	283	2	None	None	950	307	88	2	None	396	None	None	None	None	1153	2	None	1617	1240	None	1	None	None	None	None	None	362	2	353	None	1	None	447	274	76	1
GO:0043632	modification-dependent macromolecule catabolic process	713	1	18	None	796	None	None	1203	141	230	230	None	1	None	None	None	467	586	416	416	None	403	None	None	1384	179	None	None	135	1336	None	470	None	None	90	None	6	None	255	416	607	284	1255	579	950	None	None	6	367	None	None	293	403	None	None	1255	151	None	392	None	796	None	516	None	367	1089	1146	551	466	None
GO:0016477	cell migration	1501	1	113	2	572	354	5	2	638	None	None	None	None	None	1	1	741	None	431	431	None	594	195	2	3	None	209	None	674	3	2	748	2	85	None	None	None	9	697	431	949	None	2	821	3	5	1	None	718	None	217	258	594	1	None	1	230	195	6	34	572	None	834	235	None	4	267	639	None	None
GO:1903506	regulation of nucleic acid-templated transcription	3467	1	44	1148	2	None	818	None	37	297	297	481	104	413	940	1039	1	336	9	9	448	45	None	None	1166	None	None	476	31	872	776	1	1172	None	None	448	None	1153	43	9	23	450	619	1	681	None	938	None	42	448	None	3	45	938	433	625	None	793	768	560	2	526	3	None	405	981	3	1	277	481
GO:0006259	DNA metabolic process	1054	1	87	712	403	None	602	743	27	2	2	2	None	2	738	709	247	2	107	107	1	950	None	740	872	None	None	2	None	454	1067	282	724	None	213	1	None	715	645	107	144	1	756	220	1171	539	427	None	692	1	None	1181	950	427	2	1041	None	None	1041	783	403	1	181	None	2	399	320	103	44	2
GO:0007249	I-kappaB kinase/NF-kappaB signaling	287	1	5	None	1118	None	None	None	None	None	None	None	None	None	1313	1293	1272	None	None	None	None	1	None	None	None	None	None	None	1	None	None	1270	None	None	None	None	None	None	1	None	None	None	1588	1559	1067	None	None	None	1	None	None	945	1	None	None	1559	None	None	None	None	1118	None	None	None	None	None	1317	None	None	None
GO:0007155	cell adhesion	1521	1	76	3	280	58	2	3	None	None	None	None	224	None	3	4	350	None	996	996	None	269	40	1	6	None	None	None	525	15	3	355	4	161	None	None	343	1	306	996	220	None	8	310	1	1	3	346	282	None	None	254	269	3	None	8	252	12	12	60	280	None	485	None	None	42	225	935	None	None
GO:0016192	vesicle-mediated transport	1638	1	119	79	1069	11	156	188	None	None	None	None	240	None	166	156	1207	None	None	None	None	839	13	164	152	1	1	None	None	211	32	1199	87	376	None	None	4	123	854	None	730	None	106	1003	17	201	142	3	789	None	3	1332	839	142	None	91	1	1	78	56	1069	None	948	1	None	224	870	None	None	None
GO:0007186	G protein-coupled receptor signaling pathway	1245	1	21	647	946	422	519	661	None	None	None	None	None	None	220	190	None	None	None	None	None	None	410	660	776	None	None	None	None	811	511	None	657	1	None	None	313	477	None	None	None	None	662	None	495	792	620	315	None	None	None	None	None	620	None	646	None	865	486	297	946	None	None	None	None	814	None	None	None	None
GO:0009408	response to heat	110	1	3	None	830	None	None	None	629	480	480	465	174	None	None	None	736	514	803	803	408	589	None	None	None	None	None	431	512	None	None	743	None	None	1	408	None	955	261	803	407	634	None	779	None	None	None	None	685	408	None	577	589	None	524	None	None	None	None	None	830	544	1040	None	None	1481	727	865	None	465
GO:0036258	multivesicular body assembly	31	1	3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	172	None	None	None	None	None	None	None	None	None	None	1	None	None	None	None	None	None	None	None	None	None	1	None	None	None	None	None	None	None	None	140	None	711	None	None	None	None	None	None	None	None	None	None	None
GO:0006351	DNA-templated transcription	3583	1	19	None	9	None	1083	None	51	348	348	None	260	None	1524	None	5	418	26	26	None	199	None	None	1756	None	None	None	149	1207	None	5	None	None	None	None	None	None	169	26	1	687	939	7	1080	None	None	None	239	None	None	11	199	None	239	950	None	None	None	None	9	None	7	None	450	1363	9	11	None	None
GO:0071705	nitrogen compound transport	2189	1	108	595	849	297	831	1105	464	None	None	None	7	256	886	1037	449	508	386	386	None	731	265	1106	461	4	2	None	846	587	555	454	609	119	47	None	152	452	704	386	591	None	745	619	690	962	995	133	672	None	1	208	731	995	None	591	7	176	448	788	849	None	773	2	None	592	310	848	177	None
GO:2001141	regulation of RNA biosynthetic process	3490	1	10	1409	4	None	1216	None	39	363	363	427	219	None	948	1048	3	306	11	11	484	173	None	None	1171	None	None	461	115	879	1102	3	None	None	None	484	None	None	146	11	25	456	631	4	686	None	1506	None	209	484	None	2	173	1506	449	630	None	None	1110	None	4	519	1	None	382	986	5	3	120	427
GO:0051254	positive regulation of RNA metabolic process	1843	1	17	None	6	None	842	None	183	367	367	426	171	None	1060	1213	28	310	91	91	477	297	None	None	1330	None	None	458	147	978	None	33	None	None	280	477	None	None	243	91	22	325	718	37	775	None	None	None	376	477	49	6	297	None	466	706	None	None	None	None	6	364	28	None	394	1098	1	76	None	426
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	10	1	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1	None
GO:0006959	humoral immune response	320	2	9	513	None	2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1009	8	None	905	None	None	None	None	None	None	None	527	None	None	None	None	None	809	None	None	None	None	None	None	None	None	None	952	None	None	None	1009	None	None	None	None	506	None	None	None	None	None	None	None	None	None	None	None	None
GO:0044770	cell cycle phase transition	555	2	26	None	517	None	None	None	2	23	23	23	190	19	None	None	86	15	2	2	25	983	None	None	None	None	None	25	744	None	None	78	None	None	None	25	209	None	None	2	194	37	None	32	1282	None	None	203	1045	25	None	628	983	None	21	None	None	None	None	None	517	28	5	None	30	None	668	35	52	23
GO:0048870	cell motility	1698	2	4	6	611	344	10	7	None	None	None	None	None	None	2	2	781	None	938	938	None	1175	179	4	4	None	None	None	None	2	5	786	6	150	None	None	None	14	None	938	994	None	3	973	4	9	2	None	None	None	None	250	1175	2	None	2	None	150	10	32	611	None	870	None	None	3	279	758	None	None
GO:0007596	blood coagulation	228	2	14	124	None	6	197	244	None	None	None	None	None	None	247	214	None	None	None	None	None	None	2	224	177	None	None	None	None	291	204	None	133	98	None	None	None	43	None	None	None	None	182	None	192	198	183	None	None	None	None	None	None	183	None	188	None	64	68	275	None	None	None	None	None	294	None	None	None	None
GO:0051649	establishment of localization in cell	2277	2	75	986	869	525	1091	1176	482	406	406	388	61	300	928	1175	468	410	295	295	346	171	501	1196	778	2	4	352	None	401	458	469	1007	None	70	346	22	867	770	295	608	339	949	459	746	1137	1355	17	184	346	12	412	171	1355	463	781	10	217	859	644	869	429	566	4	283	410	314	663	264	388
GO:0006457	protein folding	218	2	7	None	None	None	None	None	None	None	None	None	242	None	None	None	None	None	None	None	None	846	None	None	None	None	None	None	None	None	None	None	None	None	2	None	None	492	291	None	None	None	None	None	None	491	None	None	790	None	None	None	846	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	495	None
GO:0036257	multivesicular body organization	32	2	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	175	None	None	None	None	None	None	None	None	None	None	2	None	None	None	None	None	None	None	None	None	None	2	None	None	None	None	None	None	None	None	146	None	723	None	None	None	None	None	None	None	None	None	None	None
GO:0097659	nucleic acid-templated transcription	3584	2	1	None	12	None	None	None	50	None	None	None	None	None	1525	None	6	419	27	27	None	200	None	None	1758	None	None	None	150	1209	None	4	None	None	None	None	None	None	170	27	2	683	941	12	1084	None	None	None	241	None	None	15	200	None	438	951	None	None	None	None	12	None	8	None	451	1364	17	12	None	None
GO:0016050	vesicle organization	352	2	9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	25	None	None	None	None	None	None	None	None	None	3	None	None	None	None	None	None	None	None	None	None	4	None	None	47	None	None	None	None	None	2	None	812	None	None	None	None	24	None	None	None	None	None	None
GO:0006085	acetyl-CoA biosynthetic process	17	2	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	34	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	None
GO:0002252	immune effector process	684	3	79	188	None	3	331	476	None	102	102	113	None	89	605	589	None	113	None	None	108	342	10	470	298	165	None	108	375	562	237	None	198	None	None	108	None	343	214	None	None	167	268	None	186	1059	487	406	310	108	None	989	342	487	109	267	134	147	141	190	None	127	None	None	122	561	894	None	241	113
GO:1903047	mitotic cell cycle process	772	3	22	None	831	None	1058	None	3	71	71	83	228	76	888	871	137	67	8	8	70	1147	None	None	None	None	187	64	None	None	None	109	None	None	None	70	13	None	None	8	216	115	None	62	None	None	None	13	927	70	None	1076	1147	None	52	None	None	None	None	None	831	100	40	209	97	None	837	55	252	83
GO:0006974	cellular response to DNA damage stimulus	881	3	14	1422	474	None	None	None	99	3	3	3	None	3	None	None	240	3	151	151	3	123	None	None	None	None	None	3	844	1791	None	270	1432	None	None	3	None	None	673	151	116	4	None	223	None	None	None	None	131	3	None	604	123	None	3	None	None	None	None	774	474	3	148	None	3	1450	422	145	68	3
GO:0040011	locomotion	1352	3	23	9	705	233	11	8	None	None	None	None	None	None	4	3	877	None	937	937	None	1206	163	8	11	None	None	None	None	6	4	878	9	132	364	None	None	18	None	937	1115	None	18	1120	15	13	6	None	None	None	None	175	1206	6	None	13	None	163	18	69	705	None	767	None	None	13	223	859	None	None
GO:0042060	wound healing	440	3	7	62	1427	9	75	73	None	None	None	None	None	None	80	62	1581	None	None	None	None	1037	3	66	66	None	None	None	None	87	150	1580	59	129	None	None	36	17	834	None	None	None	39	None	52	48	71	36	980	None	None	1487	1037	71	None	52	None	30	59	252	1427	None	None	None	None	94	None	None	None	None
