Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	93932 term rank	920 term rank	909 term rank	904 term rank	90348 term rank	90324 term rank	90322 term rank	90321 term rank	902 term rank	90154 term rank	90153 term rank	897 term rank	895 term rank	894 term rank	808 term rank	79477 term rank	79476 term rank	79474 term rank	79333 term rank	79325 term rank	79087 term rank	769 term rank	758 term rank	75496 term rank	740 term rank	633 term rank	500 term rank	498359 term rank	487825 term rank	477 term rank	435628 term rank	412057 term rank	363618 term rank	357074 term rank	3455 term rank	3437 term rank	33445 term rank	33364 term rank	3322 term rank	3163 term rank	3051 term rank	2963 term rank	287 term rank	286 term rank	2834 term rank	280679 term rank	280365 term rank	2658 term rank	263534 term rank	263487 term rank	2500 term rank	220295 term rank	2078 term rank	2067 term rank	1942 term rank	1901 term rank	1860 term rank	1807 term rank	1775 term rank	163746 term rank	1387 term rank	137608 term rank	1340 term rank	1299 term rank	1297 term rank	101028 term rank	100 term rank
GO:0071944	cell periphery	6167	1	75	1	None	9	3	1	None	None	None	None	57	None	3	3	None	None	None	None	None	6	9	1	1	41	43	None	8	2	1	None	1	1	8	None	13	2	3	None	None	43	2	None	2	2	3	8	6	None	81	11	6	3	None	2	62	2	1	11	None	None	None	41	None	3	14	None	None	None
GO:0005667	transcription regulator complex	516	1	10	None	1	None	None	None	15	64	64	51	None	81	None	None	1	55	4	4	68	50	None	None	None	None	None	67	33	None	None	1	None	None	None	68	None	None	None	4	1	60	None	1	None	None	None	None	None	68	None	1	50	None	41	None	None	None	None	None	1	70	2	None	56	None	1	7	65	51
GO:0072562	blood microparticle	137	1	1	15	None	1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1	None	42	None	None	None	None	109	None	None	17	None	None	None	None	49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1	48	None	None	None	None	None	None	110	None	None	None	None
GO:0098636	protein complex involved in cell adhesion	53	1	1	13	None	31	1	3	None	None	None	None	None	None	2	1	None	None	None	None	None	None	33	3	11	None	None	None	None	10	58	None	13	None	None	None	None	1	None	None	None	None	17	None	12	1	2	None	None	None	None	None	None	2	None	17	None	48	15	None	None	None	None	None	None	12	None	None	None	None
GO:0005654	nucleoplasm	4200	1	23	None	3	None	None	None	1	1	1	2	24	2	None	None	2	3	2	2	3	26	None	None	None	None	None	3	31	None	None	2	None	None	61	3	None	None	24	2	2	4	None	2	None	None	None	None	27	3	None	5	26	None	2	None	None	None	None	None	3	2	1	None	3	None	3	1	23	2
GO:0005694	chromosome	1927	1	47	None	2	None	83	None	12	3	3	1	50	1	None	None	7	1	12	12	1	None	None	None	None	None	111	1	45	None	None	7	None	None	None	1	5	None	None	12	13	1	None	8	None	None	None	5	None	1	None	4	None	None	3	None	None	None	None	None	2	3	9	114	1	None	7	3	19	1
GO:1990234	transferase complex	879	1	29	43	33	None	None	None	6	19	19	21	1	22	112	None	17	18	1	1	20	10	None	None	40	None	None	20	9	36	None	16	43	None	18	20	None	70	5	1	17	55	26	9	103	None	None	None	8	20	None	25	10	None	21	25	None	None	9	None	33	20	4	None	21	39	38	9	50	21
GO:0070161	anchoring junction	983	1	12	3	None	45	2	2	None	None	None	None	None	None	1	2	None	None	None	None	None	None	39	2	3	130	106	None	None	1	4	None	2	None	None	None	None	4	None	None	None	None	1	None	1	5	1	None	None	None	None	15	None	1	None	1	106	59	3	4	None	None	47	109	None	1	17	None	None	None
GO:0005829	cytosol	5440	1	8	123	47	73	None	None	31	None	None	None	23	None	114	None	33	74	25	25	None	1	None	None	77	63	29	None	4	40	13	34	116	48	1	None	98	100	1	25	73	52	6	27	16	None	93	None	1	None	19	59	1	93	None	6	82	148	7	1	47	None	39	29	None	30	40	59	30	None
GO:0030133	transport vesicle	415	1	11	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1	12	None	None	None	147	None	None	None	None	None	58	None	None	None	None	None	None	None	None	None	None	68	None	None	6	None	None	None	None	None	2	108	None	None	None	None	None	13	None	None	None	None	None	None
