Transaldolase deficiency	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0098798	mitochondrial protein-containing complex	1.4302877153062108e-39	True	"""A protein complex that is part of a mitochondrion."" [GOC:dos]"	309	97	36	22122	0.3711340206185567	0.116504854368932	query_1	['GO:0005739', 'GO:0032991']	['PPIF', 'SPG7', 'LYRM4', 'HSPA9', 'MCUB', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'PHB2', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'VDAC1', 'AFG3L2', 'ISCU', 'PDK1', 'SDHB', 'NFS1', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MICU2', 'MFN1', 'PMPCB', 'PHB1', 'BCKDHA']
1	GO:CC	GO:0005759	mitochondrial matrix	6.1396996390077275e-28	True	"""The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."" [GOC:as, ISBN:0198506732]"	491	97	33	22122	0.3402061855670103	0.0672097759674134	query_1	['GO:0005739', 'GO:0070013']	['PPIF', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'OTC', 'DLST', 'HSPA9', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'MCAT', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'HSPD1', 'PDK3', 'VDAC1', 'RAD51', 'ISCU', 'PDK1', 'NFS1', 'NDUFAB1', 'SMDT1', 'DLD', 'PDK2', 'PMPCB', 'OGDH', 'BCKDHA']
2	GO:CC	GO:1990204	oxidoreductase complex	1.263570776608658e-26	True	"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]"	132	97	22	22122	0.2268041237113402	0.1666666666666666	query_1	['GO:1902494']	['GCSH', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'OGDH', 'BCKDHA']
3	GO:CC	GO:0005739	mitochondrion	1.9633117265713976e-25	True	"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]"	1710	97	48	22122	0.4948453608247423	0.0280701754385964	query_1	['GO:0005737', 'GO:0043231']	['PPIF', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'LYRM4', 'MAIP1', 'OTC', 'DLST', 'HSPA9', 'MCUB', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'HSPD1', 'PDK3', 'VDAC1', 'RAD51', 'AFG3L2', 'ISCU', 'PDK1', 'SDHB', 'NFS1', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1', 'BCKDHA']
4	REAC	REAC:R-HSA-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	3.862126149399586e-21	True	Pyruvate metabolism and Citric Acid (TCA) cycle	54	84	17	10790	0.2023809523809523	0.3148148148148148	query_1	['REAC:R-HSA-1428517']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'SDHB', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'OGDH']
5	REAC	REAC:R-HSA-8949664	Processing of SMDT1	1.565531398701047e-20	True	Processing of SMDT1	16	84	12	10790	0.1428571428571428	0.75	query_1	['REAC:R-HSA-8949215']	['SPG7', 'MAIP1', 'MCUB', 'PMPCA', 'PHB2', 'MCU', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB', 'PHB1']
6	GO:BP	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	6.090375974047532e-20	True	"""The chemical reactions and pathways resulting in the formation of acetyl-CoA from pyruvate."" [GOC:dph, GOC:go_curators, GOC:tb]"	11	96	10	21110	0.1041666666666666	0.9090909090909092	query_1	['GO:0006085', 'GO:0006090']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
7	REAC	REAC:R-HSA-8949215	Mitochondrial calcium ion transport	6.337611502764733e-20	True	Mitochondrial calcium ion transport	23	84	13	10790	0.1547619047619047	0.5652173913043478	query_1	['REAC:R-HSA-382551']	['SPG7', 'MAIP1', 'MCUB', 'PMPCA', 'PHB2', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB', 'PHB1']
8	GO:CC	GO:0031974	membrane-enclosed lumen	1.61827955374175e-18	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	6635	97	74	22122	0.7628865979381443	0.0111529766390354	query_1	['GO:0110165']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
9	GO:CC	GO:0070013	intracellular organelle lumen	1.61827955374175e-18	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	6635	97	74	22122	0.7628865979381443	0.0111529766390354	query_1	['GO:0043229', 'GO:0043233']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
