Branchioskeletogenital syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-162582	Signal Transduction	8.949028337457943e-46	True	Signal Transduction	2436	100	79	17376	0.79	0.0324302134646962	query_1	['REAC:0000000']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'CDK8', 'CREBBP', 'CBFB', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'PSENEN', 'CTNNA1', 'SMAD2', 'EGFR', 'SMAD9', 'SMAD4', 'NOTCH1', 'ARHGAP10', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'ARHGAP26', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CTNND1', 'TBL1XR1', 'TP53', 'PKN3', 'CDH5', 'SMAD3', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
1	GO:BP	GO:0051254	positive regulation of RNA metabolic process	1.406265382797835e-44	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1770	100	71	17376	0.71	0.0401129943502824	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
2	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	1.406265382797835e-44	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	100	63	17376	0.63	0.0524126455906822	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'NOTCH3', 'NCOA3', 'AKT1', 'CREBBP', 'CBFB', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
3	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	1.7465239884555161e-44	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1638	100	69	17376	0.69	0.0421245421245421	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
4	GO:BP	GO:0045893	positive regulation of DNA-templated transcription	1.7465239884555161e-44	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1638	100	69	17376	0.69	0.0421245421245421	query_1	['GO:0006351', 'GO:0006355', 'GO:1903508']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
5	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	1.861567459664616e-44	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1645	100	69	17376	0.69	0.0419452887537993	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
6	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	5.264955396844823e-43	True	Generic Transcription Pathway	1151	100	60	17376	0.6	0.052128583840139	query_1	['REAC:R-HSA-73857']	['SMAD1', 'MAML1', 'MAML2', 'RXRA', 'UBE2I', 'NOTCH3', 'TGIF1', 'AKT1', 'CDK8', 'CREBBP', 'CBFB', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'RARA', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'SMARCC1', 'SKIL', 'HIPK2', 'CCNC']
7	REAC	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	5.264955396844823e-43	True	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	55	100	26	17376	0.26	0.4727272727272727	query_1	['REAC:R-HSA-2894858']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
8	REAC	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	5.264955396844823e-43	True	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	55	100	26	17376	0.26	0.4727272727272727	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
9	REAC	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	5.264955396844823e-43	True	Constitutive Signaling by NOTCH1 PEST Domain Mutants	55	100	26	17376	0.26	0.4727272727272727	query_1	['REAC:R-HSA-2644602']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
