Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	7.085509689249867e-61	True	Generic Transcription Pathway	1151	101	73	17376	0.7227722772277227	0.0634231103388358	query_1	['REAC:R-HSA-73857']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
1	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	5.332464160625514e-58	True	RNA Polymerase II Transcription	1272	101	73	17376	0.7227722772277227	0.0573899371069182	query_1	['REAC:R-HSA-74160']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
2	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	1.0259975777780962e-55	True	Cyclin D associated events in G1	46	101	30	17376	0.297029702970297	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
3	REAC	REAC:R-HSA-69236	G1 Phase	1.0259975777780962e-55	True	G1 Phase	46	101	30	17376	0.297029702970297	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
4	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	3.275805395490849e-55	True	Gene expression (Transcription)	1407	101	73	17376	0.7227722772277227	0.0518834399431414	query_1	['REAC:0000000']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
5	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	5.545288289423381e-50	True	Mitotic G1 phase and G1/S transition	147	101	37	17376	0.3663366336633663	0.2517006802721088	query_1	['REAC:R-HSA-69278']	['CDKN2B', 'AKT1', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
6	GO:CC	GO:0005654	nucleoplasm	1.426824743267965e-44	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	101	91	17376	0.900990099009901	0.0228299046663321	query_1	['GO:0031981', 'GO:0110165']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'COPRS', 'AMOT', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'UBE2W', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'NAB1', 'CDK4', 'CDKN1B', 'CUL1', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
7	GO:CC	GO:0005667	transcription regulator complex	4.2254781247591145e-43	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	505	101	47	17376	0.4653465346534653	0.093069306930693	query_1	['GO:0032991']	['REST', 'CREBBP', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'TBX5', 'SIN3A', 'TEAD2', 'E2F5', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'CHD4', 'SMAD4', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'MNAT1', 'POU3F2', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'ESR1', 'DRAP1', 'FOXH1', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'CCND1']
8	GO:CC	GO:0031981	nuclear lumen	8.445736411524218e-42	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	101	91	17376	0.900990099009901	0.0209870848708487	query_1	['GO:0005634', 'GO:0070013']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'COPRS', 'AMOT', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'UBE2W', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'NAB1', 'CDK4', 'CDKN1B', 'CUL1', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
9	GO:BP	GO:2001141	regulation of RNA biosynthetic process	8.374981891397099e-38	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	101	80	17376	0.7920792079207921	0.0253244697689142	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
