Thanatophoric dysplasia type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	4.564496576301509e-24	True	Signaling by Receptor Tyrosine Kinases	495	98	33	17376	0.336734693877551	0.0666666666666666	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'SHB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'ELMO2']
1	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	6.704735357445277e-23	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	98	19	17376	0.1938775510204081	0.2134831460674157	query_1	['REAC:R-HSA-168249']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
2	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2.288165147239864e-19	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	98	32	17376	0.3265306122448979	0.052892561983471	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'GRB2', 'LCP2', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'HAP1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
3	REAC	REAC:R-HSA-162582	Signal Transduction	2.3822866548018497e-19	True	Signal Transduction	2436	98	54	17376	0.5510204081632653	0.022167487684729	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'LATS1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'RPGRIP1L', 'WIPF1', 'PXN', 'WIPF2', 'FYN', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'SHB', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'B9D2', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'ELMO2']
4	REAC	REAC:R-HSA-9664417	Leishmania phagocytosis	4.643458362726393e-19	True	Leishmania phagocytosis	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9664407']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
5	REAC	REAC:R-HSA-186763	Downstream signal transduction	4.643458362726393e-19	True	Downstream signal transduction	26	98	12	17376	0.1224489795918367	0.4615384615384615	query_1	['REAC:R-HSA-186797']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'PDGFRA', 'NCK2']
6	REAC	REAC:R-HSA-9664422	FCGR3A-mediated phagocytosis	4.643458362726393e-19	True	FCGR3A-mediated phagocytosis	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9664417']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
7	REAC	REAC:R-HSA-9664407	Parasite infection	4.643458362726393e-19	True	Parasite infection	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9658195']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
8	REAC	REAC:R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	5.21898812966096e-17	True	Regulation of actin dynamics for phagocytic cup formation	66	98	14	17376	0.1428571428571428	0.2121212121212121	query_1	['REAC:R-HSA-2029480']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'WAS', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
9	REAC	REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	2.390510661136603e-16	True	VEGFA-VEGFR2 Pathway	94	98	15	17376	0.1530612244897959	0.1595744680851064	query_1	['REAC:R-HSA-194138']	['NCK1', 'BCAR1', 'DOCK1', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
10	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	4.273348422914104e-16	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	98	34	17376	0.3469387755102041	0.0366774541531823	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'GRB2', 'LCP2', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
11	REAC	REAC:R-HSA-194138	Signaling by VEGF	1.0556732754470065e-15	True	Signaling by VEGF	104	98	15	17376	0.1530612244897959	0.1442307692307692	query_1	['REAC:R-HSA-9006934']	['NCK1', 'BCAR1', 'DOCK1', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
12	REAC	REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	1.1390282931832289e-15	True	Interleukin-3, Interleukin-5 and GM-CSF signaling	47	98	12	17376	0.1224489795918367	0.2553191489361702	query_1	['REAC:R-HSA-449147']	['RAPGEF1', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL', 'PTPN11']
13	REAC	REAC:R-HSA-177929	Signaling by EGFR	1.3857753390870549e-15	True	Signaling by EGFR	48	98	12	17376	0.1224489795918367	0.25	query_1	['REAC:R-HSA-9006934']	['EPS15L1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'EGFR', 'PLCG1', 'SH3KBP1', 'SH3GL2', 'CBL', 'PTPN11']
