Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.8693958794527075e-41	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	632	100	47	21110	0.47	0.0743670886075949	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'HGS', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'PTK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.646369108577789e-38	True	Signaling by Receptor Tyrosine Kinases	502	97	50	10790	0.5154639175257731	0.099601593625498	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'HGS', 'PIK3R1', 'STAM2', 'CRK', 'HGF', 'SHC1', 'SOS1', 'GAB1', 'PXN', 'FYN', 'LYN', 'STAM', 'SHB', 'EGFR', 'PIK3CA', 'VAV1', 'PLCG1', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'GAB2', 'SHC3', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2', 'GRAP2']
2	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.1638415371787945e-37	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	990	100	51	21110	0.51	0.0515151515151515	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'ADAMTSL2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'PTK2', 'ITGB6', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7']
3	KEGG	KEGG:04510	Focal adhesion	6.658912223285942e-36	True	Focal adhesion	202	85	37	8161	0.4352941176470588	0.1831683168316831	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'ERBB2', 'PIK3R3', 'CRKL', 'VTN', 'SHC3', 'TLN1', 'PTK2', 'ITGB6', 'PDGFRA']
4	WP	WP:WP306	Focal adhesion	2.3935695842661207e-35	True	Focal adhesion	197	88	37	8133	0.4204545454545454	0.1878172588832487	query_1	['WP:000000']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'ERBB2', 'PIK3R3', 'CRKL', 'VTN', 'SHC3', 'TLN1', 'PTK2', 'ITGB6', 'PDGFRA']
5	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.5514686673446451e-34	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2890	100	70	21110	0.7	0.0242214532871972	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'CRK', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7']
6	REAC	REAC:R-HSA-162582	Signal Transduction	2.4324575629324004e-33	True	Signal Transduction	2535	97	81	10790	0.8350515463917526	0.0319526627218934	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'WIPF3', 'STAM2', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'USP4', 'PIK3CD', 'WIPF1', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'WIPF2', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'GAB2', 'SHC3', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2', 'GRAP2']
7	GO:BP	GO:0016477	cell migration	4.6785629140871216e-31	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1505	100	53	21110	0.53	0.0352159468438538	query_1	['GO:0048870']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PTPN23', 'HGF', 'RET', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'DOCK4', 'ZAP70', 'LYN', 'GFRA3', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2']
8	GO:BP	GO:0035556	intracellular signal transduction	5.29029659015648e-31	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2669	100	65	21110	0.65	0.0243536905207943	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'LITAF', 'CRKL', 'GAB2', 'SHC3', 'DOCK3', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRAP2']
9	KEGG	KEGG:05135	Yersinia infection	5.556919567820382e-31	True	Yersinia infection	136	85	30	8161	0.3529411764705882	0.2205882352941176	query_1	['KEGG:00000']	['ITGB1', 'PIK3CB', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CRK', 'WASL', 'PIK3CD', 'WIPF1', 'ITGA5', 'PXN', 'WIPF2', 'WAS', 'LAT', 'ZAP70', 'LCP2', 'PIK3CA', 'VAV1', 'PLCG1', 'PTK2B', 'PIK3R3', 'CRKL', 'PTK2', 'LCK', 'ELMO1', 'ELMO2']
