Myoclonic-astatic epilepsy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0072562	blood microparticle	2.3209912948552224e-34	True	"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]"	137	104	27	22122	0.2596153846153846	0.1970802919708029	query_1	['GO:0005615', 'GO:0110165']	['C3', 'FN1', 'HBB', 'FGA', 'HBD', 'SLC2A1', 'TFRC', 'APOE', 'ITGA2B', 'AGT', 'ITIH2', 'CFH', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGG', 'APOA4', 'CFB', 'VTN', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
1	GO:CC	GO:0071944	cell periphery	5.112203585218576e-28	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	6303	104	86	22122	0.8269230769230769	0.0136442963668094	query_1	['GO:0110165']	['SLC6A1', 'C3', 'ITGB1', 'APOC3', 'SYNE1', 'TCN2', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'HEPH', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'ADD3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'LTBP1', 'CD320', 'AP2B1', 'LOX', 'SCN1A', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'NTSR2', 'FYN', 'MYO6', 'LDLR', 'CDK14', 'AP2S1', 'PCSK9', 'SYNGAP1', 'AGT', 'AP2A2', 'ITIH2', 'LDLRAP1', 'FBLN5', 'BIN1', 'FBLN2', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'FBN1', 'ORM2', 'TFR2', 'AP2A1', 'FGB', 'FBN2', 'FGR', 'FGG', 'APOA4', 'MUSK', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'DMTN', 'MFAP5', 'NLN', 'SERPINA1', 'VTN', 'SLC40A1', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'APP', 'DAB2', 'CP', 'NUMB', 'A1BG', 'ADD1', 'ELN', 'HPX', 'ORM1']
2	GO:CC	GO:0031982	vesicle	8.029183032873814e-26	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3998	104	70	22122	0.6730769230769231	0.0175087543771885	query_1	['GO:0043227']	['C3', 'ITGB1', 'APOC3', 'NTS', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AGT', 'AP2A2', 'ITIH2', 'LDLRAP1', 'FBLN5', 'BIN1', 'CFH', 'FBLN2', 'APOA1', 'LRP1', 'TF', 'ORM2', 'TFR2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'DMTN', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'TLN1', 'APP', 'DAB2', 'CP', 'NUMB', 'A1BG', 'ALB', 'HPX', 'ORM1']
3	GO:CC	GO:0031410	cytoplasmic vesicle	1.076806630581004e-25	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2510	104	58	22122	0.5576923076923077	0.0231075697211155	query_1	['GO:0005737', 'GO:0097708']	['C3', 'ITGB1', 'APOC3', 'NTS', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'ORM2', 'TFR2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CTSG', 'DMTN', 'SERPINA1', 'APOC2', 'SLC40A1', 'APP', 'DAB2', 'NUMB', 'A1BG', 'ALB', 'HPX', 'ORM1']
4	GO:BP	GO:0006897	endocytosis	1.0851244939674735e-25	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	103	39	21110	0.3786407766990291	0.0488721804511278	query_1	['GO:0016192']	['C3', 'ITGB1', 'APOC3', 'ITGAV', 'SRC', 'ITGB3', 'AMPH', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'CD320', 'AP2B1', 'HFE', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'AP2A1', 'APOA2', 'FGR', 'VTN', 'APOC2', 'LRP8', 'PTK2', 'APP', 'DAB2', 'NUMB']
5	GO:CC	GO:0097708	intracellular vesicle	1.1470371070573504e-25	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2513	104	58	22122	0.5576923076923077	0.0230799840827695	query_1	['GO:0031982', 'GO:0043231']	['C3', 'ITGB1', 'APOC3', 'NTS', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'ORM2', 'TFR2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CTSG', 'DMTN', 'SERPINA1', 'APOC2', 'SLC40A1', 'APP', 'DAB2', 'NUMB', 'A1BG', 'ALB', 'HPX', 'ORM1']
6	GO:BP	GO:0006898	receptor-mediated endocytosis	6.412594552739847e-24	True	"""An endocytosis process in which cell surface receptors ensure specificity of transport. A specific receptor on the cell surface binds tightly to the extracellular macromolecule (the ligand) that it recognizes; the plasma-membrane region containing the receptor-ligand complex then undergoes endocytosis, forming a transport vesicle containing the receptor-ligand complex and excluding most other plasma-membrane proteins. Receptor-mediated endocytosis generally occurs via clathrin-coated pits and vesicles."" [GOC:mah, ISBN:0716731363]"	256	103	26	21110	0.2524271844660194	0.1015625	query_1	['GO:0006897']	['C3', 'ITGB1', 'APOC3', 'ITGAV', 'ITGB3', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'HFE', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'LRP1', 'TF', 'TFR2', 'AP2A1', 'VTN', 'APOC2', 'DAB2', 'NUMB']
7	REAC	REAC:R-HSA-1566948	Elastic fibre formation	8.956306322447345e-24	True	Elastic fibre formation	43	99	18	10790	0.1818181818181818	0.4186046511627907	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'LOX', 'ITGA5', 'FBLN5', 'FBLN2', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'ELN']
8	GO:CC	GO:0062023	collagen-containing extracellular matrix	7.658638101179265e-22	True	"""An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells."" [GOC:BHF, GOC:rph, PMID:21123617]"	430	104	28	22122	0.2692307692307692	0.0651162790697674	query_1	['GO:0031012']	['APOC3', 'FN1', 'FGA', 'TGFB3', 'APOE', 'LTBP1', 'LOX', 'AGT', 'ITIH2', 'FBLN5', 'FBLN2', 'APOA1', 'FBN1', 'ORM2', 'FGB', 'FBN2', 'FGG', 'APOA4', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'SERPINA1', 'VTN', 'A1BG', 'ELN', 'HPX', 'ORM1']
9	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	1.8968042897996e-21	True	Molecules associated with elastic fibres	36	99	16	10790	0.1616161616161616	0.4444444444444444	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'FBLN5', 'FBLN2', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'ELN']
