GAPO syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0031201	SNARE complex	3.947236132248223e-51	True	"""A protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers. One well-characterized example is the neuronal SNARE complex formed of synaptobrevin 2, syntaxin 1a, and SNAP-25."" [GOC:bhm, GOC:pr, PMID:10872468, PMID:19450911]"	50	101	29	17376	0.2871287128712871	0.58	query_1	['GO:0005737', 'GO:0098796']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'STX5']
1	GO:CC	GO:0030133	transport vesicle	1.9208539447960058e-45	True	"""Any of the vesicles of the constitutive secretory pathway, which carry cargo from the endoplasmic reticulum to the Golgi, between Golgi cisternae, from the Golgi to the ER (retrograde transport) or to destinations within or outside the cell."" [GOC:mah, PMID:22160157]"	417	101	46	17376	0.4554455445544554	0.1103117505995203	query_1	['GO:0012505', 'GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT1', 'PICALM', 'CLTC', 'GOSR2', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'LGI3', 'SNAP47', 'AFTPH', 'STX16', 'FURIN', 'RAB3A', 'STX5']
2	GO:BP	GO:0016192	vesicle-mediated transport	2.8173310922638093e-43	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1519	101	67	17376	0.6633663366336634	0.0441079657669519	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'TINAGL1', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'AP1S1', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'TXLNA', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
3	GO:BP	GO:0016050	vesicle organization	3.0198709268811106e-41	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle."" [GOC:mah]"	361	101	42	17376	0.4158415841584158	0.1163434903047091	query_1	['GO:0006996']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'AP1S1', 'STX10', 'STX3', 'STAM', 'AP1G1', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'SNAP23', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
4	GO:BP	GO:0006906	vesicle fusion	3.5997362476360323e-41	True	"""Fusion of the membrane of a transport vesicle with its target membrane."" [GOC:jid]"	118	101	31	17376	0.3069306930693069	0.2627118644067797	query_1	['GO:0016050', 'GO:0016192', 'GO:0090174']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
5	GO:BP	GO:0090174	organelle membrane fusion	4.883929348468028e-41	True	"""The joining of two lipid bilayers to form a single organelle membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	120	101	31	17376	0.3069306930693069	0.2583333333333333	query_1	['GO:0048284', 'GO:0061025']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
6	GO:CC	GO:0030659	cytoplasmic vesicle membrane	7.115751013383487e-40	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1156	101	58	17376	0.5742574257425742	0.0501730103806228	query_1	['GO:0012506', 'GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
7	GO:CC	GO:0012506	vesicle membrane	1.276309992668692e-39	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1174	101	58	17376	0.5742574257425742	0.0494037478705281	query_1	['GO:0031090', 'GO:0031982']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
8	GO:CC	GO:0097708	intracellular vesicle	4.163047613988845e-39	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2392	101	73	17376	0.7227722772277227	0.0305183946488294	query_1	['GO:0031982', 'GO:0043231']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'RAB3A', 'STX5']
9	GO:CC	GO:0031410	cytoplasmic vesicle	4.163047613988845e-39	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2390	101	73	17376	0.7227722772277227	0.0305439330543933	query_1	['GO:0005737', 'GO:0097708']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'RAB3A', 'STX5']
10	GO:BP	GO:0048284	organelle fusion	1.1005480208129255e-37	True	"""The creation of a single organelle from two or more organelles."" [GOC:jid]"	151	101	31	17376	0.3069306930693069	0.2052980132450331	query_1	['GO:0006996']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
11	GO:BP	GO:0061025	membrane fusion	2.930975759565953e-37	True	"""The membrane organization process that joins two lipid bilayers to form a single membrane."" [GOC:dph, GOC:tb]"	176	101	32	17376	0.3168316831683168	0.1818181818181818	query_1	['GO:0061024']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'RAB3A', 'STX5']
12	REAC	REAC:R-HSA-199991	Membrane Trafficking	6.955408400202691e-35	True	Membrane Trafficking	617	101	44	17376	0.4356435643564356	0.0713128038897893	query_1	['REAC:R-HSA-5653656']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
13	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	6.955408400202691e-35	True	Vesicle-mediated transport	661	101	45	17376	0.4455445544554455	0.0680786686838124	query_1	['REAC:0000000']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
