Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-73894	DNA Repair	3.6833215770338756e-117	True	DNA Repair	329	104	80	17376	0.7692307692307693	0.243161094224924	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'USP45', 'BRIP1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
1	GO:BP	GO:0006281	DNA repair	1.271866896045935e-103	True	"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]"	573	104	84	17376	0.8076923076923077	0.1465968586387434	query_1	['GO:0006259', 'GO:0006974']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	GO:BP	GO:0006259	DNA metabolic process	2.945879369009897e-98	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1006	104	92	17376	0.8846153846153846	0.0914512922465208	query_1	['GO:0090304']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
3	GO:BP	GO:0006974	DNA damage response	1.1725658279586646e-94	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	855	104	87	17376	0.8365384615384616	0.1017543859649122	query_1	['GO:0033554']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CCND1', 'RNF8', 'MSH6']
4	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	5.340988093703088e-88	True	DNA Double-Strand Break Repair	168	104	57	17376	0.5480769230769231	0.3392857142857143	query_1	['REAC:R-HSA-73894']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'POLE', 'POLD2', 'RNF8']
5	REAC	REAC:R-HSA-5693538	Homology Directed Repair	1.9530682844783803e-73	True	Homology Directed Repair	138	104	48	17376	0.4615384615384615	0.3478260869565217	query_1	['REAC:R-HSA-5693532']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
6	GO:BP	GO:0033554	cellular response to stress	3.6278439467186975e-69	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1893	104	90	17376	0.8653846153846154	0.0475435816164817	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
7	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	6.738766768995704e-66	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	104	44	17376	0.4230769230769231	0.3333333333333333	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
8	GO:BP	GO:0006302	double-strand break repair	7.33214113087623e-66	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]"	296	104	54	17376	0.5192307692307693	0.1824324324324324	query_1	['GO:0006281']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'POLA1', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'PNKP', 'KDM1A', 'RNF8']
9	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	2.526627146289626e-64	True	Diseases of DNA repair	50	104	34	17376	0.3269230769230769	0.68	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'MLH1', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'PMS2', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'NEIL1', 'MSH6']
