COG5-CDG	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	1.2630772564351884e-59	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	289	101	48	21110	0.4752475247524752	0.1660899653979238	query_1	['GO:0035556']	['SHARPIN', 'CARD11', 'TANK', 'AKT1', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
1	WP	WP:WP231	TNF-alpha signaling pathway	1.0909012637470533e-56	True	TNF-alpha signaling pathway	92	92	41	8133	0.4456521739130434	0.4456521739130434	query_1	['WP:000000']	['BAX', 'MAP3K8', 'TANK', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'NFKBIB', 'MAP3K14', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'BTRC', 'TBK1', 'TNF', 'FADD', 'NFKB1', 'BID', 'RIPK1', 'SKP1', 'CFLAR', 'TRADD', 'NFKB2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'REL', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'BAD', 'CDC37']
2	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	8.0211620710216e-53	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	256	101	43	21110	0.4257425742574257	0.16796875	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'CARD11', 'TANK', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
3	WP	WP:WP254	Apoptosis	1.2237905826194179e-47	True	Apoptosis	87	92	36	8133	0.391304347826087	0.4137931034482758	query_1	['WP:000000']	['BCL2L11', 'BAX', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'NFKBIB', 'TRAF3', 'BCL2', 'CASP10', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'BID', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'BIRC3', 'TRAF2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TP53', 'BAD']
4	GO:BP	GO:0035556	intracellular signal transduction	2.6748918625860538e-45	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2669	101	77	21110	0.7623762376237624	0.0288497564630947	query_1	['GO:0007165']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'MCL1', 'IKBKE', 'RBX1', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'APP', 'TAB3', 'CUL1', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'BAD']
5	KEGG	KEGG:04621	NOD-like receptor signaling pathway	1.7072133773514398e-43	True	NOD-like receptor signaling pathway	182	95	42	8161	0.4421052631578947	0.2307692307692307	query_1	['KEGG:00000']	['SHARPIN', 'TANK', 'NFKBIB', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'CASP5', 'IKBKE', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'PSTPIP1', 'NLRP3', 'RIPK1', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3']
6	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	2.5285046216686798e-43	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	191	101	35	21110	0.3465346534653465	0.1832460732984293	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'CARD11', 'UBE2V1', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
7	GO:BP	GO:1902531	regulation of intracellular signal transduction	2.6268517657328625e-42	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1728	101	65	21110	0.6435643564356436	0.0376157407407407	query_1	['GO:0009966', 'GO:0035556']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'TNIP2', 'BID', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'APP', 'TAB3', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'BAD']
8	REAC	REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	3.206506582889044e-42	True	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	55	94	28	10790	0.2978723404255319	0.509090909090909	query_1	['REAC:R-HSA-168249']	['UBE2V1', 'BCL2', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'NFKB1', 'PSTPIP1', 'NFKB2', 'IKBKG', 'TAB1', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'TRAF6', 'BIRC2', 'BCL2L1', 'CASP1', 'CASP8', 'APP', 'TAB3', 'UBE2N']
9	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	4.730260688715768e-42	True	Toll Like Receptor 3 (TLR3) Cascade	103	94	33	10790	0.351063829787234	0.3203883495145631	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'APP', 'TAB3', 'CUL1', 'TP53', 'UBE2N']
10	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	2.074937972596795e-41	True	MyD88-independent TLR4 cascade 	107	94	33	10790	0.351063829787234	0.308411214953271	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'APP', 'TAB3', 'CUL1', 'TP53', 'UBE2N']
11	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	2.074937972596795e-41	True	TRIF(TICAM1)-mediated TLR4 signaling 	107	94	33	10790	0.351063829787234	0.308411214953271	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'APP', 'TAB3', 'CUL1', 'TP53', 'UBE2N']
