Vascular Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	KEGG	KEGG:04510	Focal adhesion	8.49058959460933e-60	True	Focal adhesion	202	91	52	8161	0.5714285714285714	0.2574257425742574	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'EGFR', 'KDR', 'VCL', 'VAV1', 'ERBB2', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'PTK2', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
1	WP	WP:WP306	Focal adhesion	5.7882042754649185e-59	True	Focal adhesion	197	89	51	8133	0.5730337078651685	0.2588832487309644	query_1	['WP:000000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'EGFR', 'KDR', 'VCL', 'VAV1', 'ERBB2', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'PTK2', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
2	GO:BP	GO:0016477	cell migration	9.02248491131058e-56	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1505	99	71	21110	0.7171717171717171	0.0471760797342192	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'DOCK4', 'ZAP70', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELMO1', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
3	GO:BP	GO:0048870	cell motility	5.841005680567053e-52	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1705	99	71	21110	0.7171717171717171	0.0416422287390029	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'DOCK4', 'ZAP70', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELMO1', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
4	GO:BP	GO:0007155	cell adhesion	2.512030667067584e-49	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1530	99	67	21110	0.6767676767676768	0.0437908496732026	query_1	['GO:0009987']	['P4HB', 'RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'SHB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'SEMA4D', 'ITGA2', 'PLXNA1']
5	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	2.6848071325506176e-48	True	Signaling by Receptor Tyrosine Kinases	502	98	57	10790	0.5816326530612245	0.1135458167330677	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'PXN', 'FYN', 'LYN', 'SHB', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'VEGFA', 'PTK2B', 'SH3GL2', 'COL1A1', 'ADAM12', 'CRKL', 'DOCK3', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'ELMO1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'FLT1', 'ITGA2', 'PGF']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	7.600609671544065e-44	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2890	99	77	21110	0.7777777777777778	0.0266435986159169	query_1	['GO:0007165']	['P4HB', 'MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'SHB', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'LCP2', 'EGFR', 'ITGAE', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'VEGFA', 'PTK2B', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
7	GO:BP	GO:0040011	locomotion	1.3618347842310382e-42	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1365	99	60	21110	0.6060606060606061	0.0439560439560439	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'SOS1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'ELMO2', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
8	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.0648246032836428e-41	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	632	99	47	21110	0.4747474747474747	0.0743670886075949	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'PDGFRB', 'NRP2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'FLT1', 'PGF']
9	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.6779291382901055e-41	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	118	99	30	21110	0.303030303030303	0.2542372881355932	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'DOCK1', 'SRC', 'ITGA11', 'ITGB3', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'PTK2', 'ITGB6', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'ITGA2']
