Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-162582	Signal Transduction	3.0288072778506872e-34	True	Signal Transduction	2436	98	69	17376	0.7040816326530612	0.0283251231527093	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'WIPF1', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'WIPF2', 'FYN', 'WAS', 'PARD3', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.343438124744302e-29	True	Signaling by Receptor Tyrosine Kinases	495	98	37	17376	0.3775510204081632	0.0747474747474747	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'SHB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
2	GO:BP	GO:0007155	cell adhesion	1.0074175401119551e-28	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	98	53	17376	0.5408163265306123	0.0376687988628287	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYN', 'CHST10', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'ZDHHC2']
3	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	9.51189528817784e-26	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	98	43	17376	0.4387755102040816	0.0463861920172599	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
4	GO:BP	GO:0016477	cell migration	1.3920420473785795e-25	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1426	98	50	17376	0.5102040816326531	0.035063113604488	query_1	['GO:0048870']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SIRPA', 'SH3KBP1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
5	GO:BP	GO:0048870	cell motility	2.2612561169636903e-25	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1608	98	52	17376	0.5306122448979592	0.0323383084577114	query_1	['GO:0009987']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SIRPA', 'SH3KBP1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.9374766861065552e-24	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2641	98	62	17376	0.6326530612244898	0.0234759560772434	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
7	REAC	REAC:R-HSA-109582	Hemostasis	4.1084006964707055e-24	True	Hemostasis	606	98	35	17376	0.3571428571428571	0.0577557755775577	query_1	['REAC:0000000']	['ITGB1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'LAT', 'DOCK4', 'LYN', 'LCP2', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SIRPA', 'SIRPG', 'DOCK3', 'TLN1', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'PTPN11']
8	REAC	REAC:R-HSA-168256	Immune System	4.5406210178270175e-24	True	Immune System	1957	98	54	17376	0.5510204081632653	0.0275932549821154	query_1	['REAC:0000000']	['RAPGEF1', 'ITGB1', 'SFTPA1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'DOCK1', 'SMAD7', 'PIK3R1', 'WIPF3', 'SFTPD', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'WIPF1', 'WIPF2', 'FYN', 'FYB1', 'WAS', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'PTK2', 'DOCK2', 'LCK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'ELMO2', 'SFTPA2']
9	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	2.7653963415690043e-23	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	98	19	17376	0.1938775510204081	0.2134831460674157	query_1	['REAC:R-HSA-168249']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
