Trichothiodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	5.83513321477353e-70	True	Gene expression (Transcription)	1407	107	85	17376	0.794392523364486	0.060412224591329	query_1	['REAC:0000000']	['GTF3C3', 'RXRA', 'UBE2I', 'TGIF1', 'CCNT1', 'AKT1', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'CARM1', 'CTNNB1', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD4', 'RUNX1', 'EP300', 'PRMT5', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'GTF3C5', 'RARA', 'GTF2E2', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'SMARCC1', 'SKIL', 'HIPK2']
1	GO:CC	GO:0005667	transcription regulator complex	1.9455029072528173e-63	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	505	107	61	17376	0.5700934579439252	0.1207920792079207	query_1	['GO:0032991']	['GTF3C3', 'RXRA', 'CREBBP', 'GTF3C1', 'CBFB', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'GTF2H4', 'BDP1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'POU2F1', 'CCNH', 'SMAD2', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SKI', 'SP1', 'TBP', 'GTF2H5', 'ESR1', 'GTF2F2', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'ERCC2', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'HIPK2']
2	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	1.5254917713128678e-59	True	RNA Polymerase II Transcription	1272	107	76	17376	0.7102803738317757	0.0597484276729559	query_1	['REAC:R-HSA-74160']	['RXRA', 'UBE2I', 'TGIF1', 'CCNT1', 'AKT1', 'SMURF2', 'CREBBP', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'CARM1', 'CTNNB1', 'HDAC1', 'GTF2H4', 'SMARCA4', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'RXRB', 'GTF2H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD4', 'RUNX1', 'EP300', 'PRMT5', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'RARA', 'GTF2E2', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'SMARCC1', 'SKIL', 'HIPK2']
3	GO:BP	GO:0006351	DNA-templated transcription	3.4763114501420565e-59	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	107	99	17376	0.9252336448598132	0.0304054054054054	query_1	['GO:0097659']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
4	GO:BP	GO:0097659	nucleic acid-templated transcription	3.4763114501420565e-59	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3257	107	99	17376	0.9252336448598132	0.0303960700030703	query_1	['GO:0010467', 'GO:0032774']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
5	GO:BP	GO:0032774	RNA biosynthetic process	6.26690904110979e-59	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3290	107	99	17376	0.9252336448598132	0.0300911854103343	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
6	GO:BP	GO:0016070	RNA metabolic process	2.341644487070385e-57	True	"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]"	4204	107	104	17376	0.97196261682243	0.0247383444338725	query_1	['GO:0090304']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'GTF2B', 'TARS1', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2', 'CARS1']
7	GO:CC	GO:0005654	nucleoplasm	6.0110901182882004e-55	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	107	101	17376	0.9439252336448598	0.0253386853988961	query_1	['GO:0031981', 'GO:0110165']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'MPLKIP', 'ZNF143', 'GTF3A', 'COPRS', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'GTF3C5', 'RARA', 'GTF2E2', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
8	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	3.7384348911933195e-54	True	"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	3698	107	99	17376	0.9252336448598132	0.0267712276906435	query_1	['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
9	GO:BP	GO:0018130	heterocycle biosynthetic process	1.7687734765339768e-53	True	"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]"	3764	107	99	17376	0.9252336448598132	0.0263018065887353	query_1	['GO:0044249', 'GO:0046483']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'ZNF143', 'GTF3A', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
