Neuroectodermal melanolysosomal disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	3.643075553543312e-57	True	Mitotic G1 phase and G1/S transition	147	101	41	17376	0.4059405940594059	0.2789115646258503	query_1	['REAC:R-HSA-69278']	['CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CDKN2D', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
1	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	1.819701027591981e-56	True	Generic Transcription Pathway	1151	101	70	17376	0.693069306930693	0.0608166811468288	query_1	['REAC:R-HSA-73857']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'RBX1', 'SIN3A', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
2	REAC	REAC:R-HSA-69236	G1 Phase	1.1247477524745199e-55	True	G1 Phase	46	101	30	17376	0.297029702970297	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
3	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	1.1247477524745199e-55	True	Cyclin D associated events in G1	46	101	30	17376	0.297029702970297	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
4	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	7.793519664467392e-54	True	RNA Polymerase II Transcription	1272	101	70	17376	0.693069306930693	0.0550314465408805	query_1	['REAC:R-HSA-74160']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'RBX1', 'SIN3A', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
5	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	2.584394002520903e-52	True	Gene expression (Transcription)	1407	101	71	17376	0.7029702970297029	0.0504619758351101	query_1	['REAC:0000000']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
6	REAC	REAC:R-HSA-69206	G1/S Transition	2.4256894038154703e-44	True	G1/S Transition	130	101	33	17376	0.3267326732673267	0.2538461538461538	query_1	['REAC:R-HSA-453279']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'E2F1', 'MNAT1', 'CDK1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
7	REAC	REAC:R-HSA-69202	Cyclin E associated events during G1/S transition 	1.8754524714871296e-41	True	Cyclin E associated events during G1/S transition 	82	101	28	17376	0.2772277227722772	0.3414634146341463	query_1	['REAC:R-HSA-69206']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'RBBP4', 'CCNE1', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SKP1', 'E2F1', 'MNAT1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
8	REAC	REAC:R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	3.7429515514477694e-41	True	Cyclin A:Cdk2-associated events at S phase entry	84	101	28	17376	0.2772277227722772	0.3333333333333333	query_1	['REAC:R-HSA-69242']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'RBBP4', 'CCNE1', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SKP1', 'E2F1', 'MNAT1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
9	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	1.6355184164571535e-40	True	Cell Cycle, Mitotic	543	101	46	17376	0.4554455445544554	0.0847145488029466	query_1	['REAC:R-HSA-1640170']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'CCND1']
