Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	2.541077467394678e-69	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	289	101	53	21110	0.5247524752475248	0.1833910034602076	query_1	['GO:0035556']	['SHARPIN', 'CARD11', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N', 'TNFAIP3']
1	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	2.299823193889533e-62	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	256	101	48	21110	0.4752475247524752	0.1875	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'CARD11', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N', 'TNFAIP3']
2	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	8.089025134955758e-55	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	191	101	41	21110	0.4059405940594059	0.2146596858638743	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'CARD11', 'MYD88', 'UBE2V1', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N']
3	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1.4666602038721486e-52	True	Toll Like Receptor 4 (TLR4) Cascade	143	96	42	10790	0.4375	0.2937062937062937	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
4	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	1.036195376839684e-50	True	TRIF(TICAM1)-mediated TLR4 signaling 	107	96	38	10790	0.3958333333333333	0.3551401869158878	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
5	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	1.036195376839684e-50	True	MyD88-independent TLR4 cascade 	107	96	38	10790	0.3958333333333333	0.3551401869158878	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
6	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	1.4358163448787569e-49	True	Toll-like Receptor Cascades	165	96	42	10790	0.4375	0.2545454545454545	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
7	KEGG	KEGG:04064	NF-kappa B signaling pathway	1.827743607989435e-48	True	NF-kappa B signaling pathway	102	93	38	8161	0.4086021505376344	0.3725490196078431	query_1	['KEGG:00000']	['CARD11', 'MYD88', 'MAP3K14', 'TRAF3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'TNF', 'NFKB1', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'LTB', 'NFKB2', 'TICAM2', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'TRAF6', 'BIRC2', 'NFKBIA', 'TAB3', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
8	WP	WP:WP231	TNF-alpha signaling pathway	2.1585922437022572e-47	True	TNF-alpha signaling pathway	92	88	36	8133	0.4090909090909091	0.391304347826087	query_1	['WP:000000']	['MAP3K8', 'TANK', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'NFKBIB', 'MAP3K14', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'BTRC', 'TBK1', 'TNF', 'FADD', 'NFKB1', 'RIPK1', 'SKP1', 'CFLAR', 'TRADD', 'NFKB2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'TNFAIP3', 'CDC37']
9	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	1.6621194170936986e-45	True	Toll Like Receptor 3 (TLR3) Cascade	103	96	35	10790	0.3645833333333333	0.3398058252427184	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'UBE2N']
