LMNA-related cardiocutaneous progeria syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0006259	DNA metabolic process	7.495038721690291e-108	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1006	101	95	17376	0.9405940594059404	0.0944333996023856	query_1	['GO:0090304']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
1	GO:BP	GO:0006281	DNA repair	3.692047001080408e-106	True	"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]"	573	101	84	17376	0.8316831683168316	0.1465968586387434	query_1	['GO:0006259', 'GO:0006974']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	REAC	REAC:R-HSA-73894	DNA Repair	3.3261094779621492e-105	True	DNA Repair	329	101	74	17376	0.7326732673267327	0.2249240121580547	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
3	GO:BP	GO:0006974	DNA damage response	4.2676650832489203e-97	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	855	101	87	17376	0.8613861386138614	0.1017543859649122	query_1	['GO:0033554']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
4	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	1.9372090067507386e-91	True	DNA Double-Strand Break Repair	168	101	58	17376	0.5742574257425742	0.3452380952380952	query_1	['REAC:R-HSA-73894']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'POLE', 'POLD2', 'RNF8']
5	GO:BP	GO:0006302	double-strand break repair	1.485362057250243e-76	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]"	296	101	59	17376	0.5841584158415841	0.1993243243243243	query_1	['GO:0006281']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MCM5', 'MSH2', 'TP53BP1', 'RAD50', 'MCM7', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'POLA1', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'HUS1B', 'BRCA1', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'WRN', 'RMI2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'RNF8']
6	REAC	REAC:R-HSA-5693538	Homology Directed Repair	2.460141839655955e-74	True	Homology Directed Repair	138	101	48	17376	0.4752475247524752	0.3478260869565217	query_1	['REAC:R-HSA-5693532']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
7	GO:BP	GO:0006310	DNA recombination	1.3422458107919237e-72	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	101	58	17376	0.5742574257425742	0.1818181818181818	query_1	['GO:0006259']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MCM5', 'MSH2', 'TP53BP1', 'RAD50', 'MCM7', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'EXO1', 'HUS1B', 'BRCA1', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'MCM3', 'RNF8', 'MSH6']
8	GO:BP	GO:0033554	cellular response to stress	2.1613969130350748e-68	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1893	101	88	17376	0.8712871287128713	0.0464870575805599	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
9	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.047488053353188e-66	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	101	44	17376	0.4356435643564356	0.3333333333333333	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
