KID syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.2415224003240406e-38	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2641	102	77	17376	0.7549019607843137	0.0291556228701249	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'HFE', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'PIK3CA', 'KDR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'TLN1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
1	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6.25550490873123e-38	True	Platelet activation, signaling and aggregation	252	102	36	17376	0.3529411764705882	0.1428571428571428	query_1	['REAC:R-HSA-109582']	['PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'FYN', 'LAT', 'LYN', 'LCP2', 'APOA1', 'TF', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VEGFA', 'PIK3R3', 'SERPINA1', 'TLN1', 'PTK2', 'LCK', 'ALB', 'PTPN11']
2	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	4.322251630661296e-37	True	Signaling by Receptor Tyrosine Kinases	495	102	43	17376	0.4215686274509804	0.0868686868686868	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'CXCL12', 'LYN', 'NRP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
3	GO:BP	GO:0016477	cell migration	1.9658345629561333e-34	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1426	102	59	17376	0.5784313725490197	0.0413744740532959	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CERS2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
4	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4.5766461692476935e-34	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	102	44	17376	0.4313725490196078	0.0727272727272727	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'PIK3CB', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'BLNK', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
5	GO:BP	GO:0007155	cell adhesion	5.850005708919696e-34	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	102	58	17376	0.5686274509803921	0.0412224591329069	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'TFRC', 'CTNNB1', 'ITGA2B', 'ITGA5', 'HFE', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'PLXNA1']
6	GO:BP	GO:0048584	positive regulation of response to stimulus	5.850005708919696e-34	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2115	102	67	17376	0.6568627450980392	0.0316784869976359	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'PTK2B', 'IGHM', 'VEGFA', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF']
7	REAC	REAC:R-HSA-109582	Hemostasis	1.6820739005952638e-33	True	Hemostasis	606	102	43	17376	0.4215686274509804	0.0709570957095709	query_1	['REAC:0000000']	['ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'APOA1', 'TF', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'IGHM', 'VEGFA', 'PIK3R3', 'SERPINA1', 'TLN1', 'L1CAM', 'PTK2', 'LCK', 'ALB', 'PTPN11']
8	GO:BP	GO:0048870	cell motility	3.906639135599777e-33	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1608	102	60	17376	0.5882352941176471	0.0373134328358208	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CERS2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
9	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.744548170291817e-32	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	102	49	17376	0.4803921568627451	0.052858683926645	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'PIK3CB', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'TF', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'BLNK', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
