Noonan syndrome with multiple lentigines	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	KEGG	KEGG:04510	Focal adhesion	2.3345732055836827e-61	True	Focal adhesion	202	97	54	8161	0.5567010309278351	0.2673267326732673	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'BRAF', 'TNC', 'MAP2K1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'RAF1', 'ERBB2', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'PTK2', 'ITGB6', 'ITGB7', 'PDGFRA', 'FLT1', 'PGF']
1	WP	WP:WP306	Focal adhesion	3.3690838828899265e-60	True	Focal adhesion	197	96	53	8133	0.5520833333333334	0.2690355329949238	query_1	['WP:000000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'MAPK3', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'BRAF', 'TNC', 'MAP2K1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'RAF1', 'ERBB2', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'PTK2', 'ITGB6', 'ITGB7', 'PDGFRA', 'FLT1', 'PGF']
2	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.2775156670410525e-58	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	990	103	66	21110	0.6407766990291263	0.0666666666666666	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'CNKSR1', 'GRB2', 'TGFB1', 'BRAF', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
3	GO:BP	GO:0048870	cell motility	2.192805692829433e-57	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1705	103	76	21110	0.7378640776699029	0.044574780058651	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'MAP2K1', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'HSP90AA1', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'LAMTOR2', 'VEGFD', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
4	GO:BP	GO:0016477	cell migration	7.766901258212689e-57	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1505	103	73	21110	0.7087378640776699	0.0485049833887043	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'HSP90AA1', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'LAMTOR2', 'VEGFD', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
5	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.2682693734827067e-54	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	632	103	56	21110	0.5436893203883495	0.0886075949367088	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'FGFR2', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'CNKSR1', 'GRB2', 'BRAF', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	3.8627144805689447e-54	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2890	103	86	21110	0.8349514563106796	0.029757785467128	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'CNKSR1', 'GRB2', 'TGFB1', 'BRAF', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'ITGAE', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
7	GO:BP	GO:0040011	locomotion	1.283522601272459e-46	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1365	103	64	21110	0.6213592233009708	0.0468864468864468	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'MAP2K1', 'EGFR', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
8	GO:BP	GO:0070848	response to growth factor	1.302734374167634e-45	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	710	103	52	21110	0.5048543689320388	0.0732394366197183	query_1	['GO:0009719']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
9	GO:BP	GO:0071363	cellular response to growth factor stimulus	4.418122073632422e-45	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	680	103	51	21110	0.4951456310679611	0.075	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
