Laron syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	WP	WP:WP231	TNF-alpha signaling pathway	1.4928100091733511e-35	True	TNF-alpha signaling pathway	92	80	29	8133	0.3625	0.3152173913043478	query_1	['WP:000000']	['MAP3K8', 'CREBBP', 'NFKBIE', 'NFKBIB', 'MAP3K14', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'RIPK1', 'SKP1', 'CFLAR', 'TRADD', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
1	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	9.978825896084297e-34	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	289	99	33	21110	0.3333333333333333	0.1141868512110726	query_1	['GO:0035556']	['SHARPIN', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'BCL10']
2	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	1.288613386145612e-30	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	256	99	30	21110	0.303030303030303	0.1171875	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'BCL10']
3	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	5.597918766407147e-28	True	Toll Like Receptor 3 (TLR3) Cascade	103	91	25	10790	0.2747252747252747	0.2427184466019417	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
4	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	8.57218456464261e-28	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	191	99	26	21110	0.2626262626262626	0.1361256544502617	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'BCL10']
5	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	1.6128179459841922e-27	True	MyD88-independent TLR4 cascade 	107	91	25	10790	0.2747252747252747	0.2336448598130841	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
6	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	1.6128179459841922e-27	True	TRIF(TICAM1)-mediated TLR4 signaling 	107	91	25	10790	0.2747252747252747	0.2336448598130841	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
7	GO:BP	GO:1901564	organonitrogen compound metabolic process	6.162022027904372e-27	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	6441	99	85	21110	0.8585858585858586	0.0131967085856233	query_1	['GO:0006807', 'GO:0071704']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'DBT', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA', 'PRLR']
8	WP	WP:WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	4.406075918529555e-26	True	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	42	80	19	8133	0.2375	0.4523809523809524	query_1	['WP:000000']	['GSK3B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CHUK', 'RELA', 'IKBKB', 'TNF', 'FADD', 'NFKB1', 'RIPK1', 'NFKB2', 'BIRC3', 'TRAF2', 'MAP3K7', 'RELB', 'BIRC2', 'NFKBIA', 'CASP8']
9	GO:BP	GO:0070887	cellular response to chemical stimulus	1.6696731069364372e-25	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2722	99	60	21110	0.6060606060606061	0.0220426157237325	query_1	['GO:0042221', 'GO:0051716']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'GSK3B', 'CDK5RAP3', 'NFKBIB', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'BTRC', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'PDK1', 'ARNT', 'AHR', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'FBXW7', 'UBA5', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
