Acquired partial lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	1.7058219294758352e-49	True	Extracellular matrix organization	284	101	44	17376	0.4356435643564356	0.1549295774647887	query_1	['REAC:0000000']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'TGFB3', 'LRP4', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'FBLN5', 'TNC', 'MFAP3', 'FBLN2', 'LOXL1', 'JAM3', 'FBN1', 'ITGAE', 'KDR', 'FBN2', 'MUSK', 'CDH1', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'VTN', 'VCAM1', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'ITGA2', 'MFAP4']
1	GO:BP	GO:0007155	cell adhesion	8.481252024448231e-44	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	101	66	17376	0.6534653465346535	0.0469083155650319	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'TNC', 'TGFB1', 'NRP2', 'FBLN2', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'ITGA2', 'PLXNA1', 'MFAP4']
2	GO:BP	GO:0016477	cell migration	1.00740045380399e-43	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1426	101	66	17376	0.6534653465346535	0.0462833099579242	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
3	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	9.126563977664584e-42	True	Signaling by Receptor Tyrosine Kinases	495	101	46	17376	0.4554455445544554	0.0929292929292929	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'MEMO1', 'LYN', 'NRP2', 'EGFR', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'SH3GL2', 'ADAM12', 'CRKL', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
4	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.5058102443470428e-41	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	101	56	17376	0.5544554455445545	0.0604099244875943	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
5	GO:BP	GO:0048870	cell motility	1.1211364514762043e-40	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1608	101	66	17376	0.6534653465346535	0.0410447761194029	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	6.895750637871245e-40	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2641	101	77	17376	0.7623762376237624	0.0291556228701249	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
7	GO:BP	GO:0071363	cellular response to growth factor stimulus	3.9021664651304105e-39	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	101	48	17376	0.4752475247524752	0.075353218210361	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
8	GO:BP	GO:0070848	response to growth factor	2.808945886218109e-38	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	101	48	17376	0.4752475247524752	0.072072072072072	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
9	GO:BP	GO:0040011	locomotion	5.363168746683956e-38	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1283	101	59	17376	0.5841584158415841	0.0459859703819173	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
