Waardenburg syndrome type 2	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0016477	cell migration	3.6184778017153283e-44	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1505	106	65	21110	0.6132075471698113	0.0431893687707641	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'KITLG', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'MADCAM1', 'SNAI2', 'SOX10', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TUBB2A', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
1	GO:BP	GO:0048870	cell motility	9.407246840562168e-41	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1705	106	65	21110	0.6132075471698113	0.0381231671554252	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'KITLG', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'MADCAM1', 'SNAI2', 'SOX10', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TUBB2A', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
2	KEGG	KEGG:04510	Focal adhesion	1.0336230705421428e-40	True	Focal adhesion	202	85	40	8161	0.4705882352941176	0.198019801980198	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'TNC', 'EGFR', 'VCL', 'VAV1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ITGA3', 'PDGFRA', 'FLT1', 'PGF']
3	WP	WP:WP306	Focal adhesion	7.094435243918319e-40	True	Focal adhesion	197	89	40	8133	0.449438202247191	0.2030456852791878	query_1	['WP:000000']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'TNC', 'EGFR', 'VCL', 'VAV1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ITGA3', 'PDGFRA', 'FLT1', 'PGF']
4	GO:BP	GO:0040011	locomotion	3.862735786756503e-35	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1365	106	56	21110	0.5283018867924528	0.041025641025641	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VTN', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
5	GO:MF	GO:0005102	signaling receptor binding	1.2144611592161159e-32	True	"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	1564	106	57	20195	0.5377358490566038	0.0364450127877237	query_1	['GO:0005515']	['ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'CD2AP', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'JAM3', 'ITGAE', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'EML2', 'CRKL', 'EDNRB', 'VTN', 'TLN1', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11', 'PDGFRA', 'PGF']
6	GO:BP	GO:0007155	cell adhesion	1.7282772147721414e-32	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1530	106	56	21110	0.5283018867924528	0.0366013071895424	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'TFE3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'SNAI2', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'ITGAE', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'PLXNA1']
7	GO:BP	GO:0030335	positive regulation of cell migration	7.367604949777806e-32	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	532	106	39	21110	0.3679245283018867	0.0733082706766917	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF']
8	GO:BP	GO:2000147	positive regulation of cell motility	4.66907379861648e-31	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	558	106	39	21110	0.3679245283018867	0.0698924731182795	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF']
9	GO:BP	GO:0007229	integrin-mediated signaling pathway	5.7293250923354445e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	118	106	25	21110	0.2358490566037736	0.211864406779661	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11']
10	GO:BP	GO:0007166	cell surface receptor signaling pathway	6.534496380228676e-31	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2890	106	69	21110	0.6509433962264151	0.0238754325259515	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'MADCAM1', 'SNAI2', 'SOX10', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'ITGAE', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'ECE1', 'ADAM12', 'CRKL', 'EDNRB', 'VTN', 'TLN1', 'TGFBR1', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
11	GO:BP	GO:0040017	positive regulation of locomotion	1.389357291217065e-30	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	574	106	39	21110	0.3679245283018867	0.0679442508710801	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF']
