Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-597592	Post-translational protein modification	2.8264317930080767e-21	True	Post-translational protein modification	1338	101	45	17376	0.4455445544554455	0.0336322869955156	query_1	['REAC:R-HSA-392499']	['CUL3', 'RXRA', 'PNPLA2', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'ARF1', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'ELOB', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3']
1	REAC	REAC:R-HSA-8951664	Neddylation	1.1137033641723537e-19	True	Neddylation	236	101	23	17376	0.2277227722772277	0.097457627118644	query_1	['REAC:R-HSA-597592']	['CUL3', 'CUL4B', 'DDB2', 'LMO7', 'VCP', 'ELOB', 'DDB1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
2	GO:CC	GO:1990234	transferase complex	1.3556454640148234e-19	True	"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]"	846	101	36	17376	0.3564356435643564	0.0425531914893617	query_1	['GO:1902494']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'DERL2', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'RPN2', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3', 'NAA35']
3	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	9.737128034153429e-19	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]"	682	101	33	17376	0.3267326732673267	0.0483870967741935	query_1	['GO:0009057']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
4	GO:BP	GO:0019941	modification-dependent protein catabolic process	9.737128034153429e-19	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	101	33	17376	0.3267326732673267	0.0492537313432835	query_1	['GO:0043632', 'GO:0051603']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
5	GO:BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1.5337099528414405e-18	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:go_curators]"	446	101	28	17376	0.2772277227722772	0.0627802690582959	query_1	['GO:0006511', 'GO:0010498']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'SKP1', 'SEL1L', 'SHH', 'FAF2', 'ERLEC1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
6	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	2.2299600326993838e-18	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]"	660	101	32	17376	0.3168316831683168	0.0484848484848484	query_1	['GO:0019941']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
7	GO:CC	GO:0140534	endoplasmic reticulum protein-containing complex	2.8442696071469333e-18	True	"""A protein complex that is part of an endoplasmic reticulum."" [GOC:pg]"	125	101	18	17376	0.1782178217821782	0.144	query_1	['GO:0005783', 'GO:0032991']	['SELENOS', 'SYVN1', 'STT3B', 'DAD1', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'DERL1', 'DDOST', 'RPN1', 'HSP90B1', 'SEL1L', 'STT3A', 'FAF2', 'MAGT1', 'RPN2', 'TUSC3']
8	GO:BP	GO:0051603	proteolysis involved in protein catabolic process	1.1997494297264872e-17	True	"""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]"	762	101	33	17376	0.3267326732673267	0.0433070866141732	query_1	['GO:0006508', 'GO:0030163']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
9	GO:CC	GO:0140535	intracellular protein-containing complex	2.4104645255215428e-17	True	"""A protein-containing complex located intracellularly."" [GOC:pg]"	896	101	34	17376	0.3366336633663366	0.0379464285714285	query_1	['GO:0032991']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'LMO7', 'DERL2', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'CSDE1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'ARNT', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'NAA35']
