Transaldolase deficiency	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0098798	mitochondrial protein-containing complex	1.3818307380283815e-35	True	"""A protein complex that is part of a mitochondrion."" [GOC:dos]"	298	97	36	16420	0.3711340206185567	0.1208053691275167	query_1	['GO:0005739', 'GO:0032991']	['PPIF', 'SPG7', 'LYRM4', 'HSPA9', 'MCUB', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'PHB2', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'VDAC1', 'AFG3L2', 'ISCU', 'PDK1', 'SDHB', 'NFS1', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MICU2', 'MFN1', 'PMPCB', 'PHB1', 'BCKDHA']
1	GO:CC	GO:0005759	mitochondrial matrix	6.5705353652332535e-25	True	"""The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."" [GOC:as, ISBN:0198506732]"	465	97	33	16420	0.3402061855670103	0.0709677419354838	query_1	['GO:0005739', 'GO:0070013']	['PPIF', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'OTC', 'DLST', 'HSPA9', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'MCAT', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'HSPD1', 'PDK3', 'VDAC1', 'RAD51', 'ISCU', 'PDK1', 'NFS1', 'NDUFAB1', 'SMDT1', 'DLD', 'PDK2', 'PMPCB', 'OGDH', 'BCKDHA']
2	GO:CC	GO:1990204	oxidoreductase complex	9.196952932651274e-25	True	"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]"	126	97	22	16420	0.2268041237113402	0.1746031746031746	query_1	['GO:1902494']	['GCSH', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'OGDH', 'BCKDHA']
3	GO:CC	GO:0005739	mitochondrion	7.143874778069031e-22	True	"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]"	1581	97	48	16420	0.4948453608247423	0.0303605313092979	query_1	['GO:0005737', 'GO:0043231']	['PPIF', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'LYRM4', 'MAIP1', 'OTC', 'DLST', 'HSPA9', 'MCUB', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'HSPD1', 'PDK3', 'VDAC1', 'RAD51', 'AFG3L2', 'ISCU', 'PDK1', 'SDHB', 'NFS1', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1', 'BCKDHA']
0	REAC	REAC:R-HSA-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	3.692951270864972e-21	True	Pyruvate metabolism and Citric Acid (TCA) cycle	53	83	17	10022	0.2048192771084337	0.320754716981132	query_1	['REAC:R-HSA-1428517']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'SDHB', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'OGDH']
1	REAC	REAC:R-HSA-8949664	Processing of SMDT1	3.692951270864972e-21	True	Processing of SMDT1	15	83	12	10022	0.144578313253012	0.8	query_1	['REAC:R-HSA-8949215']	['SPG7', 'MAIP1', 'MCUB', 'PMPCA', 'PHB2', 'MCU', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB', 'PHB1']
2	REAC	REAC:R-HSA-8949215	Mitochondrial calcium ion transport	7.560592120856568e-21	True	Mitochondrial calcium ion transport	21	83	13	10022	0.1566265060240964	0.6190476190476191	query_1	['REAC:R-HSA-382551']	['SPG7', 'MAIP1', 'MCUB', 'PMPCA', 'PHB2', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB', 'PHB1']
0	GO:BP	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	1.0371457014352749e-18	True	"""The chemical reactions and pathways resulting in the formation of acetyl-CoA from pyruvate."" [GOC:dph, GOC:go_curators, GOC:tb]"	11	95	10	15719	0.1052631578947368	0.9090909090909092	query_1	['GO:0006085', 'GO:0006090']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
3	REAC	REAC:R-HSA-389661	Glyoxylate metabolism and glycine degradation	1.7949847750639947e-18	True	Glyoxylate metabolism and glycine degradation	29	83	13	10022	0.1566265060240964	0.4482758620689655	query_1	['REAC:R-HSA-71291']	['GCSH', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'BCKDHB', 'PDHA1', 'NDUFAB1', 'DLD', 'OGDH', 'BCKDHA']
5	GO:CC	GO:0045254	pyruvate dehydrogenase complex	5.449354111697724e-17	True	"""Complex that carries out the oxidative decarboxylation of pyruvate to form acetyl-CoA; comprises subunits possessing three catalytic activities: pyruvate dehydrogenase (E1), dihydrolipoamide S-acetyltransferase (E2), and dihydrolipoamide dehydrogenase (E3)."" [ISBN:0716720094]"	8	97	8	16420	0.0824742268041237	1.0	query_1	['GO:0005737', 'GO:1990204']	['DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK1', 'DLD', 'PDK2']
