Branchioskeletogenital syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	3.623802061420586e-42	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	99	63	15719	0.6363636363636364	0.0524126455906822	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'NOTCH3', 'NCOA3', 'AKT1', 'CREBBP', 'CBFB', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
1	GO:BP	GO:0051254	positive regulation of RNA metabolic process	4.6058402365187147e-42	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1773	99	71	15719	0.7171717171717171	0.0400451212633953	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
2	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	5.019875151761768e-42	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1641	99	69	15719	0.696969696969697	0.0420475319926873	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
3	GO:BP	GO:0045893	positive regulation of DNA-templated transcription	5.019875151761768e-42	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1641	99	69	15719	0.696969696969697	0.0420475319926873	query_1	['GO:0006351', 'GO:0006355', 'GO:1903508']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
4	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	5.3416096211459396e-42	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1648	99	69	15719	0.696969696969697	0.0418689320388349	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
5	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	7.863610802042489e-40	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1860	99	70	15719	0.7070707070707071	0.0376344086021505	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
6	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1.4271940768939148e-39	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1963	99	71	15719	0.7171717171717171	0.0361691288843606	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
7	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	3.203002277035626e-39	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2347	99	75	15719	0.7575757575757576	0.031955688112484	query_1	['GO:0006355', 'GO:0006366']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
8	GO:BP	GO:0009891	positive regulation of biosynthetic process	4.782140725631931e-38	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	1989	99	70	15719	0.7070707070707071	0.0351935646053293	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
9	GO:BP	GO:0006366	transcription by RNA polymerase II	5.62747571104535e-38	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2450	99	75	15719	0.7575757575757576	0.0306122448979591	query_1	['GO:0006351']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
