Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-69236	G1 Phase	4.884986849008552e-49	True	G1 Phase	46	96	30	10022	0.3125	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
1	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	4.884986849008552e-49	True	Cyclin D associated events in G1	46	96	30	10022	0.3125	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
2	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	4.552246196576457e-47	True	Generic Transcription Pathway	1153	96	73	10022	0.7604166666666666	0.0633130962705984	query_1	['REAC:R-HSA-73857']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
3	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	4.569332051389715e-44	True	RNA Polymerase II Transcription	1274	96	73	10022	0.7604166666666666	0.0572998430141287	query_1	['REAC:R-HSA-74160']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
0	GO:CC	GO:0005654	nucleoplasm	2.749746927568165e-42	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	101	91	16420	0.900990099009901	0.0227613806903451	query_1	['GO:0031981', 'GO:0110165']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'COPRS', 'AMOT', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'UBE2W', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'NAB1', 'CDK4', 'CDKN1B', 'CUL1', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
4	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	3.6062514969822715e-42	True	Mitotic G1 phase and G1/S transition	147	96	37	10022	0.3854166666666667	0.2517006802721088	query_1	['REAC:R-HSA-69278']	['CDKN2B', 'AKT1', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
1	GO:CC	GO:0005667	transcription regulator complex	7.387179048544124e-42	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	508	101	47	16420	0.4653465346534653	0.09251968503937	query_1	['GO:0032991']	['REST', 'CREBBP', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'TBX5', 'SIN3A', 'TEAD2', 'E2F5', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'CHD4', 'SMAD4', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'MNAT1', 'POU3F2', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'ESR1', 'DRAP1', 'FOXH1', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'CCND1']
5	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	4.1013799877482656e-41	True	Gene expression (Transcription)	1409	96	73	10022	0.7604166666666666	0.0518097941802696	query_1	['REAC:0000000']	['MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
2	GO:CC	GO:0031981	nuclear lumen	1.6236805772459916e-39	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	101	91	16420	0.900990099009901	0.020919540229885	query_1	['GO:0005634', 'GO:0070013']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CDK8', 'CBFB', 'CDK5', 'E2F4', 'COPRS', 'AMOT', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'UBE2W', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'NAB1', 'CDK4', 'CDKN1B', 'CUL1', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
0	GO:BP	GO:0044843	cell cycle G1/S phase transition	4.314444110027607e-36	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	255	100	36	15719	0.36	0.1411764705882353	query_1	['GO:0044770']	['CDKN2B', 'AKT1', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
