Thanatophoric dysplasia type 1	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	1.570193259346214e-19	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	84	19	10022	0.2261904761904762	0.2134831460674157	query_1	['REAC:R-HSA-168249']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.7707413251349165e-19	True	Signaling by Receptor Tyrosine Kinases	495	84	33	10022	0.3928571428571428	0.0666666666666666	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'SHB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'ELMO2']
0	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2.1821681808632214e-18	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	96	32	15719	0.3333333333333333	0.052892561983471	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'GRB2', 'LCP2', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'HAP1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
2	REAC	REAC:R-HSA-186763	Downstream signal transduction	8.496184526281523e-17	True	Downstream signal transduction	26	84	12	10022	0.1428571428571428	0.4615384615384615	query_1	['REAC:R-HSA-186797']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'PDGFRA', 'NCK2']
5	REAC	REAC:R-HSA-9664422	FCGR3A-mediated phagocytosis	1.5408982765309686e-16	True	FCGR3A-mediated phagocytosis	63	84	15	10022	0.1785714285714285	0.238095238095238	query_1	['REAC:R-HSA-9664417']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
4	REAC	REAC:R-HSA-9664417	Leishmania phagocytosis	1.5408982765309686e-16	True	Leishmania phagocytosis	63	84	15	10022	0.1785714285714285	0.238095238095238	query_1	['REAC:R-HSA-9664407']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
3	REAC	REAC:R-HSA-9664407	Parasite infection	1.5408982765309686e-16	True	Parasite infection	63	84	15	10022	0.1785714285714285	0.238095238095238	query_1	['REAC:R-HSA-9658195']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
1	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	4.304709010497306e-15	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	96	34	15719	0.3541666666666667	0.0366774541531823	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'GRB2', 'LCP2', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
6	REAC	REAC:R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	1.1623121974355561e-14	True	Regulation of actin dynamics for phagocytic cup formation	66	84	14	10022	0.1666666666666666	0.2121212121212121	query_1	['REAC:R-HSA-2029480']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'WAS', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
2	GO:BP	GO:0018212	peptidyl-tyrosine modification	1.7282592135276686e-14	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	364	96	23	15719	0.2395833333333333	0.0631868131868131	query_1	['GO:0018193']	['MET', 'SRC', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
