Acral peeling skin syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	REAC	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	3.243963403935905e-41	True	Signaling by NOTCH1 in Cancer	55	98	28	10022	0.2857142857142857	0.509090909090909	query_1	['REAC:R-HSA-5663202']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
2	REAC	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	3.243963403935905e-41	True	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	55	98	28	10022	0.2857142857142857	0.509090909090909	query_1	['REAC:R-HSA-2894858']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
1	REAC	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	3.243963403935905e-41	True	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	55	98	28	10022	0.2857142857142857	0.509090909090909	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
0	REAC	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	3.243963403935905e-41	True	Signaling by NOTCH1 PEST Domain Mutants in Cancer	55	98	28	10022	0.2857142857142857	0.509090909090909	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
3	REAC	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	3.243963403935905e-41	True	Constitutive Signaling by NOTCH1 PEST Domain Mutants	55	98	28	10022	0.2857142857142857	0.509090909090909	query_1	['REAC:R-HSA-2644602']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
5	REAC	REAC:R-HSA-1980143	Signaling by NOTCH1	1.5298130767393511e-37	True	Signaling by NOTCH1	70	98	28	10022	0.2857142857142857	0.4	query_1	['REAC:R-HSA-157118']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'HDAC2', 'CCNC']
6	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	1.5298130767393511e-37	True	Diseases of signal transduction by growth factor receptors and second messengers	410	98	47	10022	0.4795918367346938	0.1146341463414634	query_1	['REAC:R-HSA-1643685']	['MAML1', 'MAML2', 'IHH', 'AKT1', 'SYVN1', 'CDK8', 'CREBBP', 'ADAM10', 'DHH', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'CTNNB1', 'HDAC1', 'ADAM17', 'NCSTN', 'OS9', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'SMAD2', 'SEL1L', 'EGFR', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'ERLEC1', 'SNW1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'JAG1', 'TBL1XR1', 'SMAD3', 'HDAC2', 'CCNC']
7	REAC	REAC:R-HSA-162582	Signal Transduction	2.9598643135196387e-37	True	Signal Transduction	2438	98	85	10022	0.8673469387755102	0.034864643150123	query_1	['REAC:0000000']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'SYVN1', 'CDK8', 'CREBBP', 'SMURF2', 'BOC', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'TACC3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'ABL1', 'OS9', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'CTNNA1', 'SMAD2', 'SEL1L', 'EGFR', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'ERLEC1', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
8	REAC	REAC:R-HSA-157118	Signaling by NOTCH	2.4713284630068243e-34	True	Signaling by NOTCH	228	98	37	10022	0.3775510204081632	0.1622807017543859	query_1	['REAC:R-HSA-162582']	['MAML1', 'MAML2', 'NOTCH3', 'AKT1', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'TACC3', 'HDAC1', 'ADAM17', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'SEL1L', 'EGFR', 'NOTCH1', 'EP300', 'RBPJ', 'NOTCH2', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'CCNC']
0	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	2.3257021252079564e-31	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	101	55	15719	0.5445544554455446	0.0457570715474209	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
