Lenz-Majewski hyperostotic dwarfism	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-9007101	Rab regulation of trafficking	4.150932397486885e-33	True	Rab regulation of trafficking	119	86	29	10022	0.3372093023255814	0.2436974789915966	query_1	['REAC:R-HSA-199991']	['RAB14', 'RAB1B', 'RAB7A', 'OPTN', 'RAB8A', 'RAB8B', 'RABEP1', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB35', 'RAB3A', 'RAB6A', 'RAB3IL1']
1	REAC	REAC:R-HSA-8873719	RAB geranylgeranylation	1.0526926816363943e-28	True	RAB geranylgeranylation	63	86	22	10022	0.2558139534883721	0.3492063492063492	query_1	['REAC:R-HSA-597592']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RAB8A', 'RAB8B', 'RABGGTB', 'RAB5B', 'RAB5C', 'RABGGTA', 'CHM', 'RAB5A', 'RAB4A', 'RAB13', 'RAB1A', 'CHML', 'RAB10', 'RAB35', 'RAB23', 'RAB3A', 'PTP4A2', 'RAB6A']
2	REAC	REAC:R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	2.609787193573563e-25	True	RAB GEFs exchange GTP for GDP on RABs	87	86	22	10022	0.2558139534883721	0.2528735632183908	query_1	['REAC:R-HSA-9007101']	['RAB14', 'RAB1B', 'RAB7A', 'RAB8A', 'RAB8B', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB5A', 'RAB13', 'RAB1A', 'CHML', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'RAB35', 'RAB3A', 'RAB6A', 'RAB3IL1']
3	REAC	REAC:R-HSA-8854214	TBC/RABGAPs	4.7218037229043956e-21	True	TBC/RABGAPs	44	86	16	10022	0.1860465116279069	0.3636363636363636	query_1	['REAC:R-HSA-9007101']	['RAB7A', 'OPTN', 'RAB8A', 'RAB8B', 'RABEP1', 'RAB5B', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'GGA2', 'GGA3', 'TBC1D17', 'RAB35', 'RAB6A']
0	GO:BP	GO:0015031	protein transport	3.0163368923702153e-16	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	96	43	15719	0.4479166666666667	0.0281597904387688	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
2	GO:BP	GO:0071705	nitrogen compound transport	3.0163368923702153e-16	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1969	96	48	15719	0.5	0.0243778567800914	query_1	['GO:0006810']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'SLC25A52', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'RAB8B', 'ZFP36', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'SLC6A8', 'STX1A', 'RAB5C', 'ABCD1', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
1	GO:BP	GO:0016192	vesicle-mediated transport	3.0163368923702153e-16	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1517	96	43	15719	0.4479166666666667	0.028345418589321	query_1	['GO:0006810']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'HTT', 'OSBPL1A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'PPFIA3', 'GDI1', 'SNAP25', 'GDI2', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RHOH', 'RAB3A', 'RAB6A', 'RAB3IL1']
4	REAC	REAC:R-HSA-8948700	Competing endogenous RNAs (ceRNAs) regulate PTEN translation	1.1636121661659153e-15	True	Competing endogenous RNAs (ceRNAs) regulate PTEN translation	8	86	8	10022	0.0930232558139534	1.0	query_1	['REAC:R-HSA-8943723']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
0	GO:CC	GO:0070578	RISC-loading complex	2.712958552193335e-15	True	"""A trimeric protein complex required for the formation of a mature RNA-induced silencing complex (RISC). In humans the complex is composed of the endonuclease Dicer (DICER1), TRBP (TARBP2) and the Argonaute protein Ago2 (EIF2C2/AGO2). Within the complex, Dicer and TRBP are required to process precursor miRNAs (pre-miRNAs) to mature miRNAs and then load them onto Ago2. Ago2 bound to the mature miRNA constitutes the minimal RISC and may subsequently dissociate from Dicer and TRBP. This complex has endoribonuclease activity."" [GOC:ab, GOC:BHF, GOC:nc, GOC:rph, PMID:18178619, PMID:19820710]"	9	95	8	16420	0.0842105263157894	0.8888888888888888	query_1	['GO:1902555']	['PRKRA', 'AGO4', 'ZFP36', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
3	GO:BP	GO:0045184	establishment of protein localization	2.775455108164581e-15	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1636	96	43	15719	0.4479166666666667	0.026283618581907	query_1	['GO:0008104', 'GO:0051234']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
