Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	1.9652402826865275e-54	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	279	100	48	15719	0.48	0.1720430107526881	query_1	['GO:0035556']	['SHARPIN', 'CARD11', 'TANK', 'AKT1', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
1	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	2.2237570887943088e-48	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	248	100	43	15719	0.43	0.1733870967741935	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'CARD11', 'TANK', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
2	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	1.0024673901155898e-39	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	187	100	35	15719	0.35	0.1871657754010695	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'CARD11', 'UBE2V1', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP1', 'CASP8', 'TAB3', 'BCL10', 'UBE2N']
0	REAC	REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	3.2826180170313824e-39	True	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	55	93	27	10022	0.2903225806451613	0.4909090909090909	query_1	['REAC:R-HSA-168249']	['UBE2V1', 'BCL2', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'NFKB1', 'PSTPIP1', 'NFKB2', 'IKBKG', 'TAB1', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'CASP1', 'CASP8', 'TAB3', 'UBE2N']
3	GO:BP	GO:0035556	intracellular signal transduction	2.07750802467456e-38	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	100	77	15719	0.77	0.0302554027504911	query_1	['GO:0007165']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'MCL1', 'IKBKE', 'RBX1', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'CUL1', 'FBXW7', 'BCL10', 'UBE2N', 'BAD']
1	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	3.889839734644239e-38	True	Toll Like Receptor 3 (TLR3) Cascade	100	93	31	10022	0.3333333333333333	0.31	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
3	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	8.019353957294974e-38	True	TRIF(TICAM1)-mediated TLR4 signaling 	104	93	31	10022	0.3333333333333333	0.2980769230769231	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
2	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	8.019353957294974e-38	True	MyD88-independent TLR4 cascade 	104	93	31	10022	0.3333333333333333	0.2980769230769231	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
4	GO:BP	GO:1902531	regulation of intracellular signal transduction	1.6063959251390096e-36	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1654	100	65	15719	0.65	0.0392986698911729	query_1	['GO:0009966', 'GO:0035556']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'TNIP2', 'BID', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD']
5	GO:BP	GO:0009607	response to biotic stimulus	8.466918651224791e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1463	100	60	15719	0.6	0.0410116199589883	query_1	['GO:0050896']	['SHARPIN', 'BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
