Classical Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	6.3645612325523805e-55	True	Integrin cell surface interactions	83	95	38	10022	0.4	0.4578313253012048	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'FN1', 'ITGAV', 'COL5A2', 'SPP1', 'ITGA11', 'ITGB3', 'COL2A1', 'COL8A2', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'COL4A2', 'COL1A2', 'TNC', 'COL4A4', 'JAM3', 'COL5A1', 'ITGAE', 'COL10A1', 'CDH1', 'COL1A1', 'VTN', 'VCAM1', 'ITGB6', 'COL4A5', 'COL4A1', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'ITGA2', 'COL4A6']
1	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	2.3541564442104756e-47	True	Extracellular matrix organization	284	95	48	10022	0.5052631578947369	0.1690140845070422	query_1	['REAC:0000000']	['P4HB', 'ITGB1', 'ITGA9', 'P4HA3', 'COL4A3', 'ITGB5', 'FN1', 'ITGAV', 'PDGFB', 'COL5A2', 'SPP1', 'ITGA11', 'ITGB3', 'TGFB3', 'P4HA2', 'COL2A1', 'COL8A2', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'COL4A2', 'COL1A2', 'TNC', 'COL4A4', 'JAM3', 'COL5A1', 'P4HA1', 'ITGAE', 'COL10A1', 'CDH1', 'COL1A1', 'ADAM12', 'VTN', 'VCAM1', 'ITGB6', 'COL4A5', 'COL4A1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'ITGA2', 'COL4A6']
2	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	4.4606891168872846e-41	True	Signaling by Receptor Tyrosine Kinases	495	95	52	10022	0.5473684210526316	0.105050505050505	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'PTPN2', 'ITGB1', 'COL4A3', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'COL5A2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'COL3A1', 'FYN', 'LYN', 'COL4A2', 'PDGFRB', 'COL1A2', 'NRP2', 'COL4A4', 'EGFR', 'COL5A1', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'VEGFA', 'SH3GL2', 'COL1A1', 'ADAM12', 'CRKL', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
0	GO:BP	GO:0007155	cell adhesion	8.129833718076088e-35	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	101	61	15719	0.6039603960396039	0.0432931156848828	query_1	['GO:0009987']	['P4HB', 'RAPGEF1', 'PTPN2', 'ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'COL8A2', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'COL5A1', 'ITGAE', 'VAV1', 'ERBB2', 'CDH1', 'VEGFA', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'ITGA2', 'PLXNA1', 'COL4A6']
1	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.3434184265575616e-32	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	101	27	15719	0.2673267326732673	0.2389380530973451	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'ITGAE', 'VAV1', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'ITGA2']
2	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.5076985028667688e-32	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	101	44	15719	0.4356435643564356	0.0727272727272727	query_1	['GO:0007167']	['PTP4A3', 'MET', 'RAPGEF1', 'PTPN2', 'COL4A3', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA1', 'ITGA5', 'FYN', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF', 'COL4A6']
3	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	8.732023135054352e-32	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	101	50	15719	0.495049504950495	0.0539374325782092	query_1	['GO:0007166']	['PTP4A3', 'MET', 'RAPGEF1', 'PTPN2', 'COL4A3', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'FYN', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF', 'COL4A6']
3	REAC	REAC:R-HSA-186797	Signaling by PDGF	1.0743697622897452e-31	True	Signaling by PDGF	53	95	23	10022	0.2421052631578947	0.4339622641509434	query_1	['REAC:R-HSA-9006934']	['RAPGEF1', 'COL4A3', 'PDGFB', 'COL5A2', 'BCAR1', 'SRC', 'SPP1', 'PIK3R1', 'CRK', 'COL2A1', 'SOS1', 'COL3A1', 'COL4A2', 'PDGFRB', 'COL4A4', 'COL5A1', 'PLCG1', 'CRKL', 'COL4A5', 'COL4A1', 'THBS1', 'PTPN11', 'PDGFRA']
4	REAC	REAC:R-HSA-3000171	Non-integrin membrane-ECM interactions	7.1202845715073705e-31	True	Non-integrin membrane-ECM interactions	57	95	23	10022	0.2421052631578947	0.4035087719298245	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'COL4A3', 'ITGB5', 'FN1', 'ITGAV', 'PDGFB', 'COL5A2', 'ITGB3', 'COL2A1', 'COL3A1', 'COL4A2', 'COL1A2', 'TNC', 'COL4A4', 'COL5A1', 'COL10A1', 'COL1A1', 'VTN', 'COL4A5', 'COL4A1', 'THBS1', 'ITGA2', 'COL4A6']
4	GO:BP	GO:0016477	cell migration	1.5614726438344634e-30	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	101	57	15719	0.5643564356435643	0.0399439383321653	query_1	['GO:0048870']	['PTP4A3', 'MET', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'COL5A1', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
