Progeroid syndrome, Petty type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007155	cell adhesion	3.6937801943390966e-27	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	96	53	15719	0.5520833333333334	0.0376153300212916	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYN', 'CHST10', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'ZDHHC2']
1	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.8334984191459224e-24	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	96	43	15719	0.4479166666666667	0.0463861920172599	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
2	GO:BP	GO:0016477	cell migration	4.015317013804767e-24	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	96	50	15719	0.5208333333333334	0.0350385423966363	query_1	['GO:0048870']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SIRPA', 'SH3KBP1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
3	GO:BP	GO:0048870	cell motility	7.174373861536374e-24	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	96	52	15719	0.5416666666666666	0.0323182100683654	query_1	['GO:0009987']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SIRPA', 'SH3KBP1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
4	GO:BP	GO:0007166	cell surface receptor signaling pathway	8.959710488025017e-23	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	96	62	15719	0.6458333333333334	0.023502653525398	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
0	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.0046994363947702e-21	True	Signaling by Receptor Tyrosine Kinases	495	94	37	10022	0.3936170212765957	0.0747474747474747	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'SHB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
5	GO:BP	GO:0030155	regulation of cell adhesion	1.3345288059111205e-21	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	96	37	15719	0.3854166666666667	0.049136786188579	query_1	['GO:0007155', 'GO:0050794']	['NCK1', 'ITGAV', 'FN1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'TGFBR2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'ZDHHC2']
6	GO:BP	GO:0098609	cell-cell adhesion	1.4204850064237853e-21	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	96	39	15719	0.40625	0.0446735395189003	query_1	['GO:0007155']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'SKAP1', 'SFTPD', 'NPHP4', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'NPHP1', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'LCK', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'ZDHHC2']
7	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.4425067990419125e-21	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	96	20	15719	0.2083333333333333	0.1769911504424778	query_1	['GO:0007166']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'FYB1', 'LAT', 'CD47', 'VAV1', 'SYK', 'PTK2B', 'TLN1', 'PTK2', 'ITGB6', 'PTPN11']
1	REAC	REAC:R-HSA-162582	Signal Transduction	2.9997307635685447e-21	True	Signal Transduction	2438	94	69	10022	0.7340425531914894	0.0283018867924528	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'WIPF1', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'WIPF2', 'FYN', 'WAS', 'PARD3', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
8	GO:BP	GO:0045785	positive regulation of cell adhesion	2.5668154815817684e-20	True	"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	466	96	30	15719	0.3125	0.0643776824034334	query_1	['GO:0007155', 'GO:0030155', 'GO:0048522']	['NCK1', 'ITGAV', 'FN1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'SKAP1', 'CRK', 'TGFBR2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2']
0	GO:CC	GO:0070161	anchoring junction	3.617426666765747e-20	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	98	37	16420	0.3775510204081632	0.0432748538011695	query_1	['GO:0030054']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'NPHP4', 'ITK', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'CBL']
9	GO:BP	GO:0071363	cellular response to growth factor stimulus	9.690905336686692e-20	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	96	33	15719	0.34375	0.0517241379310344	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'LATS1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
