Vogt-Koyanagi-Harada disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	2.5170727589665586e-63	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	279	101	53	15719	0.5247524752475248	0.1899641577060931	query_1	['GO:0035556']	['SHARPIN', 'CARD11', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N', 'TNFAIP3']
1	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	3.7854546309764456e-57	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	248	101	48	15719	0.4752475247524752	0.1935483870967742	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'CARD11', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N', 'TNFAIP3']
0	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1.2695853660205837e-51	True	Toll Like Receptor 4 (TLR4) Cascade	140	96	42	10022	0.4375	0.3	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
1	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	1.6996330805414533e-50	True	MyD88-independent TLR4 cascade 	104	96	38	10022	0.3958333333333333	0.3653846153846153	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
2	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	1.6996330805414533e-50	True	TRIF(TICAM1)-mediated TLR4 signaling 	104	96	38	10022	0.3958333333333333	0.3653846153846153	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
2	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	2.3349375681637484e-50	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	187	101	41	15719	0.4059405940594059	0.2192513368983957	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'CARD11', 'MYD88', 'UBE2V1', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'BCL10', 'UBE2N']
3	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	3.631665957584809e-49	True	Toll-like Receptor Cascades	162	96	42	10022	0.4375	0.2592592592592592	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'TANK', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
4	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	1.4059131951321694e-45	True	Toll Like Receptor 3 (TLR3) Cascade	100	96	35	10022	0.3645833333333333	0.35	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'UBE2N']
5	REAC	REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	5.298505740303616e-42	True	MyD88 dependent cascade initiated on endosome	99	96	33	10022	0.34375	0.3333333333333333	query_1	['REAC:R-HSA-168138', 'REAC:R-HSA-168181']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
6	REAC	REAC:R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	6.736725195034196e-42	True	Toll Like Receptor 7/8 (TLR7/8) Cascade	100	96	33	10022	0.34375	0.33	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
