Autosomal recessive cutis laxa type 2, classic type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0036258	multivesicular body assembly	1.282382171540962e-36	True	"""The aggregation, arrangement and bonding together of a set of components to form a multivesicular body, a type of late endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm."" [GOC:sart, PMID:11566881, PMID:19571114]"	32	97	21	15719	0.2164948453608247	0.65625	query_1	['GO:0036257', 'GO:0070925']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
1	GO:BP	GO:0036257	multivesicular body organization	1.7551222291348492e-36	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a multivesicular body. A multivesicular body is a type of late endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm."" [GOC:sart, PMID:11566881]"	33	97	21	15719	0.2164948453608247	0.6363636363636364	query_1	['GO:0007032']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
2	GO:BP	GO:0007032	endosome organization	6.550721336861535e-34	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of endosomes."" [GOC:dph, GOC:jl, GOC:mah]"	94	97	26	15719	0.268041237113402	0.2765957446808511	query_1	['GO:0010256', 'GO:0016050']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'ATP6V1A', 'CHMP4C', 'ATP6AP1', 'ATP6V0C']
3	GO:BP	GO:0045324	late endosome to vacuole transport	7.830006117622449e-33	True	"""The directed movement of substances from late endosomes to the vacuole. In yeast, after transport to the prevacuolar compartment, endocytic content is delivered to the late endosome and on to the vacuole. This pathway is analogous to endosome to lysosome transport."" [PMID:11872141]"	37	97	20	15719	0.2061855670103092	0.5405405405405406	query_1	['GO:0007034', 'GO:0016192']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
4	GO:BP	GO:0032509	endosome transport via multivesicular body sorting pathway	1.0402253856131758e-31	True	"""The directed movement of substances from endosomes to lysosomes or vacuoles by a pathway in which molecules are sorted into multivesicular bodies, which then fuse with the target compartment."" [GOC:mah, PMID:12461556, PMID:16689637]"	41	97	20	15719	0.2061855670103092	0.4878048780487805	query_1	['GO:0016197', 'GO:0071985']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
5	GO:BP	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	2.6924460979771643e-31	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide covalently tagged with ubiquitin, via the multivesicular body (MVB) sorting pathway; ubiquitin-tagged proteins are sorted into MVBs, and delivered to a lysosome/vacuole for degradation."" [GOC:jl, PMID:11511343]"	35	97	19	15719	0.1958762886597938	0.5428571428571428	query_1	['GO:0006511']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
6	GO:BP	GO:0090148	membrane fission	4.7940331424660485e-31	True	"""A process that is carried out at the cellular level which results in the separation of a single continuous membrane into two membranes."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	44	97	20	15719	0.2061855670103092	0.4545454545454545	query_1	['GO:0061024']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C', 'SPAST']
7	GO:BP	GO:0071985	multivesicular body sorting pathway	3.912363676521098e-30	True	"""A vesicle-mediated transport process in which transmembrane proteins are ubiquitylated to facilitate their entry into luminal vesicles of multivesicular bodies (MVBs); upon subsequent fusion of MVBs with lysosomes or vacuoles, the cargo proteins are degraded."" [GOC:mah, PMID:17603537]"	48	97	20	15719	0.2061855670103092	0.4166666666666667	query_1	['GO:0016192']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
8	GO:BP	GO:0046755	viral budding	5.5656925967963095e-30	True	"""A viral process by which enveloped viruses acquire a host-derived membrane enriched in viral proteins to form their external envelope. The process starts when nucleocapsids, assembled or in the process of being built, induce formation of a membrane curvature in the host plasma or organelle membrane and wrap up in the forming bud. The process ends when the bud is eventually pinched off by membrane scission to release the enveloped particle into the lumenal or extracellular space."" [ISBN:0781718325, VZ:1947]"	26	97	17	15719	0.1752577319587628	0.6538461538461539	query_1	['GO:0016032', 'GO:0019068']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
9	GO:BP	GO:0039702	viral budding via host ESCRT complex	2.35212434062862e-29	True	"""Viral budding which uses a host ESCRT protein complex, or complexes, to mediate the budding process."" [UniProtKB-KW:KW-1187, VZ:1536]"	22	97	16	15719	0.1649484536082474	0.7272727272727273	query_1	['GO:0046755']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
