Autosomal recessive cerebellar ataxia due to STUB1 deficiency	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-8853659	RET signaling	3.0062790442923073e-16	True	RET signaling	38	77	13	10022	0.1688311688311688	0.3421052631578947	query_1	['REAC:R-HSA-422475']	['PIK3R1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PRKACB', 'GFRA3', 'PRKACG', 'PLCG1', 'PRKACA', 'GAB2', 'SHC3', 'ARTN']
1	REAC	REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	7.702485463719031e-15	True	Signaling by EGFRvIII in Cancer	13	77	9	10022	0.1168831168831168	0.6923076923076923	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL', 'CDC37']
2	REAC	REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	7.702485463719031e-15	True	Constitutive Signaling by EGFRvIII	13	77	9	10022	0.1168831168831168	0.6923076923076923	query_1	['REAC:R-HSA-5637812']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL', 'CDC37']
3	REAC	REAC:R-HSA-9665348	Signaling by ERBB2 ECD mutants	1.6076344377687455e-14	True	Signaling by ERBB2 ECD mutants	14	77	9	10022	0.1168831168831168	0.6428571428571429	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2', 'CDC37']
0	GO:CC	GO:0005829	cytosol	7.922355502642113e-14	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5250	98	71	16420	0.7244897959183674	0.0135238095238095	query_1	['GO:0005737', 'GO:0110165']	['UBE2I', 'STIP1', 'HSPA1A', 'LRRK2', 'AKAP5', 'DPP3', 'PIK3R1', 'HSP90AB1', 'HSPH1', 'CDK5RAP2', 'PRKAR1B', 'PTPN23', 'PRKAR1A', 'PRKAR2B', 'SHC1', 'OSBPL11', 'STUB1', 'RNF128', 'CLINT1', 'DNAJA2', 'PPAT', 'FKBP5', 'SOS1', 'GAB1', 'UBE2G1', 'UBE2D3', 'PIR', 'PRKACB', 'CEP68', 'AKAP11', 'ANXA11', 'ENDOG', 'SH3D19', 'GFRA3', 'GRB2', 'HSPB8', 'FTL', 'AKAP10', 'PRKACG', 'PRKAR2A', 'DNAJA4', 'HSP90AA1', 'OTUB1', 'FTH1', 'PLCG1', 'PUM1', 'USP8', 'AKAP9', 'ERBB2', 'OSBPL9', 'UBE2D2', 'ESR1', 'PRKACA', 'GAB2', 'SHC3', 'GTF2IRD1', 'SIRT5', 'DNAJA1', 'HSPA8', 'PTGES3', 'UBL7', 'DNAJC7', 'BAG3', 'HELZ', 'ECHDC1', 'CBL', 'PDCD6', 'UBE2N', 'AKAP1', 'GRAP2', 'CDC37']
4	REAC	REAC:R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	1.277696868112023e-13	True	Signaling by Ligand-Responsive EGFR Variants in Cancer	17	77	9	10022	0.1168831168831168	0.5294117647058824	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL', 'CDC37']
5	REAC	REAC:R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	1.277696868112023e-13	True	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	17	77	9	10022	0.1168831168831168	0.5294117647058824	query_1	['REAC:R-HSA-5637815']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL', 'CDC37']
6	REAC	REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	7.428688957400856e-13	True	Signaling by ERBB2 KD Mutants	20	77	9	10022	0.1168831168831168	0.45	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2', 'CDC37']
7	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	1.1305632632856241e-12	True	Signaling by ERBB2 in Cancer	21	77	9	10022	0.1168831168831168	0.4285714285714285	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2', 'CDC37']
8	REAC	REAC:R-HSA-1227986	Signaling by ERBB2	1.3812257785289493e-12	True	Signaling by ERBB2	45	77	11	10022	0.1428571428571428	0.2444444444444444	query_1	['REAC:R-HSA-9006934']	['PIK3R1', 'SHC1', 'STUB1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'USP8', 'ERBB2', 'CDC37']
