Pseudoxanthoma elasticum	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0016192	vesicle-mediated transport	1.0742155665115458e-64	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1517	102	84	15719	0.8235294117647058	0.055372445616348	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'AP1AR', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'REPS2', 'SH3BP1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'IGF2R', 'SYT9', 'ENPP1', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'TXLNA', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'NSF', 'NUMB', 'STON2', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
0	GO:CC	GO:0030133	transport vesicle	9.402814080337428e-57	True	"""Any of the vesicles of the constitutive secretory pathway, which carry cargo from the endoplasmic reticulum to the Golgi, between Golgi cisternae, from the Golgi to the ER (retrograde transport) or to destinations within or outside the cell."" [GOC:mah, PMID:22160157]"	417	102	54	16420	0.5294117647058824	0.1294964028776978	query_1	['GO:0012505', 'GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'SYT1', 'PLIN3', 'PICALM', 'M6PR', 'CLTC', 'GOSR2', 'VAMP2', 'STX7', 'RABEPK', 'AP1AR', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'STX1B', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'LGI3', 'SNAP47', 'AFTPH', 'STON2', 'STX16', 'FURIN', 'RAB3A', 'STX5']
0	REAC	REAC:R-HSA-199991	Membrane Trafficking	4.994608645790499e-54	True	Membrane Trafficking	617	86	62	10022	0.7209302325581395	0.1004862236628849	query_1	['REAC:R-HSA-5653656']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'AP2M1', 'RABEPK', 'AP2B1', 'EPN1', 'STX6', 'VPS54', 'REPS2', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'AP2A2', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'EPS15', 'EGFR', 'DNM2', 'AP2A1', 'STX4', 'GCC2', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'NSF', 'STON2', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
1	GO:CC	GO:0031410	cytoplasmic vesicle	7.069988882341657e-54	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2393	102	86	16420	0.8431372549019608	0.0359381529460927	query_1	['GO:0005737', 'GO:0097708']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'AP1AR', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'AFTPH', 'NUMB', 'STON2', 'A1BG', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'RAB3A', 'STX5']
2	GO:CC	GO:0097708	intracellular vesicle	7.069988882341657e-54	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2395	102	86	16420	0.8431372549019608	0.0359081419624217	query_1	['GO:0031982', 'GO:0043231']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'AP1AR', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'AFTPH', 'NUMB', 'STON2', 'A1BG', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'RAB3A', 'STX5']
1	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	1.9903385472135295e-52	True	Vesicle-mediated transport	661	86	62	10022	0.7209302325581395	0.0937972768532526	query_1	['REAC:0000000']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'AP2M1', 'RABEPK', 'AP2B1', 'EPN1', 'STX6', 'VPS54', 'REPS2', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'AP2A2', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'EPS15', 'EGFR', 'DNM2', 'AP2A1', 'STX4', 'GCC2', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'NSF', 'STON2', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
3	GO:CC	GO:0012506	vesicle membrane	2.572325846568783e-51	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1176	102	68	16420	0.6666666666666666	0.0578231292517006	query_1	['GO:0031090', 'GO:0031982']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT2', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'STX1A', 'EPN1', 'STX6', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'DNM2', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'NUMB', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
4	GO:CC	GO:0031201	SNARE complex	5.726960865623335e-51	True	"""A protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers. One well-characterized example is the neuronal SNARE complex formed of synaptobrevin 2, syntaxin 1a, and SNAP-25."" [GOC:bhm, GOC:pr, PMID:10872468, PMID:19450911]"	50	102	29	16420	0.284313725490196	0.58	query_1	['GO:0005737', 'GO:0098796']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'STX5']
5	GO:CC	GO:0030659	cytoplasmic vesicle membrane	1.6453563239592977e-50	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1158	102	67	16420	0.6568627450980392	0.0578583765112262	query_1	['GO:0012506', 'GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT2', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'STX1A', 'EPN1', 'STX6', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'DNM2', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'NUMB', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
6	GO:CC	GO:0030135	coated vesicle	8.655671350384438e-50	True	"""Small membrane-bounded organelle formed by pinching off of a coated region of membrane. Some coats are made of clathrin, whereas others are made from other proteins."" [ISBN:0815316194]"	300	102	45	16420	0.4411764705882353	0.15	query_1	['GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT2', 'SYT1', 'PICALM', 'M6PR', 'CLTC', 'GOSR2', 'VAMP2', 'AP2M1', 'AP2B1', 'EPN1', 'STX6', 'PACS1', 'SLC17A7', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'EGFR', 'DNM2', 'AP2A1', 'IGF2R', 'SYT9', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'AFTPH', 'NUMB', 'STON2', 'VAMP8', 'FURIN', 'RAB3A', 'STX5']
