ALG8-CDG	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0072562	blood microparticle	1.2339153090641344e-41	True	"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]"	116	97	31	16420	0.3195876288659793	0.2672413793103448	query_1	['GO:0005615', 'GO:0110165']	['C3', 'FN1', 'HBB', 'FGA', 'FCN2', 'FCN3', 'TFRC', 'APOE', 'ITGA2B', 'A2M', 'CFH', 'C4A', 'APOA1', 'F2', 'TF', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'SERPINC1', 'CFB', 'C4BPA', 'VTN', 'KNG1', 'A1BG', 'ALB', 'HPX', 'ORM1']
0	REAC	REAC:R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	9.330091844969075e-29	True	Formation of Fibrin Clot (Clotting Cascade)	39	95	20	10022	0.2105263157894736	0.5128205128205128	query_1	['REAC:R-HSA-109582']	['F12', 'GP1BB', 'FGA', 'VWF', 'GP1BA', 'GP9', 'F11', 'A2M', 'SERPIND1', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'GP5', 'KNG1', 'C1QBP', 'PRCP']
1	REAC	REAC:R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	1.642959247688969e-28	True	Intrinsic Pathway of Fibrin Clot Formation	23	95	17	10022	0.1789473684210526	0.7391304347826086	query_1	['REAC:R-HSA-140877']	['F12', 'GP1BB', 'VWF', 'GP1BA', 'GP9', 'F11', 'A2M', 'SERPIND1', 'F2', 'F9', 'KLKB1', 'PROS1', 'SERPINC1', 'GP5', 'KNG1', 'C1QBP', 'PRCP']
1	GO:CC	GO:0005615	extracellular space	1.6505852036986236e-28	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	97	70	16420	0.7216494845360825	0.0229960578186596	query_1	['GO:0005576', 'GO:0110165']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FCN2', 'GP1BA', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'ITGA2B', 'ANKFY1', 'HFE', 'COLEC10', 'CRP', 'A2M', 'INHBE', 'INHBC', 'CFHR4', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'GP5', 'APOC2', 'FCN1', 'KNG1', 'TLN1', 'C1QBP', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
2	REAC	REAC:R-HSA-166658	Complement cascade	4.83088755099272e-28	True	Complement cascade	61	95	22	10022	0.231578947368421	0.360655737704918	query_1	['REAC:R-HSA-168249']	['MASP1', 'C3', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'CRP', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'PROS1', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'VTN', 'FCN1']
0	GO:BP	GO:0006956	complement activation	1.3130486680586788e-27	True	"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	68	96	21	15719	0.21875	0.3088235294117647	query_1	['GO:0002252', 'GO:0002253', 'GO:0006959']	['MASP1', 'C3', 'MASP2', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'A2M', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'FCN1', 'C1QBP']
3	GO:BP	GO:0007596	blood coagulation	5.267281007538918e-25	True	"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [http://www.graylab.ac.uk/omd/, ISBN:0198506732]"	221	96	27	15719	0.28125	0.1221719457013574	query_1	['GO:0007599', 'GO:0042060', 'GO:0050817']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1']
1	GO:BP	GO:0050817	coagulation	5.267281007538918e-25	True	"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]"	225	96	27	15719	0.28125	0.12	query_1	['GO:0032501']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1']
2	GO:BP	GO:0042060	wound healing	5.267281007538918e-25	True	"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]"	424	96	33	15719	0.34375	0.0778301886792452	query_1	['GO:0009611']	['F12', 'GP1BB', 'ITGB1', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'ITGA5', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'PTK2', 'ITGB6', 'PRCP']
4	GO:BP	GO:0007599	hemostasis	5.385121282544685e-25	True	"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]"	227	96	27	15719	0.28125	0.118942731277533	query_1	['GO:0050878']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1']
