Waardenburg-Shah syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0016477	cell migration	1.0434878022850983e-40	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	104	67	15719	0.6442307692307693	0.0469516468114926	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'SOX10', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TUBB2A', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
1	GO:BP	GO:0048870	cell motility	1.2191326038436477e-37	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	104	67	15719	0.6442307692307693	0.0416407706650093	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'SOX10', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TUBB2A', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
2	GO:BP	GO:0007155	cell adhesion	6.954310115240118e-32	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	104	59	15719	0.5673076923076923	0.041873669268985	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'TFE3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'ITGAE', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
3	GO:BP	GO:0040011	locomotion	6.954310115240118e-32	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	104	57	15719	0.5480769230769231	0.0443579766536965	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'EDN2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VTN', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
4	GO:BP	GO:0007229	integrin-mediated signaling pathway	9.578989367941394e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	104	26	15719	0.25	0.2300884955752212	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11']
5	GO:BP	GO:0007166	cell surface receptor signaling pathway	9.815399712224026e-30	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	104	72	15719	0.6923076923076923	0.0272934040940106	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'SOX10', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'ITGAE', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'ECE1', 'ADAM12', 'CRKL', 'EDNRB', 'VTN', 'TLN1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
6	GO:BP	GO:0030335	positive regulation of cell migration	1.3230972481678026e-28	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	104	39	15719	0.375	0.0758754863813229	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
7	GO:BP	GO:2000147	positive regulation of cell motility	4.650134237369513e-28	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	104	39	15719	0.375	0.073170731707317	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
8	GO:BP	GO:0040017	positive regulation of locomotion	1.2786245200953449e-27	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	104	39	15719	0.375	0.0710382513661202	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
9	GO:BP	GO:0030334	regulation of cell migration	1.5253380806198484e-27	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	104	46	15719	0.4423076923076923	0.0519187358916478	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
