Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:1990234	transferase complex	8.046831255616909e-19	True	"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]"	854	100	36	16420	0.36	0.0421545667447306	query_1	['GO:1902494']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'DERL2', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'RPN2', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3', 'NAA35']
1	GO:CC	GO:0140534	endoplasmic reticulum protein-containing complex	6.333561365248149e-18	True	"""A protein complex that is part of an endoplasmic reticulum."" [GOC:pg]"	125	100	18	16420	0.18	0.144	query_1	['GO:0005783', 'GO:0032991']	['SELENOS', 'SYVN1', 'STT3B', 'DAD1', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'DERL1', 'DDOST', 'RPN1', 'HSP90B1', 'SEL1L', 'STT3A', 'FAF2', 'MAGT1', 'RPN2', 'TUSC3']
0	GO:BP	GO:0019941	modification-dependent protein catabolic process	9.955914940370149e-18	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	99	33	15719	0.3333333333333333	0.0492537313432835	query_1	['GO:0043632', 'GO:0051603']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
1	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	9.955914940370149e-18	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]"	682	99	33	15719	0.3333333333333333	0.0483870967741935	query_1	['GO:0009057']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
2	GO:BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1.0920497361228221e-17	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:go_curators]"	445	99	28	15719	0.2828282828282828	0.0629213483146067	query_1	['GO:0006511', 'GO:0010498']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'SKP1', 'SEL1L', 'SHH', 'FAF2', 'ERLEC1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
3	GO:BP	GO:0006511	ubiquitin-dependent protein catabolic process	2.1296927964689197e-17	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]"	660	99	32	15719	0.3232323232323232	0.0484848484848484	query_1	['GO:0019941']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
2	GO:CC	GO:0000151	ubiquitin ligase complex	6.847400396735651e-17	True	"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"	309	100	23	16420	0.23	0.0744336569579288	query_1	['GO:0140535', 'GO:1990234']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'DERL2', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'SKP1', 'SEL1L', 'ELOC', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
4	GO:BP	GO:0051603	proteolysis involved in protein catabolic process	1.1969531091877068e-16	True	"""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]"	762	99	33	15719	0.3333333333333333	0.0433070866141732	query_1	['GO:0006508', 'GO:0030163']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
3	GO:CC	GO:0140535	intracellular protein-containing complex	1.2478844992238334e-16	True	"""A protein-containing complex located intracellularly."" [GOC:pg]"	904	100	34	16420	0.34	0.0376106194690265	query_1	['GO:0032991']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'LMO7', 'DERL2', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'CSDE1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'ARNT', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'NAA35']
1	REAC	REAC:R-HSA-597592	Post-translational protein modification	1.8662448568880812e-16	True	Post-translational protein modification	1337	83	45	10022	0.5421686746987951	0.0336574420344053	query_1	['REAC:R-HSA-392499']	['CUL3', 'RXRA', 'PNPLA2', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'ARF1', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'ELOB', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3']
