Cockayne syndrome type 3	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	2.511911419390487e-71	True	Mitotic G1 phase and G1/S transition	147	99	53	10022	0.5353535353535354	0.3605442176870748	query_1	['REAC:R-HSA-69278']	['MCM6', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CDKN2D', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
1	REAC	REAC:R-HSA-69206	G1/S Transition	1.477093748848575e-58	True	G1/S Transition	130	99	45	10022	0.4545454545454545	0.3461538461538461	query_1	['REAC:R-HSA-453279']	['MCM6', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDK2', 'ORC1', 'MCM2', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'ORC4', 'CCND1', 'ORC2']
0	GO:CC	GO:0005654	nucleoplasm	7.632732535644088e-51	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	102	97	16420	0.9509803921568628	0.0242621310655327	query_1	['GO:0031981', 'GO:0110165']	['CUL3', 'PKMYT1', 'MCM6', 'CDC25B', 'BMI1', 'AKT1', 'CUL4B', 'MYC', 'DDB2', 'CREBBP', 'CKS1B', 'GMNN', 'CDK5', 'EHMT2', 'MCM7', 'CBX3', 'E2F4', 'VCP', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'DDB1', 'CDT1', 'RBX1', 'CDKN2D', 'PCGF6', 'UBD', 'CDC6', 'BTRC', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'USP24', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'NEDD8', 'SMAD4', 'E2F6', 'ORC3', 'EP300', 'UFD1', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MCM4', 'MNAT1', 'CDK1', 'CAND1', 'CDKN2A', 'CDK2', 'ORC1', 'SP1', 'MCM2', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'ERCC8', 'FOXO1', 'COPS5', 'CCND3', 'SKP2', 'L3MBTL2', 'NPLOC4', 'CDK4', 'RNF2', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CUL4A', 'NUB1', 'CDK6', 'ORC4', 'CCND1', 'ORC2', 'PHC3']
2	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	5.936974648598524e-49	True	Cyclin D associated events in G1	46	99	30	10022	0.303030303030303	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2A', 'CDKN2C', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
3	REAC	REAC:R-HSA-69236	G1 Phase	5.936974648598524e-49	True	G1 Phase	46	99	30	10022	0.303030303030303	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2A', 'CDKN2C', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
4	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	5.936974648598524e-49	True	Cell Cycle, Mitotic	546	99	60	10022	0.6060606060606061	0.1098901098901098	query_1	['REAC:R-HSA-1640170']	['PKMYT1', 'MCM6', 'CDKN2B', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CCNB2', 'RBX1', 'CDKN2D', 'CDC6', 'BTRC', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'EP300', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
5	REAC	REAC:R-HSA-69242	S Phase	1.521709034880223e-48	True	S Phase	162	99	42	10022	0.4242424242424242	0.2592592592592592	query_1	['REAC:R-HSA-69278']	['MCM6', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDT1', 'RBX1', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'CCNH', 'SKP1', 'ORC3', 'E2F1', 'MCM4', 'MNAT1', 'CDK2', 'ORC1', 'MCM2', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'ORC4', 'CCND1', 'ORC2']
1	GO:CC	GO:0031981	nuclear lumen	1.3072351633906775e-47	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	102	97	16420	0.9509803921568628	0.0222988505747126	query_1	['GO:0005634', 'GO:0070013']	['CUL3', 'PKMYT1', 'MCM6', 'CDC25B', 'BMI1', 'AKT1', 'CUL4B', 'MYC', 'DDB2', 'CREBBP', 'CKS1B', 'GMNN', 'CDK5', 'EHMT2', 'MCM7', 'CBX3', 'E2F4', 'VCP', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'DDB1', 'CDT1', 'RBX1', 'CDKN2D', 'PCGF6', 'UBD', 'CDC6', 'BTRC', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'USP24', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'NEDD8', 'SMAD4', 'E2F6', 'ORC3', 'EP300', 'UFD1', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MCM4', 'MNAT1', 'CDK1', 'CAND1', 'CDKN2A', 'CDK2', 'ORC1', 'SP1', 'MCM2', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'ERCC8', 'FOXO1', 'COPS5', 'CCND3', 'SKP2', 'L3MBTL2', 'NPLOC4', 'CDK4', 'RNF2', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CUL4A', 'NUB1', 'CDK6', 'ORC4', 'CCND1', 'ORC2', 'PHC3']
6	REAC	REAC:R-HSA-1640170	Cell Cycle	1.7881906543024322e-43	True	Cell Cycle	676	99	60	10022	0.6060606060606061	0.0887573964497041	query_1	['REAC:0000000']	['PKMYT1', 'MCM6', 'CDKN2B', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CCNB2', 'RBX1', 'CDKN2D', 'CDC6', 'BTRC', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'EP300', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
0	GO:BP	GO:0044772	mitotic cell cycle phase transition	2.558595537158814e-42	True	"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]"	448	101	47	15719	0.4653465346534653	0.1049107142857142	query_1	['GO:0044770', 'GO:1903047']	['CUL3', 'PKMYT1', 'CDKN2B', 'CDC25B', 'AKT1', 'CUL4B', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'DDB1', 'CDT1', 'CCNB2', 'CDKN2D', 'UBD', 'CDC6', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CUL4A', 'CDK6', 'CCND1']
