Autosomal dominant cutis laxa	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	4.4405744431069084e-41	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	102	58	15719	0.5686274509803921	0.0625674217907227	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
1	GO:BP	GO:0016477	cell migration	1.510724289444557e-40	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	102	66	15719	0.6470588235294118	0.0462508759635599	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
2	GO:BP	GO:0007155	cell adhesion	8.482107459672452e-40	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	102	65	15719	0.6372549019607843	0.0461320085166784	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'TNC', 'TGFB1', 'NRP2', 'FBLN2', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'PLXNA1', 'MFAP4']
3	GO:BP	GO:0071363	cellular response to growth factor stimulus	2.096027928717092e-39	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	102	50	15719	0.4901960784313725	0.0783699059561128	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
4	GO:BP	GO:0070848	response to growth factor	1.532244355632357e-38	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	102	50	15719	0.4901960784313725	0.0749625187406296	query_1	['GO:0009719']	['RAPGEF1', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
0	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	3.453966735714379e-38	True	Extracellular matrix organization	284	99	43	10022	0.4343434343434343	0.1514084507042253	query_1	['REAC:0000000']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'TGFB3', 'LRP4', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'FBLN5', 'TNC', 'MFAP3', 'FBLN2', 'LOXL1', 'JAM3', 'FBN1', 'ITGAE', 'KDR', 'FBN2', 'MUSK', 'CDH1', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'VTN', 'VCAM1', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'MFAP4']
5	GO:BP	GO:0048870	cell motility	1.0511945569410218e-37	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	102	66	15719	0.6470588235294118	0.041019266625233	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.431479655670514e-37	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	102	78	15719	0.7647058823529411	0.0295678544351781	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
7	GO:BP	GO:0040011	locomotion	3.4368790483581506e-35	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	102	59	15719	0.5784313725490197	0.0459143968871595	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
8	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4.789264599627742e-34	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	102	45	15719	0.4411764705882353	0.0743801652892562	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
