Williams syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	3.84272166600061e-36	True	Extracellular matrix organization	284	108	43	10022	0.3981481481481481	0.1514084507042253	query_1	['REAC:0000000']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'TGFB3', 'LRP4', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'FBLN5', 'TNC', 'MFAP3', 'FBLN2', 'LOXL1', 'JAM3', 'FBN1', 'ITGAE', 'KDR', 'FBN2', 'MUSK', 'CDH1', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'VTN', 'VCAM1', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'MFAP4']
0	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	6.033394740888938e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	118	46	15719	0.3898305084745763	0.0760330578512396	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'NCF1', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
1	GO:BP	GO:0007155	cell adhesion	6.885891092185449e-31	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	118	62	15719	0.5254237288135594	0.0440028388928318	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'RET', 'SHC1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'TNC', 'NRP2', 'FBLN2', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1', 'MFAP4']
2	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	6.885891092185449e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	118	53	15719	0.4491525423728814	0.0571736785329018	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'LTBP1', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'NCF1', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
1	REAC	REAC:R-HSA-1566948	Elastic fibre formation	1.4898640779669313e-30	True	Elastic fibre formation	43	108	22	10022	0.2037037037037037	0.5116279069767442	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'LOX', 'ITGA5', 'FBLN5', 'MFAP3', 'FBLN2', 'LOXL1', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'EMILIN1', 'ELN', 'MFAP4']
2	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.0160396392838565e-29	True	Signaling by Receptor Tyrosine Kinases	495	108	46	10022	0.4259259259259259	0.0929292929292929	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'GAB1', 'PXN', 'FYN', 'MEMO1', 'NCF1', 'LYN', 'NRP2', 'EGFR', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'SH3GL2', 'ADAM12', 'CRKL', 'GAB2', 'SHC3', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'GRAP2']
3	GO:BP	GO:0007160	cell-matrix adhesion	1.1003534841166559e-29	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	118	32	15719	0.2711864406779661	0.1454545454545454	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'FBLN5', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
4	GO:BP	GO:0007229	integrin-mediated signaling pathway	3.486513784522298e-29	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	118	26	15719	0.2203389830508474	0.2300884955752212	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11']
5	GO:BP	GO:0016477	cell migration	7.563019679012473e-29	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	118	60	15719	0.5084745762711864	0.0420462508759635	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'MIIP', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
6	GO:BP	GO:0007166	cell surface receptor signaling pathway	2.734030250221112e-28	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	118	76	15719	0.6440677966101694	0.0288097043214556	query_1	['GO:0007165']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'GAB1', 'LOX', 'STX1A', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'NCF1', 'LAT', 'BCL7B', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
