Cerebrotendinous xanthomatosis	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0072562	blood microparticle	2.0821521419675599e-53	True	"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]"	116	99	37	16420	0.3737373737373737	0.3189655172413793	query_1	['GO:0005615', 'GO:0110165']	['C3', 'FN1', 'HBB', 'FGA', 'SERPINA3', 'FCN2', 'HBD', 'FCN3', 'TFRC', 'APOE', 'ITGA2B', 'ITIH2', 'CFH', 'C4A', 'APOA1', 'F2', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'APOA4', 'SERPINC1', 'CFB', 'CFHR1', 'C4BPA', 'VTN', 'C9', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1', 'HPR']
0	REAC	REAC:R-HSA-166658	Complement cascade	3.0204800233872576e-39	True	Complement cascade	61	97	28	10022	0.2886597938144329	0.4590163934426229	query_1	['REAC:R-HSA-168249']	['MASP1', 'C3', 'CR1', 'FCN2', 'ELANE', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CRP', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'PROS1', 'C4B_2', 'CFI', 'CFB', 'CFHR1', 'C2', 'MBL2', 'C4BPA', 'VTN', 'FCN1', 'C9', 'C5']
1	GO:CC	GO:0005615	extracellular space	8.239740675358643e-38	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	99	79	16420	0.797979797979798	0.0259526938239159	query_1	['GO:0005576', 'GO:0110165']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'INHA', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'HBD', 'ELANE', 'GP1BA', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'CFP', 'ITGA2B', 'HFE', 'COLEC10', 'CRP', 'INHBE', 'PRDX4', 'INHBC', 'CFHR4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'APOC2', 'FCN1', 'TLN1', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
0	GO:BP	GO:0006956	complement activation	1.9171553123995603e-33	True	"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	68	98	24	15719	0.2448979591836734	0.3529411764705882	query_1	['GO:0002252', 'GO:0002253', 'GO:0006959']	['MASP1', 'C3', 'MASP2', 'CR1', 'FCN2', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'C4B_2', 'CFI', 'CFB', 'CFHR1', 'C2', 'MBL2', 'C4BPA', 'FCN1', 'C9', 'C5']
2	GO:CC	GO:0005576	extracellular region	2.2724821138638643e-33	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	3767	99	81	16420	0.8181818181818182	0.0215025219007167	query_1	['GO:0110165']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'INHA', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'HBD', 'ELANE', 'GP1BA', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'CFP', 'ITGA2B', 'HFE', 'COLEC10', 'CRP', 'NELL2', 'INHBE', 'PRDX4', 'INHBC', 'CFHR4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'APOC2', 'FCN1', 'TLN1', 'PLAUR', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
1	GO:BP	GO:0006959	humoral immune response	3.5401476922727205e-29	True	"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]"	248	98	31	15719	0.3163265306122449	0.125	query_1	['GO:0006955']	['MASP1', 'C3', 'MASP2', 'CR1', 'FGA', 'FCN2', 'ELANE', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'TF', 'FGB', 'C4B_2', 'CFI', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'FCN1', 'C9', 'C5', 'HPX']
3	GO:CC	GO:0070062	extracellular exosome	4.105568043338452e-27	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2021	99	59	16420	0.5959595959595959	0.0291934685799109	query_1	['GO:0005615', 'GO:1903561']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'FCN2', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'PRDX4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'C2', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
4	GO:CC	GO:0065010	extracellular membrane-bounded organelle	4.454617350099121e-27	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2045	99	59	16420	0.5959595959595959	0.0288508557457212	query_1	['GO:0043227', 'GO:0043230']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'FCN2', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'PRDX4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'C2', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
5	GO:CC	GO:0043230	extracellular organelle	4.454617350099121e-27	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2045	99	59	16420	0.5959595959595959	0.0288508557457212	query_1	['GO:0005576', 'GO:0043226']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'FCN2', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'PRDX4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'C2', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
6	GO:CC	GO:1903561	extracellular vesicle	4.454617350099121e-27	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2044	99	59	16420	0.5959595959595959	0.0288649706457925	query_1	['GO:0031982', 'GO:0065010']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'FCN2', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'PRDX4', 'ITIH2', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'ORM2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'C2', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
