Cluster,List of physio aging genes,Nb genes cluster,Nb genes in physio aging list,p-value,Corrected p-value,Background,Nb genes intersection,Intersection,Seeds
cluster_3,GenAge,281,107,1.393445660056819e-11,1.5327902260625008e-10,17582,16,"{'AKT1', 'PML', 'BRCA1', 'NCOR2', 'TP53', 'CDK7', 'CDKN2B', 'TFDP1', 'CDKN1A', 'SIRT1', 'FOXO3', 'ERCC2', 'FOXO1', 'E2F1', 'RB1', 'CDKN2A'}","['GHR', 'TERT', 'ATM', 'ERCC2', 'ERCC8', 'WRN', 'LMNA', 'INSR', 'PTEN', 'ERCC1', 'ELN', 'ATR', 'STUB1']"
cluster_3,Blood up-reg. genes,281,80,0.7252341187813038,0.8770336411145865,17582,1,{'CDKN2A'},[]
cluster_3,Blood down-reg. genes,281,199,0.8301755458352438,0.8770336411145865,17582,2,"{'E2F5', 'MAML2'}","['ATM', 'PYCR1']"
cluster_3,Skin up-reg. genes,281,1110,0.4123718762605815,0.7560151064777328,17582,19,"{'ELK3', 'TBX5', 'AR', 'ZFPM2', 'APH1B', 'THRB', 'UBE2J1', 'CDH10', 'FOXO1', 'RBPJ', 'MAML2', 'TEAD1', 'ERLEC1', 'WWTR1', 'AMOTL2', 'ARHGAP26', 'FOXO3', 'AMOT', 'ESR1'}","['FBLN5', 'ELN', 'ZMPSTE24', 'ADAMTS2', 'GHR', 'EDN3', 'ALG8', 'ANTXR1', 'ENPP1', 'COL5A2']"
cluster_3,Skin down-reg. genes,281,754,0.7698789187822277,0.8770336411145865,17582,10,"{'CDKN2D', 'DAXX', 'EGR2', 'VDR', 'HDAC10', 'KAT2A', 'BRF1', 'GTF3C1', 'RXRB', 'GTF2H4'}",['GJB6']
cluster_3,Brain up-reg. genes,281,544,0.05507393123895802,0.15145331090713454,17582,14,"{'STAT3', 'CDK2', 'NOTCH2', 'SOX9', 'BOC', 'CDKN1A', 'SIRT1', 'MAML2', 'PKN3', 'SMAD1', 'EGFR', 'CDKN2A', 'CBFB', 'YAP1'}","['RBBP8', 'SLC2A1', 'RAB27A', 'ANTXR1']"
cluster_3,Brain down-reg. genes,281,536,0.48781888012112895,0.7665725259046312,17582,9,"{'CTNNB1', 'THRB', 'CCND2', 'SRC', 'SMAD3', 'RANGAP1', 'RXRB', 'SMARCA2', 'GTF2H1'}","['MYO5A', 'SMARCA2']"
cluster_3,Muscle up-reg. genes,281,305,0.001307577443299386,0.007191675938146623,17582,13,"{'ADAM10', 'CREBBP', 'CCNT1', 'PIK3R1', 'SNW1', 'SMAD4', 'SIRT1', 'SUMO2', 'FOXO3', 'FOXO1', 'CDKN1A', 'RBPJ', 'CTNNA1'}","['EIF4H', 'GHR', 'KRAS', 'PIK3R1']"
cluster_3,Muscle down-reg. genes,281,224,0.2885521859185644,0.6348148090208418,17582,5,"{'PML', 'CDK2', 'HIVEP3', 'CDKN2C', 'AR'}",['MTX2']
cluster_3,Breast up-reg. genes,281,393,0.8770336411145865,0.8770336411145865,17582,4,"{'MAF', 'CDKN2A', 'CCNH', 'SEL1L'}","['KITLG', 'GHR', 'RAB3GAP1', 'MITF', 'MYO5A', 'MYO5A', 'ENPP1']"
cluster_3,Breast down-reg. genes,281,257,0.002925543179426219,0.010726991657896139,17582,11,"{'SMARCC2', 'VGLL4', 'ELK1', 'TGIF1', 'KDM1A', 'MED12', 'TP53', 'SMARCB1', 'CTNNB1', 'JUP', 'SMARCA4'}","['GTF2IRD1', 'RTEL1']"
