Cluster	HPO ID	Phenotype	p-value	Corrected p-value
4	HP:0000889	Abnormal clavicle morphology	1.0	1.0
4	HP:0000691	Microdontia	1.0	1.0
4	HP:0002715	Abnormality of the immune system	0.43673760317613697	1.0
4	HP:0002232	Patchy alopecia	1.0	1.0
4	HP:0000586	Shallow orbits	1.0	1.0
4	HP:0008788	Delayed pubic bone ossification	1.0	1.0
4	HP:0001102	Angioid streaks of the fundus	1.0	1.0
4	HP:0004993	Slender long bones with narrow diaphyses	1.0	1.0
4	HP:0001831	Short toe	1.0	1.0
4	HP:0000268	Dolichocephaly	1.0	1.0
4	HP:0001869	Deep plantar creases	1.0	1.0
4	HP:0010526	Dysgraphia	1.0	1.0
4	HP:0004325	Decreased body weight	0.5597231140742273	1.0
4	HP:0005281	Hypoplastic nasal bridge	1.0	1.0
4	HP:0011834	Moyamoya phenomenon	0.0037501426200114343	0.5683549481883996
4	HP:0002423	Long-tract signs	1.0	1.0
4	HP:0002313	Spastic paraparesis	1.0	1.0
4	HP:0006703	Aplasia/Hypoplasia of the lungs	1.0	1.0
4	HP:0001075	Atrophic scars	1.0	1.0
4	HP:0000995	Melanocytic nevus	1.0	1.0
4	HP:0002307	Drooling	1.0	1.0
4	HP:0006313	Widely spaced primary teeth	1.0	1.0
4	HP:0000528	Anophthalmia	1.0	1.0
4	HP:0001373	Joint dislocation	1.0	1.0
4	HP:0002652	Skeletal dysplasia	1.0	1.0
4	HP:0002027	Abdominal pain	1.0	1.0
4	HP:0003006	Neuroblastoma	1.0	1.0
4	HP:0200042	Skin ulcer	1.0	1.0
4	HP:0000202	Orofacial cleft	1.0	1.0
4	HP:0009381	Short finger	1.0	1.0
4	HP:0002684	Thickened calvaria	1.0	1.0
4	HP:0001876	Pancytopenia	1.0	1.0
4	HP:0004302	Functional motor deficit	0.25704370421872463	1.0
4	HP:0008551	Microtia	1.0	1.0
4	HP:0000735	Impaired social interactions	1.0	1.0
4	HP:0003326	Myalgia	1.0	1.0
4	HP:0000608	Macular degeneration	1.0	1.0
4	HP:0100659	Abnormal cerebral vascular morphology	0.189491023432224	1.0
4	HP:0003119	Abnormal circulating lipid concentration	1.0	1.0
4	HP:0002234	Early balding	1.0	1.0
4	HP:0004414	Abnormality of the pulmonary artery	1.0	1.0
4	HP:0010721	Abnormal hair whorl	1.0	1.0
4	HP:0010450	Esophageal stenosis	1.0	1.0
4	HP:0000457	Depressed nasal ridge	1.0	1.0
4	HP:0100633	Esophagitis	1.0	1.0
4	HP:0000377	Abnormal pinna morphology	0.16458704250881612	1.0
4	HP:0002209	Sparse scalp hair	0.05695080271469405	1.0
4	HP:0100678	Premature skin wrinkling	0.0004118736629151176	0.11235913524324408
4	HP:0000050	Hypoplastic male external genitalia	0.020796094280796748	1.0
4	HP:0010442	Polydactyly	1.0	1.0
4	HP:0008064	Ichthyosis	1.0	1.0
4	HP:0001824	Weight loss	1.0	1.0
4	HP:0003413	Atlantoaxial abnormality	1.0	1.0
4	HP:0002344	Progressive neurologic deterioration	1.0	1.0
4	HP:0000615	Abnormal pupil morphology	1.0	1.0
4	HP:0000975	Hyperhidrosis	1.0	1.0
4	HP:0002322	Resting tremor	1.0	1.0
4	HP:0004370	Abnormality of temperature regulation	0.3181721080510638	1.0
4	HP:0200020	Corneal erosion	1.0	1.0
