Cluster	HPO ID	Phenotype	p-value	Corrected p-value
1	HP:0000739	Anxiety	1.0	1.0
1	HP:0100817	Renovascular hypertension	1.0	1.0
1	HP:0000889	Abnormal clavicle morphology	0.001532573292264745	0.024307325240105954
1	HP:0010505	Limitation of movement at ankles	0.0227844269676129	0.1661922908225882
1	HP:0008283	Fasting hyperinsulinemia	0.032400818652568136	0.20460516963936545
1	HP:0006248	Limited wrist movement	0.03876284847690567	0.23394922709070504
1	HP:0011998	Postprandial hyperglycemia	1.0	1.0
1	HP:0006538	Recurrent bronchopulmonary infections	1.0	1.0
1	HP:0025190	Bilateral tonic-clonic seizure with generalized onset	1.0	1.0
1	HP:0001385	Hip dysplasia	0.04356907402613638	0.25075197034451485
1	HP:0002061	Lower limb spasticity	0.09185408991322082	0.4094411066720039
1	HP:0001177	Preaxial hand polydactyly	1.0	1.0
1	HP:0000600	Abnormality of the pharynx	0.31393263611103106	1.0
1	HP:0000924	Abnormality of the skeletal system	0.019190379301469437	0.1490439985375757
1	HP:0001118	Juvenile cataract	1.0	1.0
1	HP:0008993	Increased intraabdominal fat	0.016324277768114237	0.13173084384612185
1	HP:0009738	Abnormal antihelix morphology	1.0	1.0
1	HP:0040019	Finger clinodactyly	0.22357088265944694	0.7859553709986742
1	HP:0000504	Abnormality of vision	0.4489251554221496	1.0
1	HP:0012811	Wide nasal ridge	1.0	1.0
1	HP:0004970	Ascending tubular aorta aneurysm	1.0	1.0
1	HP:0000554	Uveitis	0.011219042342371154	0.1033971199661774
1	HP:0001642	Pulmonic stenosis	1.0	1.0
1	HP:0000190	Abnormal oral frenulum morphology	0.12384906050569881	0.507297653242562
1	HP:0001929	Reduced factor XI activity	1.0	1.0
1	HP:0002992	Abnormality of tibia morphology	1.0	1.0
1	HP:0002816	Genu recurvatum	1.0	1.0
1	HP:0001081	Cholelithiasis	1.0	1.0
1	HP:0025244	Subretinal pigment epithelium hemorrhage	1.0	1.0
1	HP:0001317	Abnormal cerebellum morphology	0.8368998895399906	1.0
1	HP:0000716	Depression	1.0	1.0
1	HP:0009906	Aplasia/Hypoplasia of the earlobes	0.11507926329235735	0.4859693966897072
1	HP:0004947	Arteriovenous fistula	1.0	1.0
1	HP:0001757	High-frequency sensorineural hearing impairment	0.016324277768114237	0.13173084384612185
1	HP:0002021	Pyloric stenosis	1.0	1.0
1	HP:0011359	Dry hair	1.0	1.0
1	HP:0000035	Abnormal testis morphology	0.006691698001104393	0.06914754601141206
1	HP:0025092	Epidermal acanthosis	1.0	1.0
1	HP:0003765	Psoriasiform dermatitis	1.0	1.0
1	HP:0200037	Skin vesicle	0.0730652212146159	0.3546653442588472
1	HP:0004691	2-3 toe syndactyly	1.0	1.0
1	HP:0011072	Rootless teeth	1.0	1.0
1	HP:0002251	Aganglionic megacolon	1.0	1.0
1	HP:0001545	Anteriorly placed anus	1.0	1.0
1	HP:0000954	Single transverse palmar crease	1.0	1.0
1	HP:0000269	Prominent occiput	1.0	1.0
1	HP:0001156	Brachydactyly	1.0	1.0
1	HP:0002453	Abnormal globus pallidus morphology	1.0	1.0
1	HP:0005244	Gastrointestinal infarctions	1.0	1.0
1	HP:0025014	Subcutaneous spheroids	1.0	1.0
1	HP:0008366	Foot joint contracture	0.16927401149314175	0.6395837996582974
1	HP:0008615	Adult onset sensorineural hearing impairment	1.0	1.0
1	HP:0007495	Prematurely aged appearance	7.382377697925033e-25	1.0069563179969744e-21
1	HP:0002213	Fine hair	1.0	1.0
1	HP:0008647	Pubertal developmental failure in females	0.00328484279680901	0.04187407079296719
1	HP:0100781	Abnormal sacroiliac joint morphology	1.0	1.0
1	HP:0005599	Hypopigmentation of hair	3.1761354125982984e-06	0.0002681446794792915
1	HP:0002151	Increased serum lactate	1.0	1.0
1	HP:0000609	Optic nerve hypoplasia	1.0	1.0
1	HP:0004568	Beaking of vertebral bodies	1.0	1.0
1	HP:0007766	Optic disc hypoplasia	1.0	1.0
1	HP:0008391	Dystrophic fingernails	0.06382454307906779	0.3224321361475869
1	HP:0011098	Speech apraxia	1.0	1.0
1	HP:0100560	Upper limb asymmetry	0.06382454307906779	0.3224321361475869
1	HP:0001274	Agenesis of corpus callosum	1.0	1.0
1	HP:0002217	Slow-growing hair	1.0	1.0
1	HP:0000407	Sensorineural hearing impairment	0.7405835839839303	1.0
1	HP:0000364	Hearing abnormality	0.04509323567894362	0.25416187382677313
1	HP:0000608	Macular degeneration	1.0	1.0
1	HP:0000736	Short attention span	1.0	1.0
1	HP:0011029	Internal hemorrhage	0.1857118134204383	0.6922005155413385
1	HP:0004942	Aortic aneurysm	0.21775825206127603	0.7734954578426575
1	HP:0001671	Abnormal cardiac septum morphology	1.0	1.0
1	HP:0009882	Short distal phalanx of finger	0.24607990843444816	0.8476085734964325
1	HP:0000418	Narrow nasal ridge	3.000898592812221e-05	0.0015743175694599497
1	HP:0010529	Echolalia	1.0	1.0
1	HP:0001075	Atrophic scars	1.0	1.0
1	HP:0000527	Long eyelashes	1.0	1.0
1	HP:0010609	Skin tags	1.0	1.0
1	HP:0000028	Cryptorchidism	0.4404585018100464	1.0
1	HP:0001361	Nystagmus-induced head nodding	1.0	1.0
1	HP:0005461	Craniofacial disproportion	0.009824491174032371	0.09371053119846262
1	HP:0031364	Ecchymosis	1.0	1.0
1	HP:0200020	Corneal erosion	1.0	1.0
1	HP:0001480	Freckling	1.0	1.0
1	HP:0004426	Abnormal cheek morphology	1.0	1.0
1	HP:0000766	Abnormal sternum morphology	1.0	1.0
1	HP:0007740	Long eyelashes in irregular rows	1.0	1.0
1	HP:0004388	Microcolon	1.0	1.0
1	HP:0003134	Abnormality of peripheral nerve conduction	0.2586359949299032	0.8775609380208655
1	HP:0004467	Preauricular pit	1.0	1.0
1	HP:0003738	Exercise-induced myalgia	0.057616646960973204	0.30579418853995116
1	HP:0009059	Congenital generalized lipodystrophy	1.0	1.0
1	HP:0025548	Increased mean corpuscular hemoglobin concentration	1.0	1.0
1	HP:0002967	Cubitus valgus	1.0	1.0
