Cluster	HPO ID	Phenotype	p-value	Corrected p-value	Nb diseases cluster	Nb diseases pheno	intersection	background	diseases intersection
3	HP:0007495	Prematurely aged appearance	4.0453840913662034e-16	5.517903900623501e-13	9	87	9	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0100678	Premature skin wrinkling	3.9651676825241874e-09	2.7042443594814954e-06	9	36	5	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Branchioskeletogenital syndrome', 'Pierpont syndrome', 'Nicolaides-Baraitser syndrome'}
3	HP:0011354	Generalized abnormality of skin	1.0349752023346589e-07	3.5292654399611865e-05	9	717	9	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0007392	Excessive wrinkled skin	7.982922836876323e-08	3.5292654399611865e-05	9	23	4	4262	{'Pierpont syndrome', 'Ablepharon macrostomia syndrome', 'Nicolaides-Baraitser syndrome', 'Acral peeling skin syndrome'}
3	HP:0001595	Abnormal hair morphology	2.65793282877309e-05	0.005290509701336	9	893	8	4262	{'Ablepharon macrostomia syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0000492	Abnormal eyelid morphology	2.5439892596304637e-05	0.005290509701336	9	888	8	4262	{'Ablepharon macrostomia syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0000534	Abnormal eyebrow morphology	2.7150709610961896e-05	0.005290509701336	9	369	6	4262	{'Ablepharon macrostomia syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Waardenburg syndrome type 1'}
3	HP:0007605	Excessive wrinkling of palmar skin	3.951658627692829e-05	0.0067375779602162	9	5	2	4262	{'Pierpont syndrome', 'Acral peeling skin syndrome'}
3	HP:0001000	Abnormality of skin pigmentation	4.521999335011692e-05	0.0068533412143954	9	403	6	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Focal facial dermal dysplasia type III', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0000506	Telecanthus	6.753780058484069e-05	0.0092121559997722	9	120	4	4262	{'Pierpont syndrome', 'Branchioskeletogenital syndrome', 'Waardenburg syndrome type 1', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease'}
3	HP:0000632	Lacrimation abnormality	8.841975436786503e-05	0.0109640495416152	9	45	3	4262	{'Waardenburg syndrome type 1', 'Focal facial dermal dysplasia type III', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease'}
3	HP:0000499	Abnormal eyelash morphology	0.0002080399320861	0.0218281897973438	9	160	4	4262	{'Ablepharon macrostomia syndrome', 'Nicolaides-Baraitser syndrome', 'Focal facial dermal dysplasia type III', 'Waardenburg syndrome type 1'}
3	HP:0011121	Abnormality of skin morphology	0.0002069009787298	0.0218281897973438	9	1663	9	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0011362	Abnormal hair quantity	0.000276042568688	0.0268944331207517	9	553	6	4262	{'Ablepharon macrostomia syndrome', 'Branchioskeletogenital syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0001053	Hypopigmented skin patches	0.0003182443841816	0.0289390226682509	9	69	3	4262	{'Waardenburg syndrome type 1', 'Focal facial dermal dysplasia type III', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease'}
3	HP:0008070	Sparse hair	0.0003425552224371	0.0292028327127694	9	182	4	4262	{'Ablepharon macrostomia syndrome', 'Nicolaides-Baraitser syndrome', 'Focal facial dermal dysplasia type III', 'Trichothiodystrophy'}
3	HP:0000430	Underdeveloped nasal alae	0.0003761756619463	0.0296170884807693	9	73	3	4262	{'Ablepharon macrostomia syndrome', 'Waardenburg syndrome type 1', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease'}
3	HP:0000951	Abnormality of the skin	0.000395829169344	0.0296170884807693	9	1787	9	4262	{'Ablepharon macrostomia syndrome', 'Acral peeling skin syndrome', 'Branchioskeletogenital syndrome', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease', 'Pierpont syndrome', 'Focal facial dermal dysplasia type III', 'Nicolaides-Baraitser syndrome', 'Trichothiodystrophy', 'Waardenburg syndrome type 1'}
3	HP:0000233	Thin vermilion border	0.0004125547515649	0.0296170884807693	9	191	4	4262	{'Pierpont syndrome', 'Ablepharon macrostomia syndrome', 'Nicolaides-Baraitser syndrome', 'Branchioskeletogenital syndrome'}
3	HP:0002553	Highly arched eyebrow	0.0005305154901543	0.0329359838467443	9	82	3	4262	{'Nicolaides-Baraitser syndrome', 'Branchioskeletogenital syndrome', 'Focal facial dermal dysplasia type III'}
3	HP:0000964	Eczema	0.0005305154901543	0.0329359838467443	9	82	3	4262	{'Trichothiodystrophy', 'Nicolaides-Baraitser syndrome', 'Acral peeling skin syndrome'}
3	HP:0010720	Abnormal hair pattern	0.0005312255459152	0.0329359838467443	9	204	4	4262	{'Pierpont syndrome', 'Ablepharon macrostomia syndrome', 'Nicolaides-Baraitser syndrome', 'Focal facial dermal dysplasia type III'}
3	HP:0009924	Aplasia/Hypoplasia involving the nose	0.0005897871319516	0.0349769412166136	9	85	3	4262	{'Ablepharon macrostomia syndrome', 'Waardenburg syndrome type 1', 'Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease'}
